# Lote 3 · 15 instituciones · 2026-08-07
# ficha | dominio | dominio_real | nombre_real | coincide | url_programas | cant | niveles | es_institucion | alerta
Admiral Farragut Academy | si | farragut.org | Admiral Farragut Academy | si | https://farragut.org/academics/ | ~6 | K-12 | si | -
Ahts Training & Education | redirige | alliancecollege.edu.au | Alliance College (ex Adelaide Hospitality and Tourism School) | no | https://alliancecollege.edu.au/alliance-courses | ~40+ | Cert II/III/IV, Diploma, Adv Dip, Grad Dip, ELICOS | si | REBRANDING: ficha con nombre y dominio viejos; ahora Adelaide Y Sydney
Albright | si | albrightinstitute.edu.au | Albright Institute of Business and Language | parcial | https://albrightinstitute.edu.au/ | ~24 | ELICOS, Cert, Diploma, Adv Dip, Grad Dip | si | ciudades mal (dice Perth, no aparece); categoria subestima: es mayoritariamente VET
All Saints Anglican School | si | asas.qld.edu.au | All Saints Anglican School | si | https://www.asas.qld.edu.au/our-school/programs | ~3 | Pre-Prep a Year 12 | si | ficha sin ciudad (Merrimac, Gold Coast)
Alpadia | si | alpadia.com | Alpadia Language Schools | si | https://www.alpadia.com/es/cursos-idiomas | ~6 | Idiomas, campamentos, ano academico, prep examenes | si | partner_group dice Kaplan; Kaplan la cedio a Inspirit Capital
Amerigo | si | amerigoeducation.com | Amerigo Education | si | https://www.amerigoeducation.com/en/our-schools | 32+ colegios | Secundaria | AGENCIA | NO ES UN COLEGIO: red que ubica en 32+ colegios socios. Venderla como institucion es incorrecto
Ance | si | ance.vic.edu.au | Australian National College of English | parcial | https://ance.vic.edu.au/course/ | ~5 | Ingles/ELICOS | si | catalogada VET pero solo ofrece ingles
Anglia Ruskin University - ARU | si | aru.ac.uk | Anglia Ruskin University (ARU) | si | https://aru.ac.uk/study/course-search | cientos | Pregrado, postgrado, PhD, college 16-18, apprenticeships | si | ficha 2 ciudades, el sitio declara 4 campus
Anglo continental | si | anglo-continental.com | Anglo-Continental Educational Group | si | https://www.anglo-continental.com/english-courses-in-england/ | ~20+ | Ingles, prep examenes, CELTA, junior, 50+ | si | -
Arbutus College | si | arbutuscollege.com | Arbutus College | si | https://arbutuscollege.com/program-finder/ | ~6 | Diploma/certificado + co-op | si | no se confirmo oferta de idiomas que la ficha marca
Ascenda School of Management | si | acsenda.com | Acsenda School of Management | no | https://acsenda.com/academic-programs/ | 2 grados | Bachelor (BBA, Hospitality) + pathways | si | NOMBRE MAL ESCRITO: es Acsenda con C. Ficha marca Idiomas pero la oferta es de grado
Ascent College of technology | redirige | matrixcollege.ca | Matrix College of Management, Technology and Healthcare | no | https://www.matrixcollege.ca/diploma-programs/quebec-residents/ | ~7 | AEC + pathway frances + micro credenciales | si | INSTITUCION DISTINTA: el sitio no menciona Ascent. Ficha dice publico y es privado
Asia Pacific International College (APIC) | si | apicollege.edu.au | Asia Pacific International College (APIC) | si | https://apicollege.edu.au/courses/ | ~25+ | Diploma, Bachelor, Grad Cert, Grad Dip, Master | si | ficha 1 ciudad, sitio lista 3. Catalogada VET pero es higher education TEQSA
Atlas Language School | si | atlaslanguageschool.com | Atlas Language School | si | https://atlaslanguageschool.com/courses | ~10 | Ingles, prep examenes, junior, CELTA, pre-foundation | si | ficha solo Dublin; tambien Malta, Liverpool y Clare
Atpal | si | atpalcanada.com | Atpal Languages | parcial | https://atpalcanada.com/programs/ | ~9 | Ingles y frances, prep examenes, pathway | si | nombre real Atpal Languages; tambien ensena frances
