# Lote 4 · 15 instituciones (Australia) · 2026-08-07
AIBT | si | aibtglobal.edu.au | Australia Institute of Business and Technology | si | https://aibtglobal.edu.au/courses/ | ~90+ | Cert III/IV, Dip, Adv Dip, Grad Dip | si | -
AIBT - International | si | aibtglobal.edu.au | Australia Institute of Business and Technology | parcial | idem | ~90+ | idem | si | DUPLICADO de la ficha anterior: mismo dominio, el sitio nunca menciona una entidad separada
Australian Catholic University (ACU) | si | acu.edu.au | Australian Catholic University | si | https://www.acu.edu.au/study-at-acu/find-a-course | cientos | Pregrado, posgrado, investigacion, pathway, cursos cortos | si | catalogo es BUSCADOR dinamico, no lista: no encaja en el pipeline de extraccion
Australian College of Applied Professions (ACAP) | si | acap.edu.au | ACAP University College | parcial | https://www.acap.edu.au/courses/ | ~30+ | Cert a Master | si | RENOMBRADA: hoy es ACAP University College (TEQSA)
Australian College of Dance | si | alg.edu.au | Australian Learning Group | NO | https://alg.edu.au/courses/ | ~12 | Cert III, Cert IV, Diploma | si | INSTITUCION FANTASMA: ALG no tiene NI UN curso de danza y nunca menciona este nombre. Candidata a eliminar
ACIT / IFTV | si | acit.edu.au | Australian College of IT & Institute of Film and Television | si | (sin indice; links desde la home) | ~6 areas | Diploma, Adv Dip, ELICOS | si | sin pagina indice de cursos
Australian College of Sport & Fitness | si | alg.edu.au | Australian Learning Group | NO | https://alg.edu.au/courses/ | ~12 | Cert III/IV, Diploma | si | El dominio es de ALG; el nombre no aparece en el sitio. Si hay cursos de fitness pero bajo marca ALG
Australian College of Technology | si | academies.edu.au | Academies Australasia Group Limited | NO | menu COURSES por ciudad | 180-250 | Cert, Dip, Adv Dip, Bachelor | si (grupo) | Es un GRUPO (9 campus + Singapur), no esta institucion. El sitio nunca menciona el nombre
Australian Federation College | si | afcollege.edu.au | Australian Federation College · RTO 45616 · CRICOS 03854G | si | seccion Courses (sin indice unico) | ~18 | Cert IV a Grad Dip, ELICOS | si | ficha dice solo Tasmania; tiene Launceston y Melbourne
AHMI | si | ahmi.edu.au | Australian Health and Management Institute · RTO 70252 · CRICOS 03595K | si | https://www.ahmi.edu.au/courses | ~28 | Cert III/IV, Dip, Adv Dip + cursos cortos | si | pese al nombre, el grueso es construccion/trades
Australian Ideal College | si | aic.edu.au | Australian Ideal College · CRICOS 03053G · RTO 91679 | si | (sin indice; 7 categorias) | ~20+ | Cert III/IV, Dip, Adv Dip, Grad Dip | si | hay que recorrer 7 categorias
AICOL | si | aicol.com.au | Australian International College Of Language | si | https://aicol.com.au/english-courses-to-study-aicol/ | ~12+ | ELICOS A2-C2, Cambridge, IELTS, PTE, kids | si | solo idiomas
Australian International High School | NO | - | ? | ? | ? | ? | ? | ? | DOMINIO MUERTO: academies.nsw.edu.au no resuelve DNS
Australian Language Schools | redirige | alscollege.com.au | ALS College · CRICOS 02885G · RTO 32044 | parcial | https://alscollege.com.au/courses/ | ? | ELICOS + VET | si | LOS DOS dominios de la ficha obsoletos; hoy se llama ALS College
Australian Learning Group (ALG) | si | alg.edu.au | Australian Learning Group · RTO 91165 | si | https://alg.edu.au/courses/ | ~12 | Cert III/IV, Diploma | si | Es la institucion real detras de las 2 fichas fantasma (Dance y Sport & Fitness)
