# Lote 07 · 2026-08-07
French in Normandy | si | frenchinnormandy.com | French in Normandy IH Rouen | si | https://www.frenchinnormandy.com/french-courses-france/ | ~15 | Idiomas todos los niveles (CEFR) + prep DELF/DALF/TCF + teacher training Erasmus+ + French 50+/gastronomia | institucion | -
Nortwest College | si | nortwest.edu.au | Nortwest College (Nortwest Pty Ltd · ABN 17 123 969 175 · RTO 91781 · CRICOS 03256G) | si | https://www.nortwest.edu.au/Courses.aspx | ~8 areas | Vocacional Cert/Dip/Adv Dip + Graduate Diploma of Management + ELICOS | institucion | Ficha dice "College Publico" pero es RTO PRIVADO; ficha dice Adelaide pero la sede principal son 2 campus en Sydney (George St y York St) + Melbourne + Adelaide
The Australian Institute of Music (AIM) | si | aim.edu.au | The Australian Institute of Music | si | https://aim.edu.au/courses/ | ~20+ | Diploma, Bachelor (varias especializaciones), Graduate Certificate, Graduate Diploma, Master of Music | institucion | Ficha con category null, puede_vender vacio y tipo_adivinado "curso_corto" pese a que otorga hasta Master; campus Sydney y Melbourne (ficha sin ciudad)
University of Tasmania International Pathway College | bloquea | utas.edu.au | ? | ? | ? | ? | ? | ? | Cloudflare JS challenge: 403 tambien con UA de Chrome, devuelve "Just a moment..." · sitio VIVO pero no auditable sin navegador real. Ademas el dominio de la ficha es el de la universidad, no el del pathway college (partner_group UP Education) · verificar que no sea ficha paraguas
Gold Coast Learning Centre | si | goldcoaststudy.com | Gold Coast Learning Centre (ABN 51 448 401 177 · RTO 32285 · CRICOS 03268C) | si | https://www.goldcoaststudy.com/courses/ | ~40 (paginado, 4 paginas) | ELICOS (General English, IELTS prep) + Cert III, Cert IV, Diploma y Advanced Diploma en 9 areas | institucion | puede_vender inconsistente: ficha marcada solo ["Idiomas","Idiomas"] (valor DUPLICADO) y category "Instituto Idiomas", pero la mayoria del catalogo es vocacional Cert III -> Adv Dip
University of Technology Sydney (UTS) | si | uts.edu.au | University of Technology Sydney (UTS) | si | https://www.uts.edu.au/courses | ? (cientos, sin conteo en el sitio) | Undergraduate, Postgraduate coursework, Research Masters, PhD, online | institucion | Ficha con category null, puede_vender vacio y tipo_adivinado "curso_corto" pese a ser universidad completa
France Langue | si | sejour.fl-france.fr | Les ateliers FL – IH Paris, Nice Massena, Bordeaux, Biarritz, Lyon | parcial | sin catalogo unico · paginas por audiencia: /adultes/, /kids-juniors/, /francais-professionnel/, /groupes/, /au-pair/, /fl-online-school/, /examens/ | ~15-20 | Idiomas todos los niveles + DELF/DALF/TCF + frances profesional + junior/surf camp + au pair + online | institucion | REBRAND: la marca actual es "Les ateliers FL"; "France Langue" aparece 1 sola vez en toda la home. Ficha lista Martinique pero el sitio solo opera 5 sedes (Paris, Nice, Bordeaux, Biarritz, Lyon) · Martinique ya no existe. Catalogo NO enumerable en una sola pagina
MLC College of Business Technology and Healthcare | redirige | mlccollege.com -> mlc-college.com (301) | MLC College of Business Technology and Healthcare | si | https://www.mlc-college.com/diploma-programs | ? (sin conteo en el sitio) | Diploma 1 y 2 anios + Postgraduate Diploma + certificaciones profesionales (tech, healthcare, business, IT) | institucion | CIUDAD MAL EN LA FICHA: el sitio da direccion Unit 4, 5865 McLaughlin Road, MISSISSAUGA, Ontario L5R3V5 · la ficha dice Montreal. Ademas puede_vender vacio pese a otorgar diplomas
MIU City University Miami | si | educacion.miuniversity.edu (landing) · institucional: miuniversity.edu | MIU City University Miami, Inc. | si | https://miuniversity.edu/ | ~23 | Bachelor (~2), Master (~10), Continuing Education / certificados (~11) | institucion (parte del grupo PROEDUCA Universidades) | La URL de la ficha NO es la home institucional: es una landing de captacion con >100 caracteres de UTM/gclid/gbraid · reemplazar por https://miuniversity.edu/. Institucion de educacion a distancia licenciada por la Commission for Independent Education (FL); la landing sola solo muestra masters y oculta los bachelor
TAFE QLD | si | tafeqld.edu.au | TAFE Queensland | si | https://tafeqld.edu.au/search-results | 400+ | Short courses y micro-credenciales, Certificados, Diplomas y Advanced Diplomas, Degrees (higher ed), English Language and Literacy Services | institucion (red publica estatal, 60+ sedes en Queensland) | CATALOGO NO ENUMERABLE: es un buscador dinamico con filtros por region y area, no una lista navegable · la extraccion posterior necesita otro tratamiento (API/scroll/paginacion por filtro)
Pickering College | si | pickeringcollege.on.ca | Pickering College | si | https://www.pickeringcollege.on.ca/academics | ~6 divisiones + programas auxiliares | JK-Grado 12 (Junior School JK-5, Sphere 4-5, Middle 6-8, Senior 9-12), ESL Boarding Academy grados 9-10, ESL Summer Camp, post-graduate year, Global Leadership Program | institucion | Category MAL: la ficha dice "Instituto Idiomas" pero es un colegio independiente K-12 con internado (day and boarding school) · el ESL es un programa auxiliar, no el core. puede_vender ["High school","Todos los programas"] si es coherente
