# Lote 08 · 2026-08-07
University of Roehampton | si | www.roehampton.ac.uk | University of Roehampton | si | https://www.roehampton.ac.uk/study/ | ~182 | Undergraduate (~104), Postgraduate taught (~75), Postgraduate research (~3), Foundation, Higher Technical Qualifications, apprenticeships, short courses | institucion | Las paginas de listado (/study/undergraduate-courses/) NO renderizan cursos sin JS (0 enlaces a curso en el HTML crudo) · el catalogo SI es enumerable via https://www.roehampton.ac.uk/sitemap.xml (1292 URLs, patrones /undergraduate-courses/<slug>/ y /postgraduate-taught-courses/<slug>/) · usar sitemap para la extraccion
La Trobe College | bloquea | www.latrobe.edu.au | ? | ? | ? | ? | ? | ? | Cloudflare JS challenge: 403 con UA de Chrome y headers completos ("Just a moment...") en /, /courses, /study, /about, /robots.txt y /sitemap.xml, con y sin www · sitio VIVO (responde el edge de Cloudflare), no muerto, pero no auditable sin navegador real. ALERTA DE FICHA: el dominio es el corporativo de La Trobe University, NO el del pathway college; con partner_group=Navitas la ficha deberia apuntar a La Trobe College Australia · verificar manualmente antes de extraer o se extraera el catalogo entero de la universidad
HAWTHORN | si | www.hawthornenglish.edu.au | Hawthorn Melbourne (razon social en el pie: Hawthorn Learning Pty Ltd · ABN 50 124 208 171) | parcial | https://www.hawthornenglish.edu.au/courses/ | ~8 | SOLO idiomas: ingles general, ingles academico y preparacion para universidad y secundaria | institucion | puede_vender INCONSISTENTE: la ficha promete "Vocacionales (Cert, Dip, Adv Dip)" pero el sitio no ofrece ni un Certificate ni un Diploma · es exclusivamente ELICOS. Ficha dice "HAWTHORN" en mayusculas, el sitio se llama "Hawthorn Melbourne"
Casa Toronto & Casa Vancouver | redirige | www.casa-toronto.com -> www.casacanada.com (301) | Casa Student Housing | parcial | https://casacanada.com/toronto-residences/ · /vancouver-residences/ · /homestay/ | ~4 | No hay niveles academicos: residencias estudiantiles Toronto, residencias Vancouver (incl. GEC King Edward), homestay y familias anfitrionas | proveedor | NO es una institucion educativa ni tiene programas: es un proveedor de alojamiento estudiantil (coherente con category "Proveedor" y puede_vender ["Alojamiento"], pero no debe entrar al pipeline de extraccion de programas). El sitio ya no usa las marcas "Casa Toronto"/"Casa Vancouver" sino "Toronto Residences"/"Vancouver Residences"
Supreme Business College | si | academies.edu.au | Academies Australasia Group Limited (fundada 1908, ex Garratt's Limited) | no | https://academies.edu.au/about-us/our-colleges/ | +180 calificaciones en TODO el grupo | Certificados, Diplomas, Advanced Diplomas, Bachelor (via Academies Australasia Polytechnic), ELICOS, high school | red | DOMINIO PARAGUAS: el sitio es del grupo, no de esta escuela. Supreme Business College SI figura como uno de sus 18 colleges miembros (Sydney y Melbourne) pero NO tiene sitio ni catalogo propio · las paginas de cursos estan organizadas por CAMPUS (courses-syd-*, courses-mel-*, courses-per-*, courses-bri-*, courses-singapore), no por college, asi que no hay forma de aislar los programas de Supreme desde este dominio. La home es JS/Elementor (el HTML crudo no trae los enlaces); usar https://academies.edu.au/wp-sitemap-posts-page-1.xml. Ficha con category null, partner_group null y puede_vender vacio
ECA College | si | www.ecacollege.edu.au | ECA College · operada por Education Centre of Australia (ECA) · ABN 14 111 918 775 · RTO 45012 · TEQSA PRV14334 · CRICOS 02644C | si | https://www.ecacollege.edu.au/courses | 7 | Ingles (General English, English for Academic Purposes), Diploma (2), Advanced Diploma (1), Graduate Diploma (2) | institucion | Devuelve 403 a fetchers sin UA de navegador; con UA de Chrome responde 200 · NO esta caido. Campus en Sydney, Melbourne, Brisbane y Adelaide. Ficha con category null y puede_vender VACIO pese a otorgar Diploma/Advanced Diploma/Graduate Diploma + ELICOS
DID deutsch-institut worldwide | si | www.did.de | did deutsch-institut GmbH | parcial | https://www.did.de/en/german-courses | ~12 categorias de curso | Idiomas: aleman general, preparacion de examenes, via universitaria, aleman profesional, online; y para jovenes: cursos de verano, campamentos de invierno, high school, viajes de clase, clases en casa del profesor | institucion | El nombre real no lleva "worldwide" (es did deutsch-institut GmbH). Las sedes de adultos si coinciden con la ficha (Berlin, Frankfurt, Hamburgo, Munich) pero la ficha OMITE las sedes de jovenes: Augsburgo, Oberwesel y Viena (Austria) · ojo, Viena implica que la ficha pais="Germany" es incompleta. puede_vender trae "Idiomas" DUPLICADO
University of South Wales | bloquea | www.southwales.ac.uk | University of South Wales (confirmado por el <title> de su propia pagina 404, que si sirve el origen) | si | ? | ? | ? | institucion | Cloudflare JS challenge: 403 con UA de Chrome y headers completos en /, /courses, /courses/, /study/, /about/, /sitemap.xml, con y sin www · sitio VIVO, no muerto, pero no auditable sin navegador real. Unica ruta que atraviesa es /robots.txt (404 del origen), y su titulo confirma que el dominio SI pertenece a la University of South Wales. Ficha con tipo_adivinado "vacacional" para una universidad completa · inconsistente
Universidad Nebrija | si | www.nebrija.com | Universidad Nebrija | si | https://www.nebrija.com/estudios/ | ? | Grados y dobles grados, Postgrados/Masteres, Doctorados, grados online, programas integrados internacionales | institucion | CATALOGO NO ENUMERABLE: /estudios/ es un buscador dinamico que carga por JS ("Solo unos segundos, estamos cargando los resultados") y el HTML servido llega a mostrar "Parece que por el momento no hay programas" · la extraccion posterior necesita otro tratamiento (API/render). Ademas NO pude confirmar en el sitio los "Cursos de espanol", "Cursos de verano" ni el "Semestre internacional" que promete puede_vender · verificar. puede_vender trae 4 entradas con texto libre y erratas ("semesstre", "Mastr")
Business & Hotel Management School | si | es.bhms.ch | BHMS Business and Hotel Management School | si | ? (no hay pagina unica consolidada; el catalogo esta partido en Business & Hospitality y Culinary Arts) | ~9 | Certificado de postgrado, Diploma de postgrado, Bachelor (3 anios), Master, MBA, diplomas culinarios | institucion | Es escuela miembro del Benedict Education Group (grupo paraguas), aunque el dominio si es propio de BHMS. puede_vender INCONSISTENTE: ficha marcada "Vocacionales (Cert, Dip, Adv Dip)" pero la escuela otorga Bachelor, Master y MBA. Sin listado consolidado de programas · la extraccion debe recorrer las dos ramas por separado
University of New York in Prague | si | www.unyp.cz | University of New York in Prague (UNYP) | si | https://www.unyp.cz/academic-programs/ | ~16 | Bachelor (7), Master (3), MBA (1, con 6 concentraciones), PhD (1), Foundation/preparatorios (4) | institucion | -
