# Lote 09 · 16 instituciones · 2026-08-07 · solo dominios oficiales de cada ficha · 403 reintentados con UA de Chrome + DNS 8.8.8.8
Istituto Marangoni | si | istitutomarangoni.com | Istituto Marangoni | si | https://www.istitutomarangoni.com/es/elige-tu-curso | ~50+ | Bachelor 3 anios, Master/MA, cursos cortos, preparatorios | institucion (red de campus propios) | FICHA DICE USA/MIAMI y el sitio NO lista campus en Miami: Milan(x2), Florencia, Paris, Londres, Dubai, Riyadh, Mumbai, Shanghai, Shenzhen. Pais y ciudad de la ficha estan mal
Charles Darwin University (NT) | si | cdu.edu.au | Charles Darwin University (CRICOS 00300K) | si | https://www.cdu.edu.au/study | ? (26+ areas de estudio) | VET/TAFE, pregrado, postgrado, PhD, pathway, cursos cortos | institucion (dual sector) | tipo_adivinado "curso_corto" y puede_vender VACIO para una universidad dual-sector completa · catalogo por buscador dinamico, no lista plana
Ermitage International School | si | ermitage.fr | Ermitage International School Paris | parcial | https://www.ermitage.fr/french-bilingual-programs y /ib-programs | ~5-6 rutas | Pre-K, Primaria, College, Lycee, IB PYP/MYP/DP (3 a 18 anios) | institucion (parte de Ermitage Education Group) | es COLEGIO, no tiene "programas" vendibles como catalogo · el footer enlaza al grupo paraguas Ermitage Education Group · ficha tipo_adivinado "intercambio" no corresponde
Speos, Paris Photographic Institute | si | speos-photo.com | Speos International Photography School | parcial | https://speos-photo.com/en/1-year-photography-programs/ | ~12-15 | 1 anio intensivo, 2 anios, cortos 2-5 meses, workshops | institucion | NOMBRE DISTINTO: el sitio se llama "Speos International Photography School", no "Paris Photographic Institute" · no otorga master tradicional pese a que la ficha permite "Pregrado & Postgrado"
UOW College Australia | si | uowcollege.edu.au (uowcollegeaustralia.edu.au redirige aqui) | UOW College Australia (RTO 91159 · CRICOS 02723D) | si | https://www.uowcollege.edu.au/courses-pathways/ | ~11 areas | Ingles, Foundation, University prep, Cert y Diploma VET, cursos cortos | institucion (college pathway de University of Wollongong) | -
Ulster University | bloquea | ulster.ac.uk | Ulster University | si | https://www.ulster.ac.uk/courses | ? | Pregrado, Postgrado, eLearning, Short courses y CPD | institucion | PAIS MAL EN LA FICHA: es Irlanda del Norte (UK), no Ireland · campus actuales del sitio: Belfast, Coleraine, Derry~Londonderry · JORDANSTOWN YA NO APARECE · 403 sin UA de navegador (Cloudflare/Squiz) · catalogo Funnelback dinamico
QUB - The Queen's University Of Belfast | bloquea | qub.ac.uk | Queen's University Belfast | parcial | https://www.qub.ac.uk/courses/ | ? | Pregrado, Postgrado taught, Investigacion | institucion | 403 sin UA de navegador · catalogo es BUSCADOR dinamico, no lista enumerable · ficha "Todos los programas" sin acotar
University of Tasmania | bloquea | utas.edu.au | University of Tasmania | si | https://www.utas.edu.au/study | ? (6 areas de estudio) | Pregrado, Postgrado, Investigacion, online | institucion | 403 sin UA de navegador (Squiz/Cloudflare) · catalogo por buscador, no lista plana
University of Waikato College | si (pero no es su dominio) | navitas.com | Navitas (grupo global de 100+ colleges en 18 paises) | no | https://www.navitas.com/study/colleges-campuses/ | ? | pathway, ingles, diplomas, degrees via universidades socias | red / grupo paraguas | FANTASMA: el dominio de la ficha es el del GRUPO Navitas, no el del college · el sitio no es la institucion · MISMO DOMINIO que la ficha de Swansea (TCSU) en este mismo lote · hay que re-localizar el dominio propio del Waikato College
The University of Adelaide | si | adelaide.edu.au (www redirige a apex) | Adelaide University | parcial | https://adelaide.edu.au/study/degrees/compare-degrees/ | ? (cientos, 6 colleges) | Pregrado, Postgrado, Investigacion, cursos cortos | institucion | CAMBIO DE NOMBRE: el sitio ya se presenta como "Adelaide University" (fusion con UniSA), no "The University of Adelaide" · catalogo por buscador dinamico
IES College | si (solo aviso) | iescollege.com | IES College | si | ninguna | 0 | ninguno | institucion CERRADA | INSTITUCION CERRADA: el sitio solo sirve el aviso "ceased operations on 31st January 2026" + formulario para pedir registros academicos · NO hay catalogo · sacar de la oferta
Swansea College and University (TCSU) | si (pero no es su dominio) | navitas.com | The College, Swansea University (listado dentro de Navitas) | no | https://www.navitas.com/study/colleges-campuses/ | ? | Foundation, Year 1, Pre-master | red / grupo paraguas | FANTASMA + DUPLICADO DE DOMINIO: apunta al grupo Navitas igual que la ficha de Waikato College · el dominio propio del college no esta en la ficha
NYLC | si | nylanguagecenter.com | New York Language Center | parcial | https://www.nylanguagecenter.com/programs/ | ~3 formatos x varios niveles | Solo ESL (grupal, privado, cursos especiales) | institucion | ficha usa la sigla NYLC · 3 sedes (Upper West Side, Jackson Heights Queens, Bronx), no solo "New York" generico · puede_vender trae "Idiomas" duplicado
University of Exeter | si | exeter.ac.uk | University of Exeter | si | https://www.exeter.ac.uk/subjects/ | ? | Pregrado, Master, PhD, online, apprenticeships, PGCE | institucion | ficha marca partner_group INTO pero el dominio es el de la universidad y NO menciona INTO · los Foundation/Year1/Pre-master que la ficha permite vender NO viven en este dominio (viven en el centro INTO) · catalogo por buscador
University of Strathclyde | si | isc.strath.ac.uk | University of Strathclyde International Study Centre | parcial | https://isc.strath.ac.uk/programmes | ~4 | Undergraduate Foundation, International Year Two, Pre-Masters, ingles | red (centro operado por Study Group, no la universidad) | el dominio NO es la universidad: es el International Study Centre "maintained by Study Group" · la ficha lo vende como "Universidad" · para pregrado/postgrado real hay que usar strath.ac.uk
