# Lote 10 · 16 instituciones · 2026-08-07 · DNS verificado contra 8.8.8.8 · reintentos con UA de Chrome donde hubo 403
Avon Maitland Schools | si | amdsb.ca | Avon Maitland District School Board (AMDSB) | parcial | https://www.amdsb.ca/apps/pages/index.jsp?uREC_ID=1088899&type=d&pREC_ID=1366718 | ~45 escuelas | Elemental + Secundaria (grados 9-12) | red (junta escolar publica de Huron y Perth) | NO ES UNA INSTITUCION sino una JUNTA de ~45 escuelas · el brazo internacional se llama "Avon Maitland Schools Canada" y vive en OTRO dominio (yourschoolsincanada.com) que la ficha no tiene
Hansa Language Centre | si | hansacanada.com | Hansa Language Centre (Escuela de ingles Hansa Canada) | si | https://hansacanada.com/es/english-courses/ | ~15-20 | Idiomas: ingles general, IELTS/TOEFL/CELPIP, nocturnos, juniors, privados + 10 idiomas extra | institucion | SITIO COMPROMETIDO: la pagina en espanol tiene SEO spam inyectado (CBD, "Delta 8 THC", enlaces salientes a tiendas) verificado en el HTML crudo · ademas la URL de la ficha (/es/escuela-de-ingles/) no es la de cursos
The University of Queensland (UQ) | si | uq.edu.au | The University of Queensland (TEQSA PRV12080, Group of Eight) | si | https://study.uq.edu.au/study-options/programs | 336 | Bachelor, Grad Cert/Dip, Master, PhD/MPhil | institucion | catalogo detras de BUSCADOR dinamico paginado (12 paginas, filtros), no lista plana · ficha sin category y con puede_vender VACIO pese a ser una Go8
Navitas Professional Institute | redirige | navitas-professional.edu.au -> 301 a py.acap.edu.au (DESTINO ROTO) | ? no verificable | no | ? | ? | ? | ? | FANTASMA + MUERTO EFECTIVO: la marca ya no opera · el dominio de la ficha tiene certificado TLS EXPIRADO desde 15-ago-2025 y redirige a py.acap.edu.au, que no presenta certificado por HTTPS y devuelve 409 Conflict por HTTP (WP Engine mal configurado) · lo que sobrevive es ACAP (acap.edu.au, ya auditado en lote 01) · ficha sin category y puede_vender vacio
Curtin College | si | curtincollege.edu.au | Colleges of Business and Technology (WA) Pty Ltd trading as Curtin College · CRICOS 02042G | si | https://www.curtincollege.edu.au/courses/ | ~8 | Diploma pathway + Master Qualifying Program (no hay grados propios) | institucion (grupo Navitas) | NO otorga pregrado propio: son diplomas-pathway que dan entrada a 2do ano en Curtin University · la ficha marca "Todos los programas" y eso SOBREVENDE lo que el college puede emitir
City St Georges, University of London | bloquea | city.ac.uk -> 301 a citystgeorges.ac.uk | ? no verificable | ? | ? | ? | ? | ? | DOBLE PROBLEMA: (a) el dominio de la ficha esta OBSOLETO, redirige al nuevo tras la fusion con St George's; (b) citystgeorges.ac.uk sirve un Cloudflare MANAGED CHALLENGE (JS) que devuelve 403 a todo fetcher incluso con UA de Chrome, en home, /study/ y /robots.txt · esta ficha hay que auditarla a mano en navegador
Eynesbury College | si | eynesbury.edu.au | Eynesbury College (EEA, ABN 20 008 194 689) | si | https://www.eynesbury.edu.au/programs/ | ~9 | Foundation, 5 Diplomas, Grad Cert, ELICOS | institucion (grupo Navitas) | pathway a Adelaide University · ficha sin category, SIN partner_group (deberia decir Navitas, como Curtin College) y puede_vender VACIO
Community College of Philadelphia | si | ccp.edu | Community College of Philadelphia | si | https://www.ccp.edu/degrees-programs | ? | Associate, Certificate, transferencia y continuing education | institucion | NI "American Honors" NI "American Success" NI Wellspring aparecen en el sitio · verificado en home, /degrees-programs y /admission-aid/admissions/international-students (esta ultima solo habla de F-1 y ~150 internacionales, sin programas de marca) · el puede_vender de la ficha describe productos que el college NO anuncia · catalogo detras de "Program Finder" dinamico
Burlington School | si | burlingtonschool.co.uk | Burlington School (escuela de ingles en Londres desde 1990, sede Balham) | si | no hay pagina unica: /courses-for-adults/, /courses-for-young-learners/, /courses-for-groups/ | ~5 para adultos + young learners + grupos | Idiomas Pre-A1 a C1/C2, IELTS, Cambridge, especialistas, 1-a-1 | institucion | la ficha apunta a http:// y el sitio sirve https · catalogo REPARTIDO en 3 secciones sin listado unico, la extraccion tiene que recorrer las tres
Encompass | si | encompassexp.net | Encompass Experiences | parcial | https://www.encompassexp.net/immersion-programs | ~6 categorias | High/Middle School placement, inmersion, tours de ingles, colocacion universitaria | agencia | NO ES INSTITUCION: es una agencia de colocacion e intercambio en EEUU/Canada, no imparte nada propio · la ficha la lista como si vendiera "High School" e "Idiomas" de casa · vender esto como institucion es enganoso
Photography Studies College | si | psc.edu.au | PSC Creative College (ex Photography Studies College) · TEQSA 12200 · RTO 0111 · CRICOS 00257G | parcial | https://www.psc.edu.au/courses | ? (5 categorias) | Bachelor, Diplomas, cursos cortos | institucion | CAMBIO DE NOMBRE Y DE ALCANCE: ya no es solo fotografia, suma diseno grafico, moda y screen media · otorga BACHELOR · ficha sin category y con puede_vender VACIO
University of Windsor | si | uwindsor.ca | University of Windsor | si | https://www.future.uwindsor.ca/programs/ | ? | Pregrado + Postgrado | institucion | el catalogo vive en un SUBDOMINIO distinto (future.uwindsor.ca) con filtros dinamicos por query string, no es lista plana · ficha sin category
The Hotel School | si (bloquea sin UA) | hotelschool.scu.edu.au | The Hotel School | si | https://hotelschool.scu.edu.au/courses/ | 6 | Diploma, Associate Degree, Bachelor, Grad Cert, Grad Dip, Master | institucion (opera con Southern Cross University) | BLOQUEA BOTS: 403 sin User-Agent de navegador (Cloudflare); con UA de Chrome responde 200 · los titulos los emite Southern Cross University, no es proveedor independiente · ficha sin category y puede_vender VACIO pese a llegar hasta Master
International House | si | ihworld.com | International House World Organisation | parcial | https://ihworld.com/learn/study-abroad/study-abroad-schools/ | 130+ escuelas afiliadas en 45+ paises | Idiomas | red (paraguas) | FANTASMA: la ficha dice Sydney, Australia y el directorio oficial NO lista ninguna escuela en Australia (si Vancouver, Malta, Bangkok, etc.) · ademas NO es una escuela sino una red, y el propio sitio aclara que "no tiene responsabilidad legal por las acciones o gestion de las escuelas individuales" · el dominio correcto seria el de la escuela de Sydney, no el de la red
George Mason University | redirige | www2.gmu.edu -> 301 a www.gmu.edu | George Mason University | si | https://www.gmu.edu/academics | ? | Pregrado, Postgrado, continuing/professional education | institucion | el dominio de la ficha (www2) es un 301 al canonico www.gmu.edu · corregir el dominio para que la extraccion no dependa del redirect
Brisbane School of Beauty | si | brishair.com.au | Academies Australasia Hair & Beauty (AAHB), trading as Brisbane School of Hairdressing / Brisbane School of Barbering | parcial | https://www.brishair.com.au/courses | ~4 | Peluqueria y barberia (Cert/Dip) | institucion (grupo Academies Australasia) | FANTASMA PARCIAL: la marca "Brisbane School of Beauty" NO existe en el sitio; lo que opera es PELUQUERIA y BARBERIA (la palabra "beauty" solo aparece en el nombre corporativo AAHB) · el dominio mismo es "brishair" · si se vende como escuela de belleza, el alumno no recibe lo prometido · si acepta internacionales
# RESUMEN: ok=7 muertos=1 redirigen=3 nombre_distinto=6 no_institucion=3 duplicados=0 fantasmas=3
