# Lote 11 · 2026-08-07
# DNS verificado contra 8.8.8.8 para los 16 dominios: los 16 resuelven. Muertos reales: 0.
# Reintentos con UA de Chrome + headers completos (Accept, Accept-Language, Sec-Fetch-*) donde hubo 403.

Azurlingua | si | azurlingua.com | Azurlingua School – Nice – Private Higher Education Establishment | si | https://azurlingua.com/courses-main | ? (adultos + juniors, sin conteo publicado) | Idiomas (francés general, DELF/DALF) | institucion | La URL EXACTA de la ficha (https://www.azurlingua.com/) NO carga: el certificado sólo cubre azurlingua.com, el host www no está en los altnames (curl exit 60). Usar el apex. Además el sitio está en Nice, no dice ciudad la ficha, y NO menciona pertenecer a Alpadia/Kaplan → partner_group "Alpadia" sin confirmar.
ILA Montpellier | si | ila-france.es | Institut Linguistique Adenet (ILA) | si | https://www.ila-france.es/cursos-frances | ~40 | Idiomas (francés general/intensivo, DELF-DALF, verano, profesional, 50+, junior) | institucion | -
FIC - Simon Fraser University | si | sfu.ca | Simon Fraser University | no | https://www.sfu.ca/main/programs/what-can-i-study.html | ? (undergraduate + graduate, sin conteo) | Pregrado, Posgrado, Educación continua | institucion | FANTASMA: el dominio es el de la universidad, no el de FIC (Fraser International College, pathway de Navitas, dominio propio). Ni "FIC" ni "Fraser International College" aparecen en sfu.ca (0 coincidencias en home ni en la página de programas). La ficha promete Foundation/Year One/Pre-master, que los vende FIC, no SFU.
The College Western Sydney University | si | westernsydney.edu.au/thecollege | The College at Western Sydney University | si | https://www.westernsydney.edu.au/future/study/application-pathways/the-college/courses | ? | Diploma pathway (entrada a 2º año de bachelor), English Language Programs, Workplace Skilling (RTO) | institucion (división pathway de la universidad, no entidad independiente) | El campo `sitio` de la ficha viene sin esquema ("www.westernsydney.edu.au/thecollege") y con path: no es un dominio, hay que normalizarlo antes de crawlear. `category` null y `puede_vender` vacío pese a que sí vende diplomas + inglés.
Gedu Globlal Education | si | gedu.global | Global Education Group (GEDU) | parcial | https://gedu.global/ (sin directorio central de instituciones) | ~10-12 instituciones miembro | n/a (no imparte, agrupa) | red | NO ES UNA INSTITUCIÓN: es un grupo paraguas UK (Greenford) que agrupa Global Banking School, English Path, Australian Performing Arts Conservatory, etc. en 8-16 países. Catálogo NO enumerable: no hay lista central de programas. Typo en el nombre de la ficha ("Globlal"). `puede_vender` = "Todos los programas" es indefendible aquí.
Queensland University of Technology (QUT) | bloquea | qut.edu.au | ? | ? | ? | ? | ? | ? | BLOQUEA, NO ESTÁ MUERTA. DNS OK (43.245.41.63). Devuelve 403 con challenge de Cloudflare (cdn-cgi/challenge-platform) tanto en / como en /courses, incluso con UA de Chrome + Accept/Accept-Language/Sec-Fetch-* completos. Requiere navegador real (headless con JS) para auditar y para la extracción posterior. `category` null y `puede_vender` vacío en una universidad completa.
Kent Institute Australia | si | kent.edu.au | Kent Institute Australia Pty Ltd | si | https://kent.edu.au/courses/ | ~7-8 | Certificate y Diploma (VET) + Bachelor (Accounting, Business, IT) + Master (ICT) | institucion | `tipo_adivinado` = "curso_corto" y `puede_vender` VACÍO, pero otorga Bachelor y Master. Acreditada como Higher Education Institute + RTO. No se detectó ELICOS.
Education Queensland International (EQI) | si | eqi.com.au | Education Queensland International | si | https://eqi.com.au/find-a-school/eqi-school-list | ? escuelas (lista enumerable) | Primaria, Preparación secundaria, Secundaria, Bachillerato Internacional, Study Abroad, tours, refuerzo de inglés | red | NO ES UNA INSTITUCIÓN: es el brazo internacional del gobierno de Queensland que coordina la red de colegios públicos estatales. No imparte clases. Lo que se vende es colegio-por-colegio, no un catálogo propio. `tipo_adivinado` = "curso_corto" es incorrecto (es educación K-12).
Red River College | si | rrc.ca | Red River College Polytechnic (RRC Polytech) | parcial | https://www.rrc.ca/explore/ | 150+ | Certificate, Diploma, Advanced Diploma, Degree, Apprenticeship, micro-credentials, part-time/online | institucion | CAMBIO DE NOMBRE: hoy es "Red River College Polytechnic" / marca "RRC Polytech"; la ficha usa el nombre viejo. La ciudad real es Winnipeg (la ficha pone "Manitoba", que es la provincia).
Macquarie University (Macquarie) | si | mq.edu.au | Macquarie University | si | https://www.mq.edu.au/study/find-a-course | ? (17 áreas de estudio · buscador dinámico) | Pregrado y Posgrado | institucion | Devolvió 403 a fetcher simple y 200 con UA de Chrome + headers completos → NO está caída, filtra bots. Catálogo NO enumerable directo: es un buscador dinámico partido en 17 áreas (/study/find-a-course/<area>). `category` null y `puede_vender` vacío en una universidad completa.
ICRGU - Robert Gordon University | si | navitas.com | Navitas Pty Limited | no | https://www.navitas.com/study/colleges-campuses/ | 60+ colleges del grupo | n/a (no imparte, agrupa) | red | DOMINIO EQUIVOCADO/COMPARTIDO: la ficha apunta al grupo Navitas, no a ICRGU ni a Robert Gordon University. "International College Robert Gordon University" sólo aparece como una fila en la tabla de colleges del grupo. Un crawler sobre navitas.com traerá los 60+ colleges, no los programas de ICRGU. Mismo patrón de contaminación que la ficha FIC-SFU de este lote.
