# Lote 13 · 2026-08-07

Westbourne Grammar School | si | www.westbournegrammar.com | Westbourne Grammar School | si | https://www.westbournegrammar.com/learning/our-approach/ (secciones /learning/early-learning, /middle-school, /senior-school) | n/a — no hay catalogo de programas | K-12 (Early Learning a Year 12, VCE) + short-stay para internacionales | institucion | Es un COLEGIO K-12 australiano (CRICOS 00355F), no un proveedor de cursos: no tiene catalogo enumerable de programas, la extraccion posterior no encontrara nada que listar. `tipo_adivinado`="curso_corto" es incorrecto. Lo unico vendible a un internacional vive en /international/ (matricula regular) y /international/short-stay-programs/. El home es JS-driven; el sitemap.xml si es navegable.

The University of Oklahoma | si | www.ou.intostudy.com | University of Oklahoma — micrositio operado por INTO University Partnerships Ltd | parcial | https://www.ou.intostudy.com/en/degrees | 170+ pregrado (postgrado sin conteo publicado) | Pregrado, Postgrado, pathway | agencia | El dominio de la ficha NO es el de la universidad (ou.edu) sino el micrositio del partner INTO. Lo que se extraiga es el catalogo curado por INTO, no el catalogo real de OU. Coherente con partner_group=INTO, pero hay que saberlo antes de extraer. Mismo patron que New England College en el lote 05.

Language ON | si | languageonschools.com | LANGUAGE ON Schools | parcial | https://languageonschools.com/es/nuestros-cursos/ | ~8-10 | Solo idiomas: ingles general/intensivo/semi-intensivo, business, reduccion de acento, TOEFL/IELTS, online, privadas | institucion (red de ~11 sedes propias) | `puede_vender` INCONSISTENTE: incluye "Todos los programas" pero la escuela SOLO da ingles — el sitio declara explicitamente que el programa "no esta disenado para calificar para empleo". Ademas `ciudad` esta incompleta: la ficha lista 6 sedes y el sitio lista ~11 (suma Miami Beach, Boca Raton, West Palm Beach, Newark, Boston, LA). Opera parte de la red via partners (inlingua Washington DC, My Study Agency): no todas las sedes son propias.

OntarioTech University | si | ontariotechu.ca | Ontario Tech University | parcial | https://ontariotechu.ca/programs/ | ? — 6 facultades + School of AI + School of Graduate and Postdoctoral Studies; 100+ programas co-op de entrada directa | Pregrado, Postgrado, transferencia college-to-university, educacion continua, online | institucion | El nombre real lleva espacio ("Ontario Tech University"); la ficha escribe "OntarioTech". `ciudad`="Ontario" es la PROVINCIA, no la ciudad — el campus esta en Oshawa. `puede_vender` habilita "Foundation & Pre master" y el sitio NO publica foundation ni pre-master: solo transferencia desde college. Verificar antes de vender pathway aqui.

UP Education | si | www.up.education | UP Education | si | https://www.up.education/study/tertiary-providers | 270 cursos declarados · ~21 instituciones miembro · 64 campus | Vocacional/tertiary hasta pathway universitario | red (grupo paraguas) | ES UN GRUPO PARAGUAS, no una institucion. Agrupa ~21 colleges con marca y sitio propios (Yoobee, NZMA, NZ School of Tourism, NZ Institute of Sport, NZTC, ICHM, Endeavour, Monarch, Acknowledge Education, Builders Academy, Swinburne Open Ed...). Extraer de este dominio traera un INDICE DE PROVEEDORES, no programas: cada miembro necesita su propia ficha. Ademas `pais`="International" esconde que el alcance real es Australia + Nueva Zelanda.

Charles Darwin University (Sydney) | redirige | www.cdu.edu.au/locations/sydney-campus (desde /international/study-sydney) | Charles Darwin University | si | https://www.cdu.edu.au/study/sydney-courses | 8 | SOLO maestrias — Data Science, IT (Cyber Security), IT (Information Systems), Project Management, Professional Accounting x2, MBA x2 | institucion | La URL de la ficha redirige a otro path — actualizar. El campus de Sydney (Level 7, 815 George St, Haymarket) ofrece EXCLUSIVAMENTE postgrado: `tipo_adivinado`="curso_corto" es incorrecto y `puede_vender` esta vacio. Es un subconjunto del catalogo de CDU, no la universidad completa: no subir al dominio raiz al extraer. No se detecto operador tercero en el campus.

Griffith college | si | www.griffithcollege.edu.au | Griffith College | si | https://www.griffithcollege.edu.au/study-options/ | ~13 | Diploma (11 areas), Foundation (1), Masters Qualifying Program (1) | institucion | `category`="College Público" es INCORRECTO: es un college PRIVADO operado por Navitas (coherente con partner_group=Navitas). No otorga titulos propios — es pathway hacia Griffith University, se posiciona como "a more supported start to university". `puede_vender` duplica el mismo concepto dos veces ("Foundation & Pre master" y "Foundation, Year 1, Pre master"): ruido en el dato. Campus: Brisbane City, Gold Coast (Southport) y online.

iEdu.Study | no | — el dominio de la ficha no existe; el real es iedu.study, que hace 301 a https://amet.com.au/iEdu.study/ | AMET Education | no | https://amet.com.au/iedu-study/ | 400+ cursos Emeritus (de 85+ universidades) + grados IU Berlin | Profesional/ejecutivo (Emeritus); Bachelor, Master y MBA (IU Berlin) | agencia | FICHA ROTA + FANTASMA. `sitio`="www.iedu.study.com" es NXDOMAIN confirmado contra 8.8.8.8 — el dominio esta MALFORMADO (sobra el ".com"; el TLD real es .study). El dominio bueno, iedu.study, redirige a AMET Education, que se define textualmente como "an international student recruitment agency": es una AGENCIA, no una institucion. Y nada de lo que ofrece es propio: revende Emeritus e IU Berlin (universidad ALEMANA), pese a que la ficha dice pais=Australia. Ninguna de las tres cosas de la ficha (dominio, tipo, pais) sobrevive la verificacion.

