# Lote 14 · 2026-08-07

St. Lawrence College - SLC | si | www.stlawrencecollege.ca | St. Lawrence College | si | https://www.stlawrencecollege.ca/programs | 55+ | Certificado, Graduate Certificate, Diploma, Advanced Diploma, Bachelor (BScN), aprendizajes | institucion | `puede_vender` INCONSISTENTE: la ficha solo habilita "Vocacionales (Cert, Dip, Adv Dip)" pero el college otorga tambien bachelor y graduate certificates. Ademas `tipo_adivinado`="curso_corto" no describe nada de esta oferta. Es college PUBLICO de Ontario (3 campus: Kingston, Brockville, Cornwall), la ficha dice "Ontario" a secas.
Site Institute | si | si.edu.au | Site Institute (RTO 32479 · CRICOS 03475G) | si | NO existe pagina indice: https://si.edu.au/courses/ da 404. Los cursos cuelgan de https://si.edu.au/trades/ y https://si.edu.au/engineering-and-civil/ | ~6 | Certificate III (Carpentry, Cabinet Making), Diploma y Dual Diploma (Engineering Technical / Civil Construction Design), English for Engineering, Industry Safety Induction | institucion | CATALOGO NO ENUMERABLE desde una sola URL: hay que recorrer 2 secciones + paginas sueltas. Ficha dice Brisbane y el sitio confirma South Brisbane QLD. El dominio si.edu.au es corto y confundible con el Smithsonian (si.edu) — verificado que NO lo es.
New Jersey Institute of Technology | si | www.njit.edu | New Jersey Institute of Technology (NJIT) | si | https://www.njit.edu/academics/degrees | ? (5 colleges + Honors: Architecture & Design, Business, Computing, Engineering, Humanities, Math & Science) | Pregrado, Postgrado (master), Doctorado, Graduate Certificates, online, pre-college | institucion | `partner_group`="Study Group" NO aparece en ningun lado de njit.edu (ni Study Group, ni pathway, ni Navitas, ni INTO). Si el acuerdo comercial es via Study Group, el catalogo vendible NO es el de njit.edu sino el del partner — confirmar antes de extraer. Ruido menor: `puede_vender` repite "Pregrado & Postgrado" dos veces.
RMIT University | si | www.rmit.edu.au | RMIT University | si | https://www.rmit.edu.au/study-with-us/levels-of-study | ? (20+ areas de estudio) | Pregrado, Postgrado, VOCACIONAL/VET, pre-university, cursos cortos, microcredenciales, online | institucion | Universidad DUAL-SECTOR (higher ed + VET en la misma entidad): la ficha la marca solo "Universidad"/"Pregrado & Postgrado" y con eso se pierde toda la oferta vocacional, que si es vendible. El listado es un buscador con filtros ("Search courses"), no una lista estatica — la extraccion necesita recorrer los 20+ subject pages. Conviven submarcas (RMIT Vietnam, RMIT Europe, RMIT Online, RMIT UP para pathways) en el mismo dominio.
Victoria University of Wellington | si | www.wgtn.ac.nz | Te Herenga Waka - Victoria University of Wellington | parcial | https://www.wgtn.ac.nz/study/programmes-courses | ? (7 facultades) | Pregrado, Postgrado taught, Postgrado research/doctorado | institucion | El nombre oficial en el sitio lleva el prefijo maori "Te Herenga Waka"; la ficha guarda solo la mitad inglesa. Ojo tambien con el dominio: es wgtn.ac.nz, NO victoria.ac.nz — si alguien "corrige" el dominio al que suena logico, rompe la ficha. Tiene campus en Auckland ademas de los 3 de Wellington.
HERTFORDSHIRE INTERNATIONAL COLLEGE (HIC) | si | hic.herts.ac.uk | Hertfordshire International College (HIC) | si | https://hic.herts.ac.uk/study/ | ~20+ | Pre-sessional English, Foundation e International Year One (15 areas), Pre-Master's | institucion | Es un pathway college operado por NAVITAS dentro de un SUBDOMINIO de la University of Hertfordshire. Lo que se extraiga de aqui es solo la oferta pathway de HIC, no el catalogo de la universidad — coherente con `puede_vender`="Foundation, Year 1, Pre master" y con `partner_group`=Navitas. Sin correcciones.
Southern Cross University (SCU) | si | www.scu.edu.au | Southern Cross University | si | https://www.scu.edu.au/study/courses/ (el buscador oficial es https://course-search.scu.edu.au) | ? | Pregrado, Postgrado, research (PhD, Masters by Thesis), Diploma via SCU College, ELICOS, pathway, cursos cortos | institucion | TRES problemas: (1) el campo `sitio` viene sin esquema ("www.scu.edu.au"), (2) `category`=null y `puede_vender`=[] — la ficha esta VACIA, hoy no autoriza vender nada, y (3) el buscador de cursos course-search.scu.edu.au devuelve challenge de Cloudflare ("Just a moment...", 403) incluso con UA de Chrome: el sitio principal si responde 200 pero el catalogo real NO es fetcheable. La extraccion posterior necesita navegador real.
Central Australian College CAC | si | cac.edu.au | Central Australian Institute Of Technology Pty. Ltd. T/A CAC - Central Australian College (RTO 22302 · CRICOS 03217C) | si | https://cac.edu.au/courses-list/ | ? (7 areas: automotriz, construccion, civil construction design, community & care, ingles, hospitalidad, management) | Certificado, Diploma, Advanced Diploma, graduate, ELICOS | institucion | La ciudad de la ficha esta mal: dice "Tasmania, Melbourne" y los campus reales son Melbourne CBD, West Footscray (VIC), Brisbane CBD (QLD) y Hobart CBD (TAS) — falta Brisbane. Admisiones abiertas, sin cursos marcados como cerrados. El nombre legal es una razon social distinta con "T/A".
Performance education | si | www.performance.edu.au | Gradability Pty Ltd trading as Performance Education | parcial | https://www.performance.edu.au/our-programs | ~2 | Professional Year (IT · acreditado ACS) y AI Employability Accelerator. NO otorga titulos academicos | agencia | ALERTA GRAVE · `puede_vender` FALSO. La ficha lo clasifica "College Privado" y habilita "Pregrado & Postgrado" + "Todos los programas", pero esta organizacion NO confiere ni un solo grado: es un proveedor de Professional Year y empleabilidad (coaching, internship, colocacion laboral) para graduados que YA estudiaron en instituciones australianas. Vender pregrado/postgrado contra esta ficha es vender algo que no existe.
St George International College | si | www.sgiccanada.com | St. George International College (SGIC) | si | https://www.sgiccanada.com/programs | ~12 | SOLO idiomas y afines: General English/ESL, SSP-I/SSP-A, English for Medicine, English for Professionals, Business English, IELTS prep, i-TESOL, TYCP, Pathway Program (UCPP), Summer & Winter Camps, High School | institucion | `puede_vender` SOBREDIMENSIONADO: la ficha dice "Todos los programas" pero SGIC es una escuela de idiomas (Toronto y Vancouver) — no hay diplomas, ni co-op, ni grados. `category`=null: deberia ser "Instituto Idiomas". Opera ademas St. George Academy (high school) como entidad aparte bajo el mismo paraguas.
North Sydney English College NSEC | no | - | - | ? | - | - | - | ? | DOMINIO MUERTO / PARQUEADO, confirmado contra DNS publico 8.8.8.8: northsydneycollege.com.au y su www resuelven a 103.224.182.244 (IP de parking de Trellian/Above.com) y la conexion se RESETEA tanto en :80 como en :443 con UA de Chrome. No es un 403 ni un challenge de Cloudflare: no hay servidor web sirviendo nada. Los dominios alternativos obvios tampoco existen (NXDOMAIN en northsydneyenglishcollege.com.au y en nsec.nsw.edu.au). Ficha inservible: hay que pedirle el dominio vigente a "The education group" (`partner_group`) o dar de baja.
