# Lote 18 · 16 instituciones · 2026-08-07 · solo el dominio oficial de cada ficha · TLS con --ssl-no-revoke (MITM del entorno) · 403/000 reintentados con UA+Accept de Chrome · dominios caidos verificados contra 8.8.8.8 Y 1.1.1.1
Taylors College Sydney | si | www.taylorssydney.edu.au | Navitas Australia Pty Limited (CRICOS 01682E) trading as Taylors College | parcial | https://www.taylorssydney.edu.au/programs/ | 2 | Foundation / preparacion pre-universitaria | institucion (pathway college de Navitas) | el sitio NUNCA se llama "Taylors College Sydney": dice "Taylors College" operado por Navitas · SOLO 2 programas (University of Sydney Foundation Program + High Achievers Preparation Program), ambos pathway exclusivo a University of Sydney · NO hay ELICOS ni high school · tipo_adivinado "curso_corto" es incorrecto · category null, ciudad null y puede_vender VACIO
University of Massachusetts Amherst | si | www.umass.intostudy.com es el dominio de INTO · el propio de la universidad es umass.edu | INTO University Partnerships Ltd and IUP 2 LLP (la universidad se nombra "University of Massachusetts Amherst") | no | https://www.umass.intostudy.com/en/degrees | 16+ graduate, agrupados en 4 colleges | Solo graduate direct entry (Engineering, Isenberg, Natural Sciences, Social & Behavioral Sciences) | red / grupo paraguas (pathway provider) | FICHA FANTASMA: el dominio es del holding INTO, no de UMass · ADEMAS los links internos de /degrees y /search apuntan a umass.intoglobal.dev — dominio de STAGING: un scraper que siga links SALE del sitio de produccion · tipo_adivinado dice "pregrado" pero aqui solo hay graduate · puede_vender trae "Graduate Degrees" DUPLICADO
Chisholm Institute | redirige | chisholm.edu.au -> https://www.chisholm.edu.au/ (301, agrega www) | Chisholm Institute, se presenta comercialmente como "Chisholm TAFE" (RTO 0260 · CRICOS 00881F · TEQSA PRV12123) | si | https://www.chisholm.edu.au/courses | ~20 areas / cientos de cursos | Cert I-IV, Diploma, Adv Diploma, BACHELOR (via Higher Education College), aprendizajes y cursos cortos | institucion | ficha con category null, ciudad null y puede_vender VACIO para un TAFE que llega hasta bachelor y posgrado · tipo_adivinado "curso_corto" es incorrecto · el catalogo se navega por facetas/career-fields, no es una lista plana
Kangan Institute | si | www.kangan.edu.au | Bendigo Kangan Institute ABN 74 802 942 886 trading as Kangan Institute (RTO 3077 · CRICOS 01218G) | parcial | https://www.kangan.edu.au/courses | ~10 departamentos | Cert III/IV, Diploma, Adv Diploma (VET puro) · SIN bachelor | institucion (marca comercial de Bendigo Kangan Institute) | puede_vender dice "Todos los programas" pero NO otorga ningun grado: solo VET · la entidad legal real es Bendigo Kangan Institute, no "Kangan Institute" · tipo_adivinado "curso_corto"
TAI - Centro universitario de Artes | si | taiarts.com | Escuela Universitaria de Artes TAI (Madrid) · centro adscrito a la Universidad Rey Juan Carlos (URJC) | parcial | https://taiarts.com/estudios/ | ~30 (6 grados + 20+ masteres + diplomaturas) | Grado universitario (via URJC), Master, Diplomatura propia | institucion (centro universitario adscrito) | puede_vender dice "Vocacionales (cert, Dip, Adv Dip)" — categorias del sistema AUSTRALIANO aplicadas a un centro universitario espanol que otorga GRADOS via URJC · category "College Privado" y tipo_adivinado "curso_corto" tambien erroneos · typo "cert" en minuscula
Southern Illinois Universiy | si | www.siu.intostudy.com es el dominio de INTO · el propio de la universidad es siu.edu | INTO University Partnerships Ltd and IUP 2 LLP (la universidad se nombra "Southern Illinois University") | no | https://www.siu.intostudy.com/en/degrees | "150+ undergraduate y 70+ graduate" segun el sitio | Undergraduate, Master, Doctoral | red / grupo paraguas (pathway provider) | FICHA FANTASMA: el dominio es del holding INTO, no de SIU · TYPO en el nombre de la ficha ("Universiy") · los links internos apuntan a siu.intoglobal.dev (STAGING), igual que UMass · el catalogo es un BUSCADOR con facetas (facet-StudyLevel), no lista enumerable · los 150+/70+ son de SIU ENTERA, no lo vendible via el pathway INTO
Institut Europeen de Francais | no | institut-europeen.es NO EXISTE (NXDOMAIN en 8.8.8.8 y 1.1.1.1) · el dominio real institut-europeen.com redirige 301 a https://lsf-france.com/ | KLF Montpellier (LSF) · "IEF" solo sobrevive en PDFs internos (KLF-2023-LSF-IEF-INTERNAL-RULES.pdf) | no | https://lsf-france.com/french-courses/ | ~10-15 | Idiomas (frances) general/intensivo, university pathway, business, formacion de docentes, Bildungsurlaub | institucion (absorbida por LSF/KLF) | DOMINIO MUERTO + MARCA ABSORBIDA: el TLD .es es imposible para una escuela en Montpellier (contaminacion o typo de .com) · la marca "Institut Europeen de Francais" YA NO opera con sitio propio, quedo dentro de LSF/KLF Montpellier · CORREGIR sitio a https://lsf-france.com/
English Language Centre ELC | si | elc.edu | English Language Center (ELC) | parcial | https://elc.edu/english-courses/ | 2 familias de programa · 12 niveles de ingles | SOLO idiomas (ingles): Adult Summer Campus + Summer Junior | institucion | puede_vender "Todos los programas" es FALSO: no hay ni un grado ni un vocacional, solo cursos de ingles · la ficha dice ciudad "California" pero opera Los Angeles (UCLA) + Santa Barbara (UCSB) + BOSTON (Massachusetts) · el sitio escribe "Center" (US), la ficha "Centre" · la oferta visible es fuertemente ESTACIONAL (todo rotulado "Summer"), ojo al extraer fuera de temporada
Shafston International College | si | shafston.edu (http -> https, mismo host) | Shafston International College | si | https://shafston.edu/course/ | ~15-20 | ELICOS (General English, Cambridge, IELTS), Cert III/IV, Diploma, Adv Diploma, junior / high school prep | institucion | aparecen referencias a "Green Education Group" en los portales de curso — posible grupo propietario que la ficha NO registra (partner_group null) · category null, ciudad null y puede_vender VACIO pese a tener idiomas + vocacionales + junior · opera Brisbane, Gold Coast y Sydney
Global College Australasia | redirige | la ficha guarda "www.globalcollege.edu.au" SIN esquema · resuelve a https://globalcollege.edu.au/ (cae el www) | Global College Australasia (RTO 45088 · CRICOS 03564F) | si | NO tiene pagina unica de catalogo · menu "Programs" en https://globalcollege.edu.au/ | ~12 | Cert III/IV, Diploma, Adv Diploma, Post-Graduate (VET), ELICOS | institucion | el campo `sitio` viene SIN protocolo (http/https) — rompe cualquier fetcher que no lo normalice · esta en Perth WA (2 campus en East Perth) y la ficha tiene ciudad null · category null y puede_vender VACIO · catalogo NO enumerable: solo paginas sueltas por programa colgadas del menu
BWS - Germanlingua | si | www.bws-germanlingua.de (http -> https, mismo host) | BWS Germanlingua · Sprachschule / Language School | si | NO hay pagina unica · una por ciudad: /language-school-munich/, /language-school-berlin/, /language-school-cologne/ | ? | Idiomas (aleman) + preparacion universitaria + formacion vocacional | institucion | CATALOGO NO ENUMERABLE desde un solo sitio: la oferta esta partida en 3 paginas por ciudad (Munich, Berlin, Colonia) — la extraccion debe recorrer las 3 o traera un tercio · puede_vender trae "Idiomas" DUPLICADO
