# Lote 20 · 2026-08-07

Box Hill Institute | si | www.boxhill.edu.au | Box Hill Institute (est. 1924 · opera tambien como BHTAFE) | si | no hay lista unica: /study-areas/* (~12 areas) + /courses/undergraduate/ + /courses/short-courses/ + /courses/apprenticeships/ + /courses/pre-apprenticeships/ + /international-students/international-courses/ | ? | Certificado, Diploma, Advanced Diploma, Bachelor (undergraduate), aprendizajes y pre-aprendizajes, cursos cortos, VCE/VDSS, AMEP (ingles) | institucion | CATALOGO NO ENUMERABLE: el sitio es JS-rendered y /courses/, /courses-and-study/, /course-search/ y /sitemap.xml dan 404 — la extraccion tiene que recorrer las ~12 rutas /study-areas/*. Ademas la ficha tiene tipo_adivinado="curso_corto", category=null y puede_vender=[] vacio para una institucion que otorga hasta bachelor: dato incompleto en origen.
Colorado Mesa University | si | www.coloradomesa.edu | Colorado Mesa University | si | https://www.coloradomesa.edu/academics/program-search.html | 255 (cifra del propio sitio) | Associate, Bachelor, Master, certificados, non-credit | institucion | `puede_vender` repite "Pregrado" dos veces (ruido). La universidad tambien tiene associate y master; si la restriccion a pregrado es del acuerdo con EAG, confirmarlo, porque extraer de aqui traera niveles no vendibles. El listado es un "program-search" (buscador con filtros), no una lista estatica.
Murdoch University (Murdoch) | si | www.murdoch.edu.au | Murdoch University | si | https://www.murdoch.edu.au/study/courses | 200+ (cifra del propio sitio) | Pregrado, Honours, Postgrado coursework, Research/PhD | institucion | El "(Murdoch)" del nombre de ficha es ruido (Murdoch es el suburbio del campus principal, no un descriptor). tipo_adivinado="curso_corto" es erroneo para una universidad completa y `puede_vender` esta vacio. Tiene campus en Singapur y Dubai: verificar si el acuerdo cubre solo Perth.
Discover English | redirige | www.discoverenglish.vic.edu.au (301 desde discoverenglish.com.au y www.) | Discover English (CRICOS 03262J) | si | https://www.discoverenglish.vic.edu.au/courses | ~10 | Idiomas: General English, EIAP (IELTS/academico), Cambridge B2 First / C1 Advanced / C2 Proficiency, English+Demi-Pair, English+Hotel Internship, English+Teaching, study tours, programa junior | institucion | El dominio de la ficha (.com.au) ya NO es del colegio: esta en un parking "DNS Package" cuyo certificado TLS es de suspended.dnspackage.com y hace 301 a discoverenglish.vic.edu.au — actualizar el dato. Ademas: Discover English es college miembro de Academies Australasia, el MISMO grupo paraguas que la ficha "Clarendon Business College" de este lote. Banner "We have moved!" (nueva sede Level 7, 628 Bourke St, Melbourne).
The University of Alabama at Birmingham | si | www.uab.edu | The University of Alabama at Birmingham (UAB) | si | https://www.uab.edu/degrees/ | 280+ (cifra del propio sitio) | Pregrado, Postgrado, doctorados, certificados, online | institucion | El dominio es el correcto (universidad real, no micrositio). Pero `partner_group`=INTO y los pathways de INTO NO viven en uab.edu sino en el micrositio del partner: extraer de este dominio traera el catalogo completo de UAB, mas amplio que lo realmente vendible via INTO. Nota menor: UAB pertenece al University of Alabama System (uasystem.edu), pero uab.edu es su dominio propio, no el del holding.
BCIT | si | www.bcit.ca | British Columbia Institute of Technology (BCIT) | si | https://www.bcit.ca/programs/ | 300+ programas + ~1.000 cursos de Flexible Learning (cifras del propio sitio) | Certificado, Associate Certificate, Diploma, Bachelor, Master, aprendizajes/trades | institucion | El nombre de la ficha es solo la sigla; el nombre legal es British Columbia Institute of Technology. /programs/ es un hub con buscador por 6 areas de estudio, no una lista estatica — la extraccion necesita recorrer las 6 areas. `puede_vender` mezcla "Pregrado & Postgrado" con "Todos los programas" (redundante).
EAE Business School | si | www.eae.es | EAE Business School (razones sociales: EAE Institucion Superior de Formacion Universitaria S.L. · Barcelona / EAE Madrid Centro Educacion Superior S.L.U. · Madrid) | si | https://www.eae.es/masters-y-posgrados | ~80+ | Grado (2), Master, MBA (full-time, executive, international y especializados), Master universitario oficial. Sin doctorado | institucion | `puede_vender`="Solo Postgrado" pero EAE SI ofrece 2 grados (ADE y Marketing & Comunicacion Digital) en ambos campus — confirmar si la exclusion de pregrado es deliberada del acuerdo o un error de ficha. Pertenencia a Planeta Formacion y Universidades confirmada en el sitio (coincide con partner_group). tipo_adivinado="curso_corto" es erroneo.
Ifalpes | si | ifalpes.com | IFALPES KLF Annecy — "escuela de frances del grupo Keep Learning French" | parcial | https://ifalpes.com/french-courses/ | ~15 | Idiomas: standard, intensivo, premium/super intensivo, university pathway, preparacion de examenes, clases privadas (online y presencial), seniors, principiantes, business, grupos, campamentos junior, formacion de profesores (Erasmus+), clases nocturnas online | institucion | La marca actual es "IFALPES KLF Annecy": la escuela ya opera bajo el grupo Keep Learning French (Montpellier, Lyon, Burdeos, Toulouse), pero la ficha tiene `partner_group`=null mientras la ficha hermana de este mismo lote (Newdeal Institut, la sede de Burdeos del MISMO grupo) si lo trae — dato inconsistente entre fichas de la misma red. Ademas `puede_vender`=[] vacio y `ciudad`=null para un instituto de idiomas en Annecy.
Lambton College | si | www.lambtoncollege.ca | Lambton College | si | https://www.lambtoncollege.ca/programs/programs | ? (el sitio no publica conteo) | Certificado, Diploma, Advanced Diploma, Graduate Certificate, aprendizajes, nursing | institucion | DISCREPANCIA DE SEDES: la ficha dice "Sarnia, Toronto, Mississauga" pero el sitio solo declara la direccion de Sarnia (1457 London Rd) y menciona Ottawa en la seccion International; /custom/LambtonCollege/toronto/ devuelve una pagina 404. Los campus de Toronto/Mississauga eran public-private partnerships (modelo Cestar College) que Ontario esta desmontando — VERIFICAR VIGENCIA antes de vender esas sedes. El listado ademas no es estatico: obliga a elegir tipo de aplicante (Full-Time / International / Apprenticeship / Continuing Ed) antes de mostrar programas.
Newdeal Institut | si | francais.newdealinstitut.com | Newdeal Institut — se presenta como "KLF Bordeaux – Newdeal Institut", escuela del grupo KLF (Keep Learning French) | si | https://francais.newdealinstitut.com/es/cursos-de-frances-en-francia/ | ~12 | Idiomas: estandar, intensivo, university pathway, premium intensivo, DELF/DALF, clases particulares, au pair, seniors, online, frances profesional/business, grupos, programas junior de verano | institucion | La `ciudad` de la ficha dice "Budeos" — typo de Burdeos/Bordeaux, corregir. Grupo KLF confirmado en el sitio (coincide con partner_group). Es centro examinador oficial TCF, DELF, DALF y TEF. Sin observaciones criticas.
TLA The Language Academy | bloquea | languageacademy.com | ? | ? | ? | ? | ? | ? | SITIO CAIDO POR ERROR DE SERVIDOR: HTTP 500 Internal Server Error consistente en apex, www, http->https y rutas internas, con UA de Chrome. NO es el patron Cloudflare (no hay challenge "Just a moment", el 500 lo emite el origen y Cloudflare lo pasa con cf-cache-status DYNAMIC) y NO es dominio muerto (DNS publico 8.8.8.8 resuelve a 104.21.93.209 / 172.67.214.121). El dominio SI es el oficial de TLA (Fort Lauderdale, 200 S Andrews Ave Suite 401, acreditada ACCET). Es una caida temporal o un sitio roto: reintentar antes de dar de baja la ficha. || REVERIFICADO 2026-08-08 por JP/Claude: ahora devuelve 403, NO 500 -> es un WAF, no una caida. Se reclasifica de 'muerto' a 'bloquea'. La institucion opera; requiere navegador real.
Study Group | si | www.studygroup.com | Study Group Limited | si | no hay pagina de programas ni de universidades socias enumerable en el dominio corporativo | 17 International Study Centres & Colleges (no programas) | Pathway/foundation, pre-master, pre-sessional English, Bellerbys (preparacion universitaria) | agencia | NO ES UNA INSTITUCION: es un proveedor de pathways / red que co-disena programas con universidades (la ficha lo marca category="Proveedor", correcto). NO TIENE CATALOGO PROPIO EXTRAIBLE: sus programas viven en los micrositios de cada universidad socia, no en studygroup.com. La ficha debe tratarse como partner_group, no como institucion vendible — de hecho ya opera asi para University of Sussex, ficha de este mismo lote.
University Senior College at Adelaide University | redirige | adelaide.edu.au/study/university-senior-college/ (302 desde usc.adelaide.edu.au; www.usc.adelaide.edu.au es CNAME a online-media.adelaide.edu.au) | University Senior College | parcial | https://adelaide.edu.au/study/university-senior-college/study-with-us/ | ? (no publica catalogo de programas) | SECUNDARIA: anos 10, 11 y 12 — NO es educacion superior | institucion | DOS ALERTAS. (1) El subdominio de la ficha ya no sirve contenido propio: hace 302 a una seccion dentro del dominio de Adelaide University (efecto de la fusion UniSA + Adelaide en "Adelaide University") — actualizar la URL. (2) ERROR DE CATEGORIA: es un colegio de bachillerato independiente miembro de AISSA, no una institucion terciaria; no tiene "programas" en el sentido del catalogo y el tipo_adivinado="curso_corto" con category=null y puede_vender=[] lo dejan sin clasificar. Decidir si sigue en el catalogo.
University of Sussex | si | www.sussex.ac.uk | University of Sussex | si | https://www.sussex.ac.uk/study/ (con /study/undergraduate/, /study/masters, /study/phd) | 500+ (cifra del propio sitio) | Pregrado, Master, PhD, foundation year, cursos cortos y online, access | institucion | CATALOGO NO ENUMERABLE: /study/ es un buscador dinamico con dropdown de nivel/materia, no una lista estatica — la extraccion necesita recorrer los indices por nivel. Ademas `puede_vender`="Foundation & Pre master" via Study Group: esos programas NO viven en sussex.ac.uk sino en el Sussex International Study Centre operado por Study Group (que no aparece mencionado en la home ni en /study/). Extraer de este dominio traera la oferta directa de la universidad, que es justo lo que el acuerdo NO cubre.
Milan Polytechnic University - MIP - POLIMI | si | www.polimi.it | Politecnico di Milano | parcial | https://www.polimi.it/formazione/corsi-di-laurea (+ /corsi-di-laurea-magistrale y /percorsi-di-alta-formazione); /en/programmes redirige a /en/education | ? (el sitio no publica conteo) | Laurea (pregrado), Laurea magistrale, alta formacion, postgrado | institucion | FICHA FANTASMA MIXTA (patron a): el nombre es el de MIP —la escuela de negocios— pero el `sitio` es el dominio de la UNIVERSIDAD ENTERA. MIP ya no existe con ese nombre: hoy es POLIMI Graduate School of Management y su dominio propio es gsom.polimi.it (verificado 200); www.mip.polimi.it NO conecta (timeout, sin respuesta). polimi.it no menciona MIP en la home. Si `puede_vender`="Solo Postgrado" se refiere a los MBA/master de MIP, hay que reapuntar la ficha a gsom.polimi.it — extraer de polimi.it traera todo el pregrado de ingenieria, arquitectura y diseno, que no se vende.
Clarendon Business College | si | academies.edu.au | Academies Australasia Group Limited (est. 1908) | no | https://academies.edu.au/courses/ (del grupo, con rutas por ciudad: /courses-syd-degrees/, /courses-mel-english/, etc.); el college figura en https://academies.edu.au/about-us/our-colleges/ | 180+ cualificaciones (del GRUPO ENTERO, no del college) | VET (Certificado/Diploma), ELICOS, grados via Academies Australasia Polytechnic | red | FANTASMA CONFIRMADO (patron a): el `sitio` es el dominio del HOLDING Academies Australasia, que alberga 18 colleges en 8 ciudades + Singapur; el nombre "Clarendon Business College" NO aparece en la home. El college SI existe (listado en /about-us/our-colleges/ como RTO de Sydney fundado en 1960, especializado en contabilidad/servicios financieros, gestion de negocios y turismo) pero NO tiene dominio propio: clarendon.edu.au, www.clarendon.edu.au, clarendonbusinesscollege.com.au y clarendonbusinesscollege.edu.au son NXDOMAIN contra 8.8.8.8. Extraer de academies.edu.au mezclara los cursos de los 18 colleges. Ojo: "Discover English" (ficha de este mismo lote) es otro college del MISMO grupo — dos fichas del lote 20 cuelgan del mismo paraguas.

# RESUMEN: ok=5 muertos=1 redirigen=2 nombre_distinto=4 no_institucion=2 duplicados=0 fantasmas=2
