# Lote 22 · 16 instituciones · 2026-08-07 · solo dominios oficiales de cada ficha · 403 reintentados con UA de Chrome + DNS 8.8.8.8
NIT - National Institute of Technology Pty. Ltd | si | nitaustralia.edu.au | National Institute of Technology (RTO 41143 · CRICOS 03420M) | parcial | https://www.nitaustralia.edu.au/our-courses-and-programs/ | ~25+ | Cert III/IV, Diploma, Advanced Diploma, Graduate Diploma, Professional Year (ICT e Ingenieria), micro-credenciales | institucion | el sitio se presenta solo como "National Institute of Technology" (el "Pty Ltd" es la razon social) · ficha marca "Vocacionales" pero tambien otorga Graduate Diploma y Professional Year, que no son VET puro
Hermes Colleges | si | hermescolleges.ca | HERMES - Colleges Network | parcial | ninguna (solo directorio: https://hermescolleges.ca/colleges/) | 0 en este dominio | ninguno enumerable aqui | red / grupo paraguas | NO ES UNA INSTITUCION: es una red de 6 colleges (Veritas, Matrix, Aviron Quebec, Ascent, Academie d'apprentissage Lawrence/Markham, Cegep Marie-Victorin) · el sitio dice "private career colleges" y la ficha la marca "College Publico" (solo Marie-Victorin es partenariado publico-privado) · CERO catalogo de programas en el dominio paraguas: hay que ir college por college
Missouri State University - MSU | si | missouristate.edu | Missouri State University | si | https://www.missouristate.edu/majors/ | 95+ carreras (175 opciones), 120+ minors, 110+ certificados, 70+ posgrados | Pregrado, Posgrado, certificados, online | institucion | CIUDAD MAL EN LA FICHA: "Missouri" es el estado; la ciudad es Springfield MO · puede_vender trae "Idiomas" DUPLICADO y NADA MAS para una universidad completa · ademas el programa de ingles se llama FLI (Foreign Language Institute) y vive en fli.missouristate.edu, NO en el dominio de la ficha
La Trobe University (La Trobe) | bloquea | latrobe.edu.au | ? | ? | ? | ? | ? | institucion (universidad, no verificado en sitio) | 403 de Cloudflare incluso con UA de Chrome + headers Sec-Fetch completos · DNS 8.8.8.8 resuelve OK (CNAME a cloudflare.net) · el sitio NO esta muerto, esta blindado · no se pudo verificar nada del contenido · ficha con ciudad null, category null y puede_vender VACIO para una universidad australiana completa
Lyon Bleu International | redirige | lyon-bleu.com (301 desde www.lyon-bleu.fr/es/) | KLF LYON BLEU INTERNATIONAL | parcial | https://lyon-bleu.com/cours-de-francais-en-france/ | ~12+ | Solo frances: estandar, intensivo, super-intensivo, premium, preparacion universitaria, DELF/DALF, frances profesional, clases privadas, online | institucion (escuela de idiomas) | CAMBIO DE DOMINIO: la ficha apunta a lyon-bleu.fr/es/ que hace 301 cross-host a lyon-bleu.com · el sitio muestra aviso "Notre site est actuellement en maintenance mais peut etre consulte" · el nombre legal en el sitio es "KLF Lyon Bleu International"
Educatius Group | si | educatius.org | Educatius Group | si | https://www.educatius.org/high-school-abroad/programs | 3 tipos de programa (Select, Classic, Boarding) sobre 350+ colegios | High school / secundaria + Educatius Academy (high school online) | agencia (colocacion de estudiantes en colegios de terceros) | NO ES UNA INSTITUCION: es una agencia de intercambio que coloca estudiantes en 350+ colegios ajenos en 15 destinos (USA, UK, Escocia, Irlanda, Francia, Alemania, Italia, Austria, Noruega, Dinamarca, Holanda, Finlandia, Espania, Suecia) · la ficha la registra como "High School" · el catalogo real son los colegios socios, no programas propios
University of Greenwich | si | gre.ac.uk | University of Greenwich | si | https://www.gre.ac.uk/subjects | 200+ pregrado, 150+ posgrado | Pregrado, Posgrado, online, cursos cortos, apprenticeships | institucion | LO QUE LA FICHA PERMITE VENDER NO VIVE EN ESTE DOMINIO: puede_vender es "Foundation & Pre master / Solo pathway" pero gre.ac.uk es la universidad · los pathway los entrega el UGIC (University of Greenwich International College, colegio embebido en Bounty House) que tiene su propio sitio · el dominio de la ficha NO menciona a "Oxford International" (el partner_group de la ficha) por ningun lado
Swinburne University of Technology (SUT) | redirige | swinburne.edu.au (la URL de la ficha /international hace 301 a /international-students/) | Swinburne University of Technology | si | https://www.swinburne.edu.au/courses/find-a-course | ? (buscador dinamico) | VET (Cert/Diploma), Associate degree, Bachelor, doble titulacion, Graduate Cert/Diploma, Master, PhD, cursos cortos | institucion (dual sector) | la URL de la ficha esta desactualizada (redirige) · catalogo es BUSCADOR dinamico, no lista enumerable · ficha con ciudad null (es Melbourne, campus Hawthorn; ademas campus en Sarawak, Malasia), category null y puede_vender VACIO para una universidad dual-sector completa
St Lawrence's College | si | slc.qld.edu.au | St Laurence's College | no | no tiene catalogo de programas (https://www.slc.qld.edu.au/enrol/international-students) | 0 programas vendibles | Anios 5 a 12 (Primaria, Middle, Senior) + VET escolar | institucion (colegio K-12, no college terciario) | NOMBRE MAL ESCRITO EN LA FICHA: es "St LAURENCE'S College", no "St Lawrence's" · y NO ES UN COLLEGE: es un colegio catolico de varones (Edmund Rice) en South Brisbane QLD que va de anio 5 a anio 12 · no hay catalogo de programas que extraer, solo admision de internacionales (visa 500 / short-term study) · ficha con ciudad null, category null y puede_vender VACIO
GISMA Business School | si | gisma.com | Gisma University of Applied Sciences GmbH | no | https://www.gisma.com/programmes | ? | Bachelor, MSc, Global MBA, cursos cortos, add-on de aleman A1-B2 | institucion (parte de GUS Germany) | CAMBIO DE NOMBRE Y DE CIUDAD: ya no se llama "GISMA Business School" sino "Gisma University of Applied Sciences" · y la ficha dice HANNOVER pero el sitio lista Potsdam (campus insignia), Berlin y Londres · Hannover ya no aparece · el unico "Idiomas" que vende es un add-on de aleman para sus propios estudiantes, no un curso de idioma suelto
Mckenzie College | si | mckenzie.edu (www.) | McKenzie College of Design | parcial | https://www.mckenzie.edu/programs | 4 + ingles | Certificado (Visual Arts Foundation 8 meses) y Diplomas de 10 meses (Visual Communication Design, Video Game Art, TV & Game Animation) | institucion | NOMBRE INCOMPLETO EN LA FICHA: es "McKenzie College of DESIGN" (escuela de disenio privada, Moncton NB desde 1988) · puede_vender dice SOLO "Idiomas" pero su oferta central son 4 diplomas de disenio; el ingles es accesorio · ficha ciudad "New Brunswick" es la provincia, la ciudad es Moncton · sin contenido spam ni inyecciones detectadas
Canada College of Technology and Business - CCTB | si | canadianctb.ca | Canadian College of Technology and Business (CCTB) | parcial | https://www.canadianctb.ca/programs/diplomas | ~13 | Solo diplomas (Tecnologia 6, Negocios 3, Hospitalidad 2, Continuing Ed/Pathways 2), varios con Co-op | institucion (parte de Global University Systems) | NOMBRE MAL EN LA FICHA: es "CANADIAN College", no "Canada College" · puede_vender dice "Todos los programas" pero solo otorga diplomas: no hay pregrado ni posgrado en este dominio
Niagara College | si | niagaracollege.ca | Niagara College | si | https://www.niagaracollege.ca/programs/search/ | 100+ a tiempo completo | Diploma, Graduate Certificate, Bachelor, part-time | institucion (college publico de Ontario) | -
Worldwide Internships | si | worldwideinternships.org | Worldwide Internships | si | https://worldwideinternships.org/hospitalidad/ y /negocios/ | ~12 | Solo pasantias (Hospitalidad 9 destinos, Negocios 3 destinos) | agencia / proveedor de colocacion | -
Victoria University (VU) | si | vu.edu.au | Victoria University (CRICOS 00124K Melbourne · 02475D Sydney y Brisbane) | si | https://www.vu.edu.au/study-at-vu/courses | ? | VET (Cert/Diploma), Bachelor, Master, pathways | institucion (dual sector) | ficha con ciudad null (Melbourne principal + Sydney y Brisbane), category null y puede_vender VACIO para una universidad dual-sector completa · catalogo por buscador, no lista plana
IT Step Academy | si (pero es el sitio de OTRO pais) | itstep.mx | Step Computer Academy / Computer Academy IT STEP · Mexico (Tijuana) | no | https://itstep.mx/education-adults | pocos (2 cursos disenio + 2 programacion + programas de ninios y vacacionales) | Cursos profesionales no titulados, ninios, vacacionales | institucion (sede local de una red internacional) | FANTASMA POR PAIS: la ficha dice BULGARIA y el dominio es el de la sede de MEXICO (Tijuana) · CERO menciones a Bulgaria en el sitio · la red global es itstep.org y cada pais tiene su TLD; la sede bulgara tiene otro dominio · el sitio esta en espaniol y sus precios/curricula son mexicanos · ficha con ciudad null, category null y puede_vender VACIO
# nota: La Trobe queda sin verificar por Cloudflare (403 con UA de Chrome + headers completos), NO por dominio caido: DNS 8.8.8.8 resuelve normal.
# nota: "nombre_distinto" cuenta los casos materiales (St Laurence's, Gisma University of Applied Sciences, McKenzie College of Design, Canadian CTB, Step Computer Academy Mexico); Lyon Bleu (KLF) y Hermes (Colleges Network) quedan documentados en su linea.
# nota: 5 fichas del lote (La Trobe, Swinburne, St Laurence's, Victoria University, IT Step) traen category null y puede_vender VACIO · ninguna es utilizable comercialmente tal como esta.
# RESUMEN: ok=2 muertos=0 redirigen=2 nombre_distinto=5 no_institucion=3 duplicados=0 fantasmas=1
