# Lote 23 · 2026-08-07

Etoile  Institut | si | etoilegroupe.com | Etoile Institut – Etablissement d'Enseignement Superieur Prive (bajo el holding "Etoile Groupe") | parcial | https://etoilegroupe.com/nos-programmes/ | ~12 categorias de curso | Idiomas FLE (estandar, intensivo, super-intensivo, privado), combinados, au pair, pathway universitario, prep Grandes Ecoles, prep DELF/DALF/TCF/TEF | institucion (dentro de grupo) | La URL exacta de la ficha (/es/instituto-de-idiomas-etoile) da 404 y cae a /es que tambien es 404; solo responde la raiz. El dominio es del holding Etoile Groupe (institut + formation pro + alojamiento + centro de examenes), no exclusivo del instituto. Corregir sitio a https://etoilegroupe.com/nos-programmes/
Edinburgh Napier University | si | napier.ac.uk | Edinburgh Napier University | si | https://www.napier.ac.uk/courses | 250+ | Undergraduate, Postgraduate, short courses, graduate apprenticeships, online | institucion | -
Deakin University | bloquea | www.deakin.edu.au (CNAME -> deakin-0927.saas.squiz.cloud, 2.58.104.10/.11) | ? | ? | ? | ? | ? | institucion | NO AUDITABLE: Cloudflare devuelve 403 con cabecera `Cf-Mitigated: challenge` incluso con UA de Chrome + Accept/Accept-Language; el sitio esta VIVO, no muerto — cualquier extractor posterior necesita navegador real. Ademas: el campo `sitio` viene sin esquema (`www.deakin.edu.au`) y `tipo_adivinado` dice "vacacional" para una universidad completa.
Northern Lights College NLC | si | nlc.bc.ca | Northern Lights College | si | https://www.nlc.bc.ca/programs/ | ? (7 areas de estudio, conteo total no publicado en portada) | Certificate, Diploma, University transfer (Arts & Science), Trades & Apprenticeships, Upgrading, Continuing Ed | institucion | Sin avisos de cierre; promueve activamente admision internacional (noticia del 30-jul-2026). Ficha incompleta: `ciudad`, `category` en null y `puede_vender` vacio.
DePaul University | redirige | students.studygroup.com (2 saltos cross-host: globalgateway.depaul.edu -> globaldirect.depaul.edu -> students.studygroup.com/study-options/direct-admit/depaul-university) | Study Group · DePaul University "Direct Admit" | parcial | https://students.studygroup.com/study-options/direct-admit/depaul-university | ~14 | 5 undergraduate + 9 graduate (MBA con varias especializaciones) | agencia (el destino final es el sitio comercial de Study Group, no de la universidad) | GRAVE: el dominio de la ficha ya no pertenece a DePaul. El modelo cambio de pathway center on-campus ("Global Gateway") a "Direct Admit" gestionado por Study Group; la propia pagina dice "We've moved! This page was previously on globaldirect.depaul.edu". La ficha vende "Pregrado & Postgrado" duplicado y apunta a un producto distinto del que describe.
UP International College New Zealand- AUT Certificate in Foundation Studies | redirige | acgedu.com (la ruta /school-levels/english-courses/ ya no existe y cae a la raiz) | ACG Schools ("ACG Schools is proud to be An Inspired School") | no | ? (no hay listado de programas terciarios) | 70+ colegios en la red global; en NZ: Parnell, Strathallan, Sunderland, Tauranga | Early Learning, Primary, College — es K-12, no terciario | red / grupo paraguas | GRAVE · INSTITUCION FANTASMA: el dominio es de ACG Schools (grupo K-12 del holding Inspired). CERO menciones de "UP International College", "UP Education", "AUT" o "Foundation Studies" en todo el sitio. El `partner_group` de la ficha dice "UP Education" pero ese negocio terciario ya no vive en acgedu.com. La ficha promete "Vocacionales (Cert, Dip, Adv Dip)" y "Certificate in Foundation Studies" que este dominio no ofrece.
EBS Universitat | si | ebs.edu | EBS Universitat fur Wirtschaft und Recht | si | https://www.ebs.edu/ (por escuela, rutas /studium/) | ~66 | 9 Bachelor/Master en BWL + 2 en Jura + 55 programas de Weiterbildung (Executive); niveles Bachelor, Master, Doctorado, Executive Ed | institucion | Es parte de SRH Hochschulen desde 2016 (no es independiente). Sin avisos de insolvencia ni cierre. El nombre en ficha va sin dieresis ("Universitat" en vez de "Universitat fur Wirtschaft und Recht").
CIC Higher Education | redirige | bppinstitute.com (cic.vic.edu.au redirige cross-domain) | BPP Institute Pty Ltd | no | https://www.bppinstitute.com/business-school/ | ~9+ | Undergraduate (Accounting, Management, Marketing), Graduate Certificate/Diploma, Postgrado (MBA, Master of Business, Master of MIS) | institucion | GRAVE · INSTITUCION FANTASMA: el nombre "CIC Higher Education" NO aparece en ninguna parte del sitio destino. El dominio redirige a BPP Institute (rebrand o adquisicion no reflejada en el catalogo). Ademas `tipo_adivinado` dice "curso_corto" cuando otorga MBA y Masters. `category` y `puede_vender` vacios.
Collarts | si | collarts.edu.au | Australian College of the Arts Pty Ltd (opera como Collarts) | si | https://www.collarts.edu.au/courses/ | ? (8 categorias, conteo total no publicado) | Diplomas VET (RTO 0109), Bachelor, dobles grados, Graduate Certificate/Diploma, Master, cursos cortos | institucion | El campo `ciudad` de la ficha ("Wellington, Brunswick, Cromwell, George St") mezcla nombres de calle/suburbio y no corresponde: el sitio lista Melbourne (campus principal), Sydney (nuevo) y online. `puede_vender` dice "Vocacionales (Cert, Dip, Adv Dip)" pero tambien otorga Bachelor y Master — inconsistente.
Sydney Institute of Interpreting and Translating | si | siit.nsw.edu.au (www. redirige al apex) | Australian Professional Education Institute Pty Ltd trading as Sydney Institute of Interpreting and Translating | si | https://siit.nsw.edu.au/courses/ | ~15-20 | Certificate IV, Diploma (Interpreting, Translating, Property, Finance & Mortgage Broking), Advanced Diploma, Graduate Diploma of Management, skill sets y prep NAATI/PTE/IELTS/CCL | institucion | RTO 91490 · CRICOS 03069K. Campus en Sydney, Brisbane y Melbourne — la ficha tiene `ciudad` en null. `category` null y `puede_vender` vacio. Sin avisos de cierre ni cursos con matricula suspendida.
Edu Inter | si | learningfrenchinquebec.com | Edu-inter (Edu-inter French School / Escuela de inmersion francesa en Quebec) | si | https://learningfrenchinquebec.com/es/programas-adultos/ y /es/programas-adolecentes/ | ~20+ | Idiomas FLE: programas adultos (8+), cursos de verano, campamentos para adolescentes (9+), campamentos de invierno, secundaria/preparatoria, online individual y corporativo, prep TEF/TEFAQ | institucion | -
