# Lote 25 · 16 instituciones · 2026-08-07 · DNS verificado contra 8.8.8.8 · reintentos con UA de Chrome donde hubo 403 · certificados TLS verificados con SNI explicito · HTML CRUDO escaneado por spam inyectado (16 homes + 9 paginas de cursos): TODAS LIMPIAS
University of Arizona | si | arizona.edu | The University of Arizona | si | https://www.arizona.edu/degree-search | 150+ majors + posgrados | Bachelor, Master, Doctorado, certificados de posgrado | institucion | catalogo detras de BUSCADOR dinamico (degree-search con filtros por categoria), no lista plana · tipo_adivinado "vacacional" es falso: es una land-grant R1 · "Idiomas" solo se sostiene via CESL, que no aparece en la home
Oxford International | bloquea | oxfordinternational.com | Oxford International (Oxford International Education Group) | parcial | https://www.oxfordinternational.com/courses/ | ? no enumerable | Idiomas, pathway/foundation, pregrado y posgrado EN UNIVERSIDADES SOCIAS | red (grupo + captacion via agentes) | NO ES UNA INSTITUCION: es un grupo que opera centros de idiomas y colleges pathway y ademas RECLUTA VIA AGENTES (/agents/become-an-agent, /for-partners/) · no es la entidad que otorga los titulos universitarios que lista · WAF devuelve 403 a fetchers sin UA de navegador (con UA de Chrome responde 200) · /courses/ se renderiza por JS: el HTML crudo no trae ni un enlace de curso · la ficha dice "Edimburgo, London, San Francisco" y el sitio lista UK, USA (California, Kentucky, New York, Syracuse), Canada, Alemania, India y Australia: SAN FRANCISCO NO APARECE
Australian Performing Arts Conservatory (APAC) | redirige | www.apac.edu.au -> 301 a apac.edu.au | Australian Performing Arts Conservatory (APAC) · TEQSA PRV14046 · CRICOS 03897G · ABN 11 009 772 481 | si | https://www.apac.edu.au/courses/ | 9 | Bachelor (3), Master (4), Graduate Diploma (1), Graduate Certificate (1) | institucion | tipo_adivinado "curso_corto" es FALSO: es educacion superior con maestrias · ficha sin category, sin partner_group y con puede_vender VACIO pese a otorgar grados y aceptar internacionales (CRICOS activo, intake agosto 2026 abierto) · sede Brisbane, la ficha no tiene ciudad
EQUALS International | si | equals.edu.au | EQUALS International (Aust) Pty Ltd · TEQSA PRV14279 · RTO 3492 · CRICOS 02804C | si | https://equals.edu.au/courses/ | ~27 | Cert II/III/IV, Diploma, Advanced Diploma, Bachelor (1), Master (1), cursos cortos | institucion | ficha sin category pese a ser dual (VET + educacion superior) · varios cursos NO estan abiertos hoy: Certificate III in Information Technology figura con "Intakes: 2027" y otros con "Enquire for 2027" / "Contact Us" · Adelaide CBD
National Institute of Education and Technology (NIET) | redirige | www.niet.edu.au -> 301 a niet.edu.au | Australia Academy International trading as National Institute of Education and Technology (NIET) · RTO 41422 · CRICOS 03590D · ABN 32 607 251 623 | si | https://www.niet.edu.au/course | 1 (UNO) | Graduate Diploma of Management (Learning) | institucion (marca del NIET Group, junto a Charlton Brown y Rhodes) | CATALOGO PRACTICAMENTE VACIO: el buscador del propio sitio dice "Displaying 1 Available Courses" y el HTML crudo solo tiene un enlace de curso (/course/graduate-diploma-of-management-learning/) · los filtros ofrecen Cert I-IV, Diploma, Adv Diploma, Grad Cert y Grad Dip pero no devuelven nada · la oferta real del grupo vive en dominios hermanos (Charlton Brown, Rhodes) que la ficha NO tiene · ficha sin category y puede_vender vacio
University of Toledo | si | utoledo.edu | The University of Toledo | si | https://www.utoledo.edu/programs/ | ? sin contador publicado | Associate, Bachelor, Minor, Master, Doctorado, Education Specialist, certificados | institucion | catalogo detras de filtro dinamico (tipo de grado, colegio, modalidad, "interes"); sin combinacion de filtros la pagina responde "No results found" · la extraccion posterior tiene que recorrer los filtros, no hay lista plana
Russo Business School | redirige | www.russo.qld.edu.au -> 301 a www.rbs.qld.edu.au | Russo Business School (RBS) · TEQSA PRV14013 · CRICOS 03441F · ABN 34 601 105 319 | si | https://www.rbs.qld.edu.au/course/diploma-of-business | 1 diploma + cursos cortos BSI | Diploma of Business (8 materias en 4 clusters) + Skills for Industry / cursos cortos ISO con British Standards Institution | institucion (grupo Sarina Russo, Brisbane) | DOMINIO DE LA FICHA OBSOLETO (301 a rbs.qld.edu.au) + OFERTA COLAPSADA: pese a estar registrada en TEQSA como proveedor de educacion superior, en el sitio NO queda ni un bachelor, master o MBA · lo unico vendible es un Diploma of Business y cursos cortos · no existe pagina indice /courses (404), hay que entrar curso por curso · ficha sin category y puede_vender vacio
Neoma BS | si | neoma-bs.com (version EN · neoma-bs.fr es la FR) | NEOMA Business School | si | sin indice unico: /undergraduate-programmes · /masters-of-science · /programmes/master-in-management · /part-time-specialised-masters · executive y doctoral | ~30-45 | Global BBA y Bachelor, Master in Management, MSc, Masteres especializados part-time, Executive MBA, DBA/doctorado | institucion (campus Reims, Rouen, Paris) | CATALOGO NO ENUMERABLE desde una sola URL: /programmes, /our-programmes y /en/programmes dan 404; hay que recorrer 5-6 indices por nivel, cada uno con sus propios filtros · el certificado TLS se emite a CN=neoma-bs.fr (valido, mismo titular) y la home declara hreflang en=.com / fr=.fr · tipo_adivinado "curso_corto" y category "College Privado" subestiman gravemente: es una escuela de negocios con doctorado
HOLMESGLEN | redirige | holmesglen.edu.au -> 301 a www.holmesglen.edu.au | Holmesglen Institute of TAFE · RTO 0416 · IHE PRV12129 · CRICOS 00012G · ABN 40 096 756 729 | si | https://www.holmesglen.edu.au/explore-courses | ? sin contador · 13 areas de estudio | Cert I-IV, Diploma, Advanced Diploma, Bachelor, aprendizajes, cursos cortos, ingles (EAL) | institucion | catalogo detras de buscador dinamico (sort/filter, sin contador) · el "Idiomas" de la ficha se sostiene solo por el area "English, education and teacher training": NO hay pagina ELICOS destacada ni la home menciona ingles para extranjeros
FAU - Florida Atlantic University | si | fau.edu | Florida Atlantic University | si | https://www.fau.edu/programs/ | 170+ segun la home (la tabla lista 300+ entradas) | Bachelor, grados combinados, Master, Doctorado, certificados de pre/pos-grado | institucion | catalogo con filtros dinamicos por grado y colegio · NO hay rastro en el sitio del pathway "Study Group" que declara el partner_group de la ficha (ni international study centre): verificar el convenio antes de venderlo
Charles Darwin University | si | cdu.edu.au | Charles Darwin University | si | https://www.cdu.edu.au/study · catalogo real en https://stapps.cdu.edu.au/f?p=100:30:0::NO::: | 300+ | VET (Cert/Diploma), Bachelor, Master, PhD/investigacion, cursos cortos y microcredenciales | institucion (dual sector) | el catalogo real NO vive en el sitio web sino en una app Oracle APEX con sesion (stapps.cdu.edu.au): la extraccion posterior necesita otro tratamiento · el sitio presenta "CDU International College" como su propio pathway y NO menciona en ningun lado a "UP Education", que es el partner_group de la ficha: convenio a verificar
