# Lote 27 · 16 instituciones · 2026-08-07 · DNS verificado contra 8.8.8.8 · fetch con UA de Chrome + reintento sin UA · HTML CRUDO revisado en las 16 (spam inyectado, divs ocultos con enlaces salientes)
# LIMITACION DECLARADA: no se pudo auditar vigencia de certificados TLS. La maquina tiene un MITM local (Avast Web/Mail Shield) que RE-FIRMA todas las cadenas: las 16 devolvieron issuer "CN=Avast Web/Mail Shield Root". Las fechas not_after observadas son del proxy, no del emisor real. Cualquier hallazgo de "certificado vencido" en este lote seria falso. Reauditar TLS desde una maquina sin interceptacion.
# FALSOS POSITIVOS DE SPAM DESCARTADOS tras revisar contexto: "cialis" era substring de "specialist"; "CBD" en qca.edu.au es Central Business District (campus Sydney/Adelaide); "cannabis" en burnabyschools.ca es la pagina de politica antidrogas del distrito; "pharmacy" en navitas.com es un nombre de programa. NINGUN sitio de este lote tiene spam inyectado ni divs ocultos con enlaces salientes a terceros.
Navitas English | si | navitasenglish.edu.au | Navitas English Services Pty Ltd (ACN 002 069 730), CRICOS Provider 00289M | si | https://www.navitasenglish.edu.au/courses/ | ~4 | Idiomas: General English, Academic English, IELTS, Cambridge (solo ELICOS, ningun VET ni grado) | institucion (grupo Navitas) | ficha SIN category, SIN partner_group (deberia decir Navitas) y puede_vender VACIO · ciudad null: opera Sydney (Hyde Park) y Perth · CNAME a wp1122.host.pressdns.com (WordPress gestionado), no infra propia
University of Plymouth International College UPIC | si | www.navitas.com (HOLDING, no el college) | Navitas Pty Limited ABN 69 109 613 309 | no | https://www.navitas.com/study/colleges-campuses/ | 100+ colleges y campus en 11 paises | n/a (el holding no imparte) | red (holding paraguas) | SITIO DE HOLDING: el `sitio` de la ficha es navitas.com, la matriz, no el dominio del college · UPIC si existe: el directorio lista "University of Plymouth International College" (UK, Plymouth), pero el acronimo "UPIC" tiene CERO ocurrencias en el sitio · la extraccion sobre navitas.com traeria el catalogo de 100+ colleges, no el de Plymouth · falta el dominio propio del college
University of Bridgeport | si | bridgeport.edu | University of Bridgeport | si | https://www.bridgeport.edu/academics/programs/ | 80+ | Certificate, Associate, Bachelor, Master, Doctoral (online, hibrido y presencial) | institucion | puede_vender promete "Idiomas" y en home ni en /academics/programs/ hay NINGUNA mencion de ESL ni de ingles intensivo · tipo_adivinado "vacacional" para una universidad con doctorados esta mal · catalogo detras de FILTRO dinamico (dropdown por area/nivel/college), no lista plana
Impact English College | si (intermitente) | impactenglish.edu.au | Impact English College · CRICOS Provider Code 02995B | si | https://www.impactenglish.edu.au/courses.html | 8 | Idiomas: General, Extreme, Barista/Cafe English, Cambridge B2 First & C1 Advanced, IELTS/EAP, Business English + Demi Pair + Career Launch (ningun VET) | institucion | ORIGEN INESTABLE: 2 de 5 peticiones devolvieron 522 "Connection timed out" de Cloudflare (home y /courses.html) y las otras 3 dieron 200 · no es bloqueo de bot, es el servidor de origen cayendose · la extraccion necesita reintentos · ademas la ficha dice solo Melbourne y opera Melbourne Y Brisbane · banner activo "Impact Melbourne has moved - come visit our new campus" (direccion desactualizada) · puede_vender repite "Idiomas" dos veces
Rafa Nadal Academy | si | rafanadalacademy.com | Rafa Nadal Academy · Academia de Tenis y Padel | si | no hay pagina unica: menu Adult Camps / Junior Camps / Annual Program / Competicion / International Camps | ~10-12 | Camps de tenis y padel (adultos y juniors), programas anuales de tenis y padel, fitness & health, torneos | institucion (academia deportiva) | NO HAY OFERTA ACADEMICA en el sitio: cero menciones de high school, bachillerato, colegio o "American International School" · la ficha marca puede_vender "Todos los programas", lo cual SOBREVENDE (solo hay deporte) · sitio en espanol, sin listado plano de programas, la extraccion tiene que recorrer 5 ramas del menu · /programas/ da 404, la URL viva es /programa-curso-tenis/
California State University San Marcos | si | csusm.edu | California State University San Marcos (CSUSM) | si | https://catalog.csusm.edu (catalogo Acalog) · indice en /academics/colleges.html | ? (4 colleges, ~50 departamentos) | Bachelor, Master (MBA, MS), certificados, Extended Learning | institucion | el catalogo real vive en un SUBDOMINIO externo (catalog.csusm.edu, plataforma Acalog con navegacion por ano academico), no en csusm.edu · cero menciones de ESL o ingles intensivo pese a ser universidad marcada para internacionales · la ficha apunta a /index.html en vez de la raiz
Illinois State University | si | illinoisstate.edu | Illinois State University | si | https://illinoisstate.edu/academics/majors/ | 160+ opciones de grado | Bachelor (majors + minors), Graduate | institucion | PARTNER_GROUP OBSOLETO: "INTO" no aparece NI UNA VEZ en el sitio · verificado con busqueda de palabra completa en home, /admissions/international/ y /academics/majors/: 0 coincidencias · el convenio INTO Illinois State ya no opera y la ficha lo sigue declarando · nota menor: el certificado se emite para el dominio hermano ilstu.edu (ambos son de la universidad)
Study Group Australia | si | studygroup.com (HOLDING) | Study Group Limited | no | no hay lista plana; secciones /partners/<region>/ | 17 International Study Centres y colleges | Pathway, foundation, pre-master via universidades socias | red (holding paraguas) | LA DIVISION AUSTRALIA YA NO EXISTE: el titulo del sitio es literalmente "Study in the UK, Europe or the USA with Study Group" y las regiones de partners extraidas del HTML crudo son china, ireland, north-america, singapore, united-kingdom · NINGUNA Australia · las 52 apariciones de "Australia" en el HTML son entradas de blog viejas (reapertura de fronteras, visas post-estudio) y un codename residual "australia__copy_" reutilizado para la pagina de Irlanda · ficha FANTASMA: ademas de apuntar a un holding, nombra una division cerrada
Kings College | si | kingseducation.com | Kings Education (entidades Prime Education Colleges Ltd, Prime Education Pathways Ltd, Kings Colleges (USA) LLC, Kings Colleges Wisconsin LLC) | parcial | no hay pagina unica: /uk-uni/, /learn-english/, /young-learners/, /us/, /partner-schools/ | ~15-20 | Idiomas (adultos y ninos), A-level, GCSE, Oxbridge prep, Foundation/Degree Pathway, High School, pregrado y postgrado via universidades socias | red (grupo multi-campus) | NOMBRE ENGANOSO: la marca es "Kings Education" / "Kings Colleges" en plural; "Kings College" en singular NO es como se presenta y se confunde con King's College London (institucion distinta y sin relacion) · la ficha dice pais UK pero opera tambien USA (Nueva York, Boston, California, Tennessee, Wisconsin) y Bangkok · /about-kings/ da 404 · catalogo repartido en 5 secciones sin listado unico
The Quality Training and Hospitality College | si | qca.edu.au | The Quality Training and Hospitality College Pty Ltd trading as Quality College of Australia · ABN 71 062 309 755 · RTO 1036 · CRICOS 02880B | parcial | https://www.qca.edu.au/international-student-courses/ y https://www.qca.edu.au/domestic-student-courses/ | ~8-9 | Certificate III Commercial Cookery, Certificate IV Kitchen Management, Diploma y Advanced Diploma of Hospitality Management, Individual Support, Food Safety Supervisor (VET puro, ningun grado) | institucion | el nombre de la ficha es la RAZON SOCIAL; el nombre comercial con el que opera es "Quality College of Australia" · catalogo PARTIDO en dos listas incompatibles (internacional en paquetes, domestico por familia de curso), la extraccion tiene que recorrer ambas · ficha SIN category y con puede_vender VACIO pese a ser VET de hosteleria vendible · campus Sydney (Pyrmont) y Adelaide (Wayville)
PGA Institute | no | www.pga.org.au (522) / pga.org.au (403) | ? no verificable | ? | ? | ? | ? | ? | MUERTO EFECTIVO, NO BLOQUEADO: DNS resuelve bien contra 8.8.8.8 (104.20.16.23 y 172.66.159.174, Cloudflare) pero el ORIGEN esta caido · www.pga.org.au devuelve 522 "Connection timed out" por HTTPS Y por HTTP, CON y SIN User-Agent de Chrome, en 5 intentos separados · el apex pga.org.au si contesta pero con managed challenge de Cloudflare ("Just a moment...", 403) que ningun fetcher pasa · resultado: la ficha es inauditable e inextraible tal como esta · ademas pga.org.au es el dominio de la Professional Golfers Association of Australia (organismo gremial del golf), no de un "PGA Institute" · ficha SIN category y puede_vender VACIO
