# Lote 28 · 16 instituciones · 2026-08-07 · DNS verificado contra 8.8.8.8 · UA de Chrome en todos los reintentos · HTML CRUDO revisado en los 16 (busqueda de spam inyectado en divs ocultos)
# NOTA DE ENTORNO: la red de JP rompe la comprobacion de revocacion TLS de schannel (CRYPT_E_NO_REVOCATION_CHECK); 15 de 16 dominios daban code=000 (falso "muerto"). Se reauditaron con --ssl-no-revoke, que MANTIENE la validacion de cadena y fecha. Ningun certificado de este lote esta vencido; los mas proximos vencen 10-sep-2026 (bexhillcollege.ac.uk y ces-schools.com) y 20-sep-2026 (canterbury.qld.edu.au, isc.tamucc.edu).
Wintec | si | wintec.ac.nz | Wintec · Waikato Institute of Technology (red Te Pukenga) | si | https://www.wintec.ac.nz/study-at-wintec | 110+ | Certificado a Postgrado/Master (NZQA 1-9) | institucion | CATEGORY FALSA: la ficha dice "College Privado" y es una institucion PUBLICA de educacion terciaria (Waikato Institute of Technology, dentro de Te Pukenga) · catalogo detras de BUSCADOR dinamico, no lista plana · puede_vender VACIO pese a llegar hasta master · tipo_adivinado "curso_corto" no describe una institucion de 110+ cualificaciones
University of the Sunshine Coast (USC) | redirige | www.usc.edu.au -> 301 a www.unisc.edu.au | UniSC · University of the Sunshine Coast, Queensland | parcial | https://www.unisc.edu.au/study/courses-and-programs | ? (17 areas de estudio) | Pregrado, Postgrado, PhD y Master por investigacion, pathways | institucion | REBRANDING NO RECOGIDO: el dominio de la ficha redirige al nuevo (unisc.edu.au) y la marca viva hoy es "UniSC", no "USC" · corregir el dominio para que la extraccion no dependa del redirect · ficha SIN category y con puede_vender VACIO pese a ser universidad completa · catalogo = buscador dinamico ("Find a program")
Manhattan Language | si | manhattanlanguage.com | Manhattan Language | si | https://manhattanlanguage.com/our-programs/ | ~8 | Idiomas: ingles general (8 niveles), TOEFL/IELTS/Duolingo, Business English, electivas, 1-a-1, holiday | institucion | sin hallazgos materiales · HTML crudo limpio (los aciertos de "cbd" eran el id de widget Elementor "0cbdcea", falso positivo) · unico detalle: puede_vender trae "Idiomas" DUPLICADO
Texas A&M University-Corpus Christi | si | isc.tamucc.edu (certificado TLS emitido a CN=www.studygroup.com) | Texas A&M University-Corpus Christi International Study Center · pie de pagina: "Maintained by Study Group" | parcial | NO EXISTE | 0 | ? | agencia (micrositio de pathway provider) | CRITICO · EL DOMINIO NO SIRVE PARA EXTRAER: isc.tamucc.edu no es el sitio de la universidad sino un MICROSITIO DE MARKETING de Study Group · sitemap.xml completo verificado: 27 URLs, ninguna es un catalogo (solo /study-in-usa, /tamucc, /student-admissions, /blog, /brochure) · /courses /programs /programmes /study-options todas 404 · el certificado esta emitido a www.studygroup.com, no a tamucc · puede_vender "Solo Postgrado" NO se puede verificar aqui y el ISC promociona pregrado tambien · el catalogo real vive en tamucc.edu, dominio que la ficha NO tiene
The William Light Institute (WLI) | no | wli.edu.au (DNS vivo, sitio inexistente) | ? no verificable | no | ? | 0 | ? | ? | MUERTO CONFIRMADO: DNS resuelve contra 8.8.8.8 (www.wli.edu.au -> td-ccm-neg-87-45.wixdns.net / 34.149.87.45 · apex -> 23.236.62.147) y el certificado es valido hasta 12-oct-2026, pero LAS CUATRO variantes (https/http, www y apex) devuelven 404 con "ConnectYourDomain Error | Wix.com": el dominio esta apuntado a Wix SIN SITIO CONECTADO · no hay una sola pagina, ni programas, ni prueba de que la institucion siga operando · ficha sin category y puede_vender vacio
Universal Higher Education International | si | oxfordinternational.com (dominio de una AGENCIA, no de la institucion) | Universal Higher Education (UHE), Melbourne · CRICOS Provider ID PRV14288 / Provider Number 03848E | parcial | https://www.oxfordinternational.com/partner/universal-higher-education-australia/ (pagina de la agencia) | ? | Pregrado y Postgrado (International Technology and Engineering Management) | agencia (pagina de "partner" dentro de Oxford International) | TRIPLE ERROR: (a) el `sitio` apunta a una pagina de PARTNER dentro del sitio de Oxford International, una agencia paraguas que lista decenas de instituciones, no al dominio propio de UHE; (b) la ficha dice pais=UK y UHE es de MELBOURNE, AUSTRALIA -- la propia URL termina en "-australia"; (c) el nombre real no lleva "International" · ademas la pagina devuelve 403 a fetchers y solo cede con UA de Chrome · category "Universidad" y puede_vender VACIO
Eyenesbury College | redirige | www.eynesbury.navitas.com -> 301 a www.eynesbury.edu.au | Eynesbury College · EEA ABN 20 008 194 689 · CRICOS 00561M · TEQSA PRV12096 | no | https://www.eynesbury.edu.au/programs/ | ~9 | Foundation, 5 Diplomas (Arts, Business, Computing/IT, Engineering, Health Sciences), Graduate Certificate, ELICOS | institucion (grupo Navitas) | CUATRO PROBLEMAS: (a) nombre MAL ESCRITO en la ficha ("Eyenesbury"); (b) el `sitio` es el dominio HOLDING navitas.com, no el propio -- mismo patron que ya salio en otros lotes; (c) DUPLICADO CROSS-LOTE: esta misma institucion ya se audito en el lote 10 con su dominio canonico eynesbury.edu.au; (d) puede_vender promete "High School" y "Todos los programas" pero el sitio NO menciona high school, SACE ni Year 11-12 en ninguna parte (0 aciertos en el HTML crudo): solo Foundation, Diploma, Grad Cert y ELICOS · category "College Publico" tambien es falsa (es privado, de Navitas) · los diplomas son pathway a Adelaide University, no grados propios
Institut de Touraine | si (pero la URL EXACTA de la ficha da 404) | institutdetouraine.com | Institut de Touraine | si | https://institutdetouraine.com/es/cursos-de-frances/ | ~5 tipos | Idiomas: frances general, inmersion cultural, preparacion DELF/DALF, frances profesional, clases particulares | institucion | LA URL DE LA FICHA ESTA ROTA: /es/node/900 devuelve 404 -- es un ID interno de Drupal que ya no existe · la raiz y /es/ si responden 200 · REVISADO EL HTML CRUDO de home y de la version en espanol (el vector de los dos sitios comprometidos anteriores): LIMPIO, sin spam inyectado (el acierto de "cialis" era la palabra "specialises" dentro de "professeurs specialises") · puede_vender "Todos los programas" SOBREVENDE: aqui solo hay frances
High School SD73 Kamloops-Thompson International student proogram | redirige | ispcanada.ca -> https://www.sd73.bc.ca/international-student-program | School District No. 73 (Kamloops-Thompson) · programa: "Kamloops-Thompson International Student Program (ISP)" | parcial | https://www.sd73.bc.ca/international-student-program | ? | Secundaria (high school) + ESL + servicios de consejeria | red (junta/distrito escolar publico de BC) | NO ES UNA INSTITUCION sino un DISTRITO ESCOLAR con varias escuelas · la marca del dominio de la ficha ("ISP Canada" / ispcanada.ca) YA NO APARECE en el sitio destino: el dominio sobrevive solo como redirect, la identidad viva es SD73 · el nombre en la ficha trae "proogram" mal escrito · puede_vender "Todos los programas" sobrevende: aqui solo hay high school
Bexhill College | si | bexhillcollege.ac.uk | Bexhill 6th Form College (Penland Road, Bexhill-on-Sea, East Sussex TN40 2JG) | parcial | https://www.bexhillcollege.ac.uk/courses/ | 40+ A Levels, mas T Levels, BTEC L3, L2, L1 y cursos de adultos | A Level, T Level, BTEC, GCSE-equivalente, adultos | institucion | El nombre real incluye "6th Form" y eso cambia lo que se puede vender: es un centro POST-16 (16-18 anos), NO otorga grados ni educacion superior · puede_vender dice "Vocacionales (Cert, Dip, Adv Dip)" y "Todos los programas", nomenclatura AUSTRALIANA que no corresponde a nada que emita un sixth form britanico · certificado TLS vence 10-sep-2026 (renovacion proxima, vigilar) · tiene brazo "International 6th Form College"
LSC - London school of Commerce Malta | redirige | www.lscmalta.edu.mt -> lscmalta.edu.mt | London School of Commerce (LSC) Malta | si | https://lscmalta.edu.mt/courses/ | ~8 | Ingles (academico, business, general, pre-sessional, profesional), BA (Hons) Business, MBA | institucion | Los TITULOS LOS EMITE LA UNIVERSITY OF SUFFOLK (UK), no LSC Malta: no es proveedor con potestad de grado propio, y eso hay que decirlo al estudiante · puede_vender viene como un unico string libre ("Ingles, Pregrado, postgrado, master") en vez de categorias normalizadas, la extraccion lo va a leer mal
