# Lote 29 · 16 instituciones · 2026-08-07 · DNS verificado contra 8.8.8.8 · todos los fetch con UA de Chrome · HTML crudo revisado para inyeccion de spam (0 hallazgos)
The University of Business and International Studies UBIS S.A. | si | ubisglobal.com | UBIS - University of Business, Innovation and Sustainability | parcial | https://ubisglobal.com/programs/ | 5 + microcredenciales | DBA, MBA, MA-IR, BBA, BA-IR | institucion | YA NO ES SUIZA: /locations/ solo lista "UBIS Online Global" y "Washington D.C. Campus Headquarters" (1100 15th St NW) y el sitio se autodefine "US-Based Institution / Fully Online Delivery" · la direccion de Ginebra (46 Avenue Blanc, 1202) sobrevive SOLO en el JSON-LD residual y en el Facebook /UBISgeneva · ademas cambio de nombre ("Innovation and Sustainability", ya no "International Studies") · la acreditacion es IACBE = PROGRAMATICA de los programas de negocio, NO institucional/regional · vender "universidad presencial en Ginebra" es falso hoy
Kaplan Business School Pty Ltd | si | kbs.edu.au | Kaplan Business School Pty Ltd (ABN 86 098 181 947 · TEQSA PRV12094 · CRICOS 02426B) | si | https://www.kbs.edu.au/courses | ~30 | Diploma, Bachelor, Grad Cert, Grad Dip, Master (MBA con 8 especializaciones) | institucion (grupo Kaplan) | ficha con tipo_adivinado "curso_corto", category null y puede_vender VACIO pese a otorgar hasta Master · falta partner_group "Kaplan"
Gateway School of English | si | english-malta.com | Gateway School of English (GSE) | si | https://english-malta.com/english-courses-malta/ | ~14 | Idiomas: General, Business, examenes (Cambridge/IELTS/TOEFL/TOEIC), juniors 11-17, 50+, familia, teacher training, ESP, nocturnos, Bildungsurlaub, internships, online | institucion | ficha dice ciudad "Julians" y la direccion del sitio es San Gwann (colindante con St Julian's) · el mismo sitio corre 4 dominios espejo por idioma (englisch-malta.com, inglese-malta.com, ingles-malta punycode) que pueden generar duplicados en futuras cargas · sin category
UNSW Global | redirige | www.unswglobal.unsw.edu.au -> 301 a www.unswcollege.edu.au | UNSW College (UNSW Global Pty Limited ABN 62 086 418 582 trading as UNSW College) | parcial | https://www.unswcollege.edu.au/study | ~5 tipos de programa | Foundation, Diploma, Applied Degree, Academic English/ELICOS, Pre-Masters | institucion (pathway de UNSW Sydney) | REBRAND: "UNSW Global" ya es solo la razon social, la marca comercial es UNSW College y el dominio de la ficha es un 301 · corregir el dominio para que la extraccion no dependa del redirect · ficha sin category y puede_vender VACIO pese a vender foundation, diploma y pre-master
Tr4inright | si | tr4inright.edu.au | Tr4inright (Pan Bird Pty Ltd t/a Tr4inright · RTO 22281 · CRICOS 03618G · ABN 96 080 249 369) | si | https://tr4inright.edu.au/courses/ | ~9 | Cert III/IV, Diploma, Adv Diploma, Grad Diploma (construccion, carpinteria, liderazgo, civil) + ELICOS (General English, EAP) | institucion | ficha sin category y con puede_vender VACIO · es un RTO vocacional CON ELICOS, no un "curso_corto" · acepta internacionales (CRICOS)
Universal Higher Education UHE | si | uhe.edu.au | Universal Higher Education / UHE Australia (CRICOS 03848E · PRV14288 · ABN 57 608 244 417) | si | https://www.uhe.edu.au/courses | 6 | Bachelor (2), Master (2), Grad Cert (1), Grad Dip (1) | institucion (Universal Learning Group) | CONTRADICE LA FICHA: puede_vender dice "Vocacionales (Cert, Dip, Adv Dip)" y UHE NO TIENE NI UNA cualificacion VET · es proveedor de educacion superior puro (Bachelor/Master), la category "College Privado" tambien engana · riesgo de venderle al estudiante un producto que la institucion no puede emitir
Canadian Language Learning College - CLLC | si | cllc.ca | CLLC - Canadian Language Learning College | si | no hay indice unico: onsite en https://www.cllc.ca/ (paginas /onsite-*), online en cllconline.ca | ~15 | Idiomas: General (semi-intensivo/intensivo/acelerado), University Pathway 1 y 2, IELTS, Business English, 1-a-1, Communication Skills, Junior, Public School Parents | institucion | CATALOGO PARTIDO EN DOS DOMINIOS (cllc.ca onsite / cllconline.ca online): la extraccion tiene que recorrer ambos o se pierde la mitad · campus reales Halifax, Ottawa y Toronto (la ficha dice "Nova Scotia" en vez de Halifax) · el sitio enlaza marcas satelite (cllcturkey.com, cpiea.com, alyrajab.com) que no son parte de la escuela
ELSIS | si | elsis.edu.au | ELSIS - English Language Schools (CRICOS 02644C) · "ELSIS is now part of the ECA College" | si | no hay indice unico: /general-english/, /eap/, /study-pathways/, /english-workshops/, /study-tour/, /study-tour-with-universities/ | 6 | Idiomas: General English, EAP, pathways, workshops, study tours | institucion (grupo ECA - Education Centre of Australia) | 4 campus activos (Sydney, Melbourne, Brisbane, Adelaide) y la ficha solo lista 2 · el propio sitio declara la absorcion en ECA College, marca a vigilar por posible desaparicion · sin pagina unica de cursos
HIC - University of Hertfordshire | bloquea | herts.ac.uk (DNS OK contra 8.8.8.8 -> 43.245.41.78) | ? no verificable | ? | ? | ? | ? | ? | DOBLE PROBLEMA: (a) Cloudflare managed challenge, 403 con UA de Chrome en /, /courses y /robots.txt - hay que auditarla a mano en navegador; (b) PATRON CONOCIDO: la ficha es del pathway college HIC (Hertfordshire International College, operado por Navitas) pero el `sitio` apunta a la UNIVERSIDAD (herts.ac.uk), no al college · partner_group esta en null cuando deberia decir Navitas · el puede_vender mezcla la oferta de la universidad con la del college
LCI Language Consultants Intenational | si | englishlci.edu | LCI Language Centers (Language Consultants International) | parcial | https://www.englishlci.edu/programs/*.php (el indice /programs/ devuelve 403, las paginas hijas si responden 200) | ~5 | Idiomas: Intensive English, Executive English, Academic English, General English, Private/Specialized | institucion | CIUDAD ERRONEA: la ficha dice Colorado y el sitio dice HOUSTON, TEXAS (area Galleria, tel 832) · CERO menciones de Colorado o Denver en todo el HTML crudo · acreditada por CEA hasta dic-2027 · puede_vender incluye "Todos los programas" y solo hay ingles · el indice /programs/ da 403 (directorio sin index): la extraccion debe ir directo a los .php hijos
Canadian College | si | canadiancollege.com | Canadian College · y "The Canadian College of English Language" (CCEL) como division de idiomas | si | https://canadiancollege.com/es/ -> paginas /es/*-program | ~12 | Diplomas de carrera (6: Business Mgmt, Hospitality, International Trade, Project Mgmt, IT, Digital Marketing), ingles CCEL, micro-credenciales, pathway | institucion | DOS MARCAS BAJO UN DOMINIO (Canadian College = diplomas de carrera; CCEL = ingles): la ficha las colapsa en una · NO otorga grados, solo diplomas y certificados, asi que "Todos los programas" sobrevende · no hay pagina indice de cursos, hay que recorrer las /es/*-program una a una
