# Lote 31 · 2026-08-07
# Nota de entorno: la red intercepta TLS (MITM), curl requiere -k. Todas las verificaciones
# de "responde" se hicieron con UA de Chrome + headers Sec-Fetch completos, y DNS contra 8.8.8.8.

Neuro Business School | si | eunbs.com | NEURO Business School | si | https://eunbs.com/ (listado en home, sin pagina /programas dedicada) | 6 | Bachelor (3a) x2, Master (1a) x3, Executive MBA x1 | institucion | Titulos NO propios: los bachelor y el master en IA los "valida" Utamed y los master/MBA los valida UVic-UCC. Escuela privada, no universidad. Verificar que la agencia pueda vender titulacion validada por tercero antes de ofrecer "Pregrado & Postgrado".
ILEM SRL - ACCADEMIA DI BELLE ARTI "ALDO GALLI" | redirige | ied.es/localidades/como -> www.accademiagalli.com | Accademia di Como Aldo Galli (title de pagina: Accademia di Belle Arti Aldo Galli) | parcial | https://www.accademiagalli.com/courses | 10+ | Triennio BA, Quinquennio Restauro, Academic Foundation, MA, Master (restauro/textil), Summer Courses | institucion | El `sitio` de la ficha apunta al sitio ESPANOL del GRUPO IED (pagina de localidad), no al college. Patron (a). Hoy redirige solo al dominio real, pero es una redireccion controlada por IED que puede romperse: cambiar el `sitio` a www.accademiagalli.com. "ILEM SRL" es la razon social, no aparece como nombre publico.
LSF/IEF | si | lsf-france.com | KLF Montpellier - LSF | parcial | https://lsf-france.com/es/ (cursos enlazados desde home) | ~15 | Frances general/intensivo/premium, prep TCF-TEF-examen civico, frances de negocios, formacion de profesores, online, campamentos juveniles, clases particulares | institucion | La sigla "IEF" de la ficha NO aparece en ningun lado del sitio. Rebranding a KLF (Keep Learning French) ya consumado: el sitio se identifica como "KLF Montpellier - LSF" y enlaza a klf.fr / klf-examen.fr / erasmus.klf.fr. Actualizar nombre de ficha; verificar si IEF era una segunda escuela que desaparecio en la fusion.
The University of Utah - English Language Institute | si | eli.utah.edu | English Language Institute (University of Utah) | si | https://eli.utah.edu/ (programas enlazados individualmente, sin indice unico) | 4-5 | Intensive English Program (F-1/J-1), General English nocturno (basico e intermedio), programas online, English for Tourists | institucion | -
Sarina Russo Institute | si | www.sri.edu.au + www.srienglish.edu.au | Sarina Russo Institute (sri.edu.au) / SRI English (srienglish.edu.au) | si | https://www.sri.edu.au/domestic/courses/ y http://www.srienglish.edu.au/courses/ | ~10 VET + 7 ingles | Cursos cortos, Certificado IV, Diplomas (sri.edu.au); Intensive General English, Unipath 1 y 2, Bridging English, IELTS Prep, IELTS Advanced, Study Tours (srienglish) | institucion | El campo `sitio` NO es un dominio valido: dice literalmente "www.sri.edu.au and www.srienglish.edu.au". Patron (d). Son DOS sitios con DOS ofertas distintas (VET vs ingles, CRICOS 00607B en el de ingles) que deberian ser dos fichas. Ademas la ficha tiene category=null y puede_vender=[] : no se puede vender nada tal como esta. Ambos operan bajo "The Sarina Russo Group" (holding) pero los dominios SI son de los colleges, no del holding.
Mars Institute | si | mars.edu.au | Mars Institute | si | https://mars.edu.au/courses/ | ~13 | Certificado III y IV (5 automotriz, 1 construccion), Diplomas (3 automotriz/construccion), Graduate Diploma (1 de management) | institucion | RTO 45911 / CRICOS 04056G, activo, sin avisos de cierre. `puede_vender` esta VACIO pese a tener 13 cursos VET vendibles y CRICOS internacional: la ficha bloquea la venta sin razon aparente. Ciudad real Port Melbourne (ficha dice Melbourne, aceptable).
Macallan College | si | macallan.edu.au | Macallan College Pty Ltd trading as Macallan College | si | https://macallan.edu.au/courses/ | 30+ | Cert III x13, Cert IV x4, Diploma x7, Advanced Diploma x2, Graduate Diploma x1, General English x1 | institucion | RTO 41030 / CRICOS 03468F, activo. `puede_vender` dice "Vocacionales (Cert, Dip, Adv Dip)" pero tambien hay un Graduate Diploma y General English fuera de esa etiqueta. Campus coinciden con la ficha (Adelaide, Brisbane, Perth, Sydney) mas dos sedes Sydney: Harris Park y Richmond (NSW regional). Inscripcion via macallan.app.axcelerate.com.
Capilano University | si | www.capilanou.ca | Capilano University | si | https://www.capilanou.ca/programs--courses/ (buscador en /search--select/) | 50+ | Certificados, Diplomas, Associate Degrees (Arts/Sciences), Bachelors (Arts, Science, Business, Education, Design, Animation), postgrados | institucion | -
University of Bradford | si | www.bradford.ac.uk | University of Bradford | si | https://www.bradford.ac.uk/international/international-college/ (pathway) | 5 pathway | International Foundation Year, International Year Zero, International Year One, International Year Two, International Incorporated Masters | institucion | El `sitio` https://www.bradford.ac.uk/external/ sirve la HOME de la universidad, no el pathway college. Patron (a). La ficha dice "Solo pathway / Foundation & Pre master", asi que el dominio correcto es /international/international-college/ (University of Bradford International College, UBIC). Ademas `partner_group` = "Oxford International" NO se confirma en el sitio: UBIC se presenta como college propio "on-campus" de la universidad. Verificar el partner antes de cotizar comision.
The University of Sydney (USyd) | redirige | sydney.edu.au -> www.sydney.edu.au | The University of Sydney | si | https://www.sydney.edu.au/study.html | ? | Undergraduate, Postgraduate coursework, Research (HDR), Short courses | institucion | Catalogo NO enumerable: es un buscador dinamico por 10 areas x 4 niveles, sin listado estatico ni conteo publicado. La extraccion posterior necesita otro tratamiento. Ficha muy incompleta: category=null, ciudad=null, puede_vender=[] y tipo_adivinado="curso_corto" para una universidad de investigacion Go8 completa. `sitio` en http:// (redirige a https).
HighSchool Upper Canada District SB | bloquea | www.ucdsb.on.ca | ? (no accesible) | ? | ? | ? | ? | red | Cloudflare JS challenge ("Just a moment...", cf-mitigated: challenge) devuelve 403 incluso a /robots.txt y /sitemap.xml con UA de Chrome y headers completos. NO esta muerto: DNS resuelve y Cloudflare responde. Patron (b), en su version dura: ninguna extraccion automatica va a funcionar aqui, hay que capturar a mano o via navegador real. Ademas es un DISTRITO ESCOLAR publico (school board de Ontario que gobierna decenas de colegios), no una institucion unica: patron (g). Si se vende, se vende el programa de estudiantes internacionales del distrito, no "un colegio".
