# Lote 32 · 2026-08-07
# DNS verificado contra 8.8.8.8 para los 16 dominios: los 16 resuelven. Muertos reales: 0.
# Todos los fetch con UA de Chrome + Accept/Accept-Language/Sec-Fetch-* completos.
# Nota de entorno: la red intercepta TLS (schannel CRYPT_E_NO_REVOCATION_CHECK en los 16);
# se usó --ssl-no-revoke. Eso NO es problema de los sitios, salvo donde se indica.

ELI Schools | si | elischools.com | ELI Schools (LT Education Abroad Limited, Company No. 605302) | si | https://elischools.com/programmes/ | 11 | Idiomas (inglés general A1-C1, IELTS, Work&Study EU/no-EU, junior camps, young adult, teachers, Erasmus+, job shadowing) | institucion | SITIO COMPROMETIDO: el home tiene un párrafo de spam SEO oculto con `style="position: absolute; top: -9999px"` que enlaza a https://cazeuscasinobet.com/ ("Cazeus Casino... slots, casino games, bonuses"). Está inyectado dentro del bloque "Why Choose", invisible para el usuario y visible para un crawler. Es la TERCERA ficha comprometida del catálogo. La subpágina /programmes/ sale limpia → la inyección está en el home. Avisar al partner antes de crawlear: el extractor se va a tragar el link.
Swinburne University of Technology (Sydney) | redirige | swinburne.edu.au/sydney/ → swinburne.edu.au/life-at-swinburne/locations/ (301) | Swinburne University of Technology | parcial | https://www.swinburne.edu.au/courses/find-a-course/ | ? (buscador dinámico) | Pregrado, Posgrado, VET/TAFE, pathways | institucion | EL CAMPUS DE SYDNEY YA NO EXISTE. La URL exacta de la ficha devuelve 301 permanente a la página de localizaciones, que enumera SOLO Hawthorn, Croydon y Wantirna (Melbourne) + Sarawak (Malasia). Cero coincidencias de "Sydney" en el HTML de esa página. La ficha vende un campus que la propia universidad ya no lista. `category` null y `puede_vender` vacío. Si se sostiene la ficha, tiene que ser "Swinburne (Melbourne)", no Sydney.
RMIT English Worldwide | redirige | rmitenglishworldwide.com → rmit.edu.au/up (4 saltos) | RMIT University Pathways (RMIT UP) · RMIT Training Pty Ltd, CRICOS 01912G, RTO 3046 | no | https://www.rmit.edu.au/up/courses-and-tests | 12 | Idiomas (Academic English, General English, IELTS, PTE, Aviation English, Grammar Fundamentals) + Foundation Studies + Fast Track + CELTA/Teacher Training | institucion | REBRAND COMPLETO: "RMIT English Worldwide"/"REW" NO aparece ni una vez en el destino. La marca fue absorbida en RMIT University Pathways. Además el dominio de la ficha es http:// y sin www resuelto por el propio sitio → cadena de 4 redirects hasta una subruta de rmit.edu.au. Un crawler apuntado a rmit.edu.au/up puede desbordarse al dominio completo de RMIT University (que es otra entidad legal). Acotar a /up/.
Peninsula Grammar | redirige | tps.vic.edu.au → www.peninsulagrammar.vic.edu.au (sólo por HTTP) | Peninsula Grammar (CRICOS 00333A, Mount Eliza, VIC) | si | https://www.peninsulagrammar.vic.edu.au/international-students/ | ? (K3-Año 12, no es catálogo de programas) | Kinder (K3-K4), Junior (Prep-Año 4), Middle (5-8), Pre Senior (9), Senior (10-12) · K-12, no educación superior | institucion | TLS ROTO EN EL DOMINIO DE LA FICHA: https://www.tps.vic.edu.au y https://tps.vic.edu.au fallan el handshake ("failed to receive handshake", openssl: "no peer certificate available") — el host Cloudflare no sirve certificado para tps.vic.edu.au. SÓLO por HTTP (puerto 80) redirige a peninsulagrammar.vic.edu.au. El `sitio` de la ficha viene sin esquema ("www.tps.vic.edu.au"): si el crawler prepende https:// falla al 100% y parecerá un dominio muerto. Normalizar a https://www.peninsulagrammar.vic.edu.au/. El CRICOS 00333A confirma que es la misma entidad (ex "The Peninsula School"), sólo renombrada.
The University of Adelaide (UoA) | redirige | www.adelaide.edu.au → adelaide.edu.au | Adelaide University | no | https://adelaide.edu.au/study/ | ? (6 colleges, sin conteo publicado) | Pregrado y Posgrado | institucion | FUSIÓN CONSUMADA: el sitio se presenta íntegramente como "Adelaide University"; "The University of Adelaide" no aparece. El home habla de "UniSA transitioning students" → es la entidad fusionada UoA+UniSA. La ficha usa el nombre pre-fusión. IMPORTANTE: en el lote 11 la ficha "University of South Australia (UniSA)" ya se detectó redirigiendo a este MISMO adelaide.edu.au → las dos fichas apuntan hoy a la misma institución. DUPLICADO CROSS-LOTE: consolidar UoA + UniSA en una sola ficha "Adelaide University". `category` null y `puede_vender` vacío.
Australian Pacific College (APC) | si | apc.edu.au | Australian Pacific College (APC) & English Unlimited (EU) · APC Education Group / Young Rabbit Pty Ltd · RTO 90396 · CRICOS 01331F | si | https://www.apc.edu.au/courses/ | ~33 | Idiomas/ELICOS (General, Academic, IELTS, Cambridge, junior) + Certificate II-IV + Diploma + Advanced Diploma + Graduate Diploma of Management | institucion | La ficha lista 2 ciudades (Melbourne, Sydney) pero el sitio opera 5 campus: Sydney, Melbourne, Brisbane, Gold Coast y Adelaide. La marca hermana "English Unlimited" comparte el mismo dominio → el crawler traerá cursos de ambas bajo una sola ficha. Aviso vigente en el home sobre la liquidación del agente GrowPro (afecta a alumnos, no al college). `puede_vender` sí se sostiene.
Bond University | si | bond.edu.au (www redirige al apex) | Bond University | si | https://bond.edu.au/study/program-finder | ? (12 áreas de estudio · buscador dinámico) | Pregrado, Posgrado, Posgrado de investigación, Microcredenciales | institucion | Catálogo NO enumerable: es un Program Finder dinámico, no una lista. `category` null, `partner_group` null y `puede_vender` VACÍO en una universidad completa (incluye medicina y derecho) → la ficha no permite vender nada pese a ser universidad privada acreditada. `tipo_adivinado` "curso_corto" es incorrecto.
Study Abroad Canada Language Institute | si | studyincanada.ca | Study Abroad Canada College (SACC) · Charlottetown, PEI | parcial | https://www.studyincanada.ca/programs | 10 | Idiomas (Intensive English, Academic Preparation, High School Preparation, Summer Camp, Study Tour, clases privadas, grupos) + Vocacional (Resident Care Worker) + TESL Teacher Training + PEI International Student Program (secundaria) | institucion | CAMBIO DE NOMBRE: hoy es "Study Abroad Canada COLLEGE (SACC)"; la frase "Study Abroad Canada Language Institute" no aparece en el sitio. Ojo con el dominio: "studyincanada.ca" es un nombre genérico que en el pasado se asoció a directorios de estudios en Canadá — confirmado que HOY sirve al college de Charlottetown (título, dirección y footer propios), alojado en Netlify. `puede_vender` sólo dice "Idiomas" pero venden vocacional (Resident Care Worker), TESL y un programa de secundaria pública → inconsistente. `pais` "Canada" sin ciudad; es Charlottetown, PEI.
UC INTERNATIONAL COLLEGE (UCIC) | si (pero es el dominio equivocado) | navitas.com (el real es ucic.ac.nz) | Navitas Pty Limited (la ficha debería apuntar a "University of Canterbury International College") | no | https://www.navitas.com/study/colleges-campuses/ (real: https://www.ucic.ac.nz/study/) | 71 colleges en la tabla de Navitas (UCIC real: ~7-8 pathways) | n/a en navitas.com (no imparte, agrupa) · UCIC real: Pre-foundation, Certificate in Foundation Studies, Diploma in University Studies (Commerce/Science/Engineering), Pre-Master's 1 y 2 semestres, Study Abroad Certificate | red (el dominio de la ficha) / institucion (el college real) | FANTASMA + DOMINIO DEL HOLDING: la ficha apunta a navitas.com, que es el grupo. "UC International College" aparece ahí sólo como UNA FILA de una tabla de 71 colleges, y esa misma fila enlaza al dominio propio: https://www.ucic.ac.nz (200 OK, verificado). Un crawler sobre navitas.com traerá los 71 colleges del grupo, no los pathways de UCIC. Corregir `sitio` a https://www.ucic.ac.nz/. Mismo patrón que ICRGU-Navitas (lote 11) y FIC-SFU (lote 11). `puede_vender` "Foundation, UTP" sí coincide con la oferta real de UCIC.
Webster University | si | webster.edu | Webster University | si | https://www.webster.edu/academics/index.php | ? (6 colleges/schools, sin conteo publicado) | Pregrado, Posgrado, Certificados | institucion | Sin observaciones. Única nota: se presenta como red global de campus en 3 continentes (13.000+ alumnos) — la ficha dice ciudad "Missouri" (que es el estado; el campus principal es Webster Groves, St. Louis, MO). No se detectó aviso de cierre, teach-out ni problema de acreditación en el home.
Warsaw University of Business | redirige | wwsb.edu.pl → moderna.edu.pl/pl/wubp/ (301) | Warszawska Uczelnia Ekonomiczna (WUE) · ul. Smulikowskiego 6/8, Varsovia | no | https://moderna.edu.pl/pl/wubp/ | ~10-12 | Licenciatura, Máster y Posgrado/MBA: Zarządzanie, Pedagogika, Bezpieczeństwo Narodowe, Psychologia, Ekonomia, Logistyka, Dziennikarstwo | institucion | DOBLE REBRAND, LA FICHA VA DOS NOMBRES ATRÁS. Cadena: "Warszawska Wyższa Szkoła Biznesu" (wwsb) → "Warszawska Uczelnia Biznesu i Psychologii «Moderna»" (WUBP) → y el 9-sep-2025 volvió a "Warszawska Uczelnia Ekonomiczna". El dominio viejo redirige a una SUBRUTA (/pl/wubp/) dentro del dominio moderna.edu.pl, no a la raíz → un crawler sobre moderna.edu.pl puede mezclar contenido de la marca vieja y la nueva. Sitio íntegramente en polaco, sin versión EN visible. `tipo_adivinado` "curso_corto" es incorrecto: otorga grados. `category` null y `puede_vender` vacío.
