# Lote 35 · 16 instituciones · 2026-08-07 · solo el dominio oficial de cada ficha · TLS con --ssl-no-revoke (MITM del entorno) · todo 403 reintentado con UA+Accept de Chrome · dominios dudosos verificados contra 8.8.8.8
University Canada West | redirige | ucanwest.ca -> https://www.ucanwest.ca/ (301, agrega www) | University Canada West (UCW) · el pie dice "UCW is part of: Global University Systems" | si | https://www.ucanwest.ca/programs | ~17 (5 pregrado + 2 posgrado + 1 preparatorio + 9 micro-credenciales) | Associate, Bachelor, MBA (presencial y online), University Access Program, micro-credenciales | institucion | puede_vender promete "Idiomas" y "Foundation & Pre master": el sitio NO tiene ESL/EAP propio ni foundation — solo el University Access Program · tipo_adivinado "vacacional" es incorrecto para una universidad con MBA · partner_group "GUS" SI se confirma en el sitio (unico del lote que verifica)
High Schools International | si | www.hsinet.org | High Schools International (HSI) · Castleriver House, 14-15 Parliament Street, Dublin D02 FW60, IRLANDA | si (el nombre, no el resto) | https://www.hsinet.org/programs | 4 programas (Classic Exchange, Public School, Private School, Group Short Stays) | High school (secundaria) por COLOCACION en colegios de terceros | agencia (placement provider) | DOBLE ERROR GRAVE: (1) PAIS Y CIUDAD ERRADOS — la ficha dice UK/Brighton y la organizacion es de DUBLIN, IRLANDA · (2) NO ES UNA INSTITUCION: se autodefine "Placement Provider" y coloca alumnos en ~150 colegios socios irlandeses, no imparte nada propio · el sitio es un Wix con modulos de e-commerce/membresias (Cart, Checkout, My Wallet, My Orders) que ensucian cualquier scraping
Southern Cross University | si | www.scu.edu.au | Southern Cross University | si | https://course-search.scu.edu.au (DEVUELVE 403) | ? | Diploma (via SCU College), Bachelor, Master, PhD / Masters by Thesis, EAP | institucion | EL CATALOGO ES INACCESIBLE: course-search.scu.edu.au responde 403 con "Just a moment..." (challenge de Cloudflare) incluso con UA de Chrome — la extraccion necesita navegador real, no fetcher · la ficha pone ciudad "Nueva Gales del Sur", que es un ESTADO: los campus son Lismore, Gold Coast y Coffs Harbour (7 en total) · puede_vender omite "Idiomas" pese a que el sitio ofrece English for Academic Purposes
Texila College | redirige | www.texila.edu.au -> https://texila.edu.au/ (301, CAE el www) | Texila College Australia Pty Ltd (ABN 20 614 451 286 · CRICOS 03894K · PRV14276) | parcial | https://texila.edu.au/our-courses/ | 1 grado con 6 especializaciones (Accounting, Hospitality Mgmt, Information Systems, Management, Marketing, International Business) | SOLO Bachelor of Business (AQF 7) | institucion | puede_vender ES FALSO EN SUS DOS ENTRADAS: dice "Vocacionales (Cert, Dip, Adv Dip)" e "Idiomas" y el sitio no tiene NI UN certificado, NI UN diploma, NI UN curso de ingles — unicamente un bachelor · tipo_adivinado "vacacional" tambien incorrecto · opera Melbourne (Elizabeth St) y Pakenham VIC
EU Business School | bloquea (403 a fetchers · 200 con UA de Chrome) | www.euruni.edu | EU Business School | si | https://www.euruni.edu/en/Programs.html | ~6 familias de programa | Foundation & Bridging, Bachelor, Master, MBA, DBA, International Summer School | institucion multi-campus | WAF: devuelve 403 a cualquier fetcher sin UA de navegador — NO declararlo muerto, con UA de Chrome responde 200 · LA FICHA CUBRE 1 DE 3 PAISES: los campus son Barcelona (Espana) + GINEBRA (Suiza) + MUNICH (Alemania) + Digital Campus, y el sitio los nombra por igual (~28 menciones cada uno) · los grados los VALIDA University of Derby (UK), no EU misma · acreditadores ACBSP e IACBE · tipo_adivinado "curso_corto" incorrecto
University of Stirling | si | www.stir.ac.uk | University of Stirling (Stirling FK9 4LA, Escocia) | si | https://www.stir.ac.uk/courses/ | "170+" de pregrado, mas masters y doctorados | Bachelor, Master (presencial y online), PhD, MPhil, doctorados profesionales | institucion | partner_group "INTO" NO SE MENCIONA NI UNA VEZ en el dominio oficial: 0 coincidencias en la home, en /courses/ y en /study/ · ademas /study/international/ da 404 · el convenio INTO Stirling NO es verificable desde el sitio, confirmarlo por contrato antes de vender pathway (el sitio tampoco publica foundation ni pre-masters propios) · CATALOGO NO ENUMERABLE: es un buscador con filtros y /sitemap.xml devuelve 404, asi que no hay ni la via del sitemap
Kapitel Zwei | si | kapitel-zwei.de | Kapitel Zwei. Deutsch-Sprachschule Berlin GmbH (Am Kollnischen Park 1, 10179 Berlin) | si | https://kapitel-zwei.de/en/german-language-course-berlin/ y https://kapitel-zwei.de/en/course-dates/ | ~10+ | SOLO idiomas: aleman A1-C2 intensivo, conversacion, gramatica, fonetica, telc A1-C1, TestDaF, aleman medico (Arztekammer), in-company, online | institucion | ficha correcta (la mas limpia del lote) · unico matiz: el campo `sitio` apunta a la subcarpeta /en/ y no a la raiz — un fetcher que normalice a la raiz cae en la version ALEMANA del sitio y extrae otro idioma
South Australian Government Schools | redirige | la ficha guarda "www.internationalstudents.sa.edu.au" SIN esquema · resuelve http -> https -> https://www.internationalstudents.sa.edu.au/en/ (2 saltos) | Department for Education T/A South Australian Government Schools | parcial | https://www.internationalstudents.sa.edu.au/en/find-a-school/ | 150+ COLEGIOS (no programas) | Primaria y secundaria publica + study tours + programas de vacaciones + homestay | red / departamento de gobierno | NO ES UNA INSTITUCION VENDIBLE COMO FICHA UNICA: es el International Student Program del DEPARTAMENTO DE EDUCACION de Australia del Sur — una red de mas de 150 colegios publicos, cada uno con su propia oferta · el `sitio` viene SIN protocolo (rompe fetchers que no lo normalicen) · category null, ciudad null y puede_vender VACIO · lo unico "enumerable" son los buscadores /choose-a-primary-school/ y /choose-a-secondary-school/
University of Canberra College | si (pero el dominio no es suyo) | el `sitio` es navitas.com = HOLDING · el real es https://www.canberra.edu.au/uc-college/ | navitas.com se presenta como "global education provider" con 100+ colleges, 38 universidades socias, 18 paises · el college se llama "UC College" | no | https://www.canberra.edu.au/uc-college/courses | ? (diplomas + foundation + graduate certificate + ingles) | Foundation Studies, Diploma, Graduate Certificate in Academic Foundations, cursos de ingles (UCC English Language Centre) | red / holding (lo que apunta la ficha) | FICHA FANTASMA: `sitio` apunta a NAVITAS.COM, el holding — ni un solo programa de UC College es extraible desde ahi, y un scraper traeria los 700+ programas de las otras 100 escuelas del grupo · CORREGIR sitio a https://www.canberra.edu.au/uc-college/ · TRAMPA: ucc.edu.au SI resuelve (198.49.23.144) pero es "University Chancellors Council", una organizacion DISTINTA — no usarlo · ucc.canberra.edu.au tiene el TLS roto (fallo de verificacion)
Seton Hill University | si | www.setonhill.edu | Seton Hill University (Greensburg, Pensilvania) | si | https://www.setonhill.edu/academics/degrees-programs/program-explorer/index.html | "more than 100" de pregrado + posgrados + doctorados, en 5 escuelas | Bachelor (presencial y online), Master, Doctoral, certificados, dual enrollment | institucion | partner_group "Wellspring" NO APARECE en ninguna parte del sitio oficial — es el MISMO patron que Loyola University New Orleans en el lote 18: conviene auditar el campo `partner_group="Wellspring"` en TODO el catalogo, no ficha por ficha · el sitio no ofrece ESL/IEP ni pathway internacional · puede_vender repite el mismo item dos veces con distinta redaccion ("Pregrado & Postgrado" / "Pregrado + Posgrado")
University of Aberdeen | si | www.abdn.ac.uk | University of Aberdeen (fundada 1495, Aberdeen, Escocia) | si | https://www.abdn.ac.uk/study/ | ? (buscador con filtros, sin conteo publicado) | Undergraduate, Postgraduate Taught, Postgraduate Research, Online Learning | institucion | partner_group "Study Group" NO se menciona en el dominio oficial · OJO AL FALSO POSITIVO: grepear "foundation" en abdn.ac.uk devuelve DECENAS de coincidencias que son VARIABLES CSS del design system (--abdn-foundation-dark, --abdn-btn-hover...), no programas — quien automatice esta deteccion se llevara un falso positivo · el "Foundation & Pre master" que promete puede_vender lo opera el International Study Centre de Study Group, que vive en OTRO dominio, no aqui
