# Lote 36 · 2026-08-07
CCEL Christchurch | si | www.ccel.co.nz | Christchurch College of English (CCEL) | parcial | https://www.ccel.co.nz/courses/ | ~6 | Idiomas (General English, EAP 1 y 2, Exam Prep, High School Prep, Grupos) | institucion | Nombre real es "Christchurch College of English", la ficha usa solo la sigla. Campus dentro de University of Canterbury (Ilam). Navitas confirmado en el footer, coincide con partner_group. puede_vender dice "Todos los programas" pero solo ofrece ingles.
CodeCore College | si (solo via HTTP; HTTPS no verificable por MITM local) | codecore.ca | CodeCore College | si | https://codecore.ca/programs/bootcamp (no hay indice unico; menu Programs) | ~12 | Vocacional: bootcamp, certificados, diplomas y advanced diplomas (tech, business, education assistant) | institucion | CIUDAD ERRADA + campus en transicion: el sitio dice "recently relocated and will shortly relaunch in our new location in the fast-growing city of Prince George" y la direccion es 2289 Westwood Dr, Prince George BC. La ficha dice New Westminster; el origen historico es downtown Vancouver. Ademas el footer advierte "CodeCore programs are not eligible for Post Grad Work Permits" (critico para venta a internacionales). Footer con copyright 2025.
WorldWide School of English | redirige | worldwideschool.ac.nz | Worldwide School of English | si | https://worldwideschool.ac.nz/courses/ | ~5 | Idiomas (General English, Academic Exam Prep, Groups, Further Studies, Afternoon Options) | institucion | DOMINIO DE LA FICHA PARQUEADO: worldwideschool.info sirve un certificado de dnspackage.com con altname "suspended.dnspackage.com" (parking de Dreamscape/ds.network); por HTTPS falla y solo por HTTP plano hace 301 a https://www.worldwideschool.ac.nz. Reemplazar el dominio por worldwideschool.ac.nz. Ciudad (null en ficha) = Auckland, 80 Anzac Avenue. Opera "in association with" Crown Institute.
EC English | si | www.ecenglish.com | EC English (EC English Language Centres) | parcial | https://www.ecenglish.com/en/english-courses/ | ~10 tipos de curso | Idiomas, Business English, prep de examenes (IELTS/TOEFL/Cambridge/TOEIC), CELTA/DELTA, online | red | El dominio es el GRUPO GLOBAL, no la escuela de Dublin de la ficha: EC opera en 7 paises y ~17 campus (USA, Canada, UK, Irlanda, Malta, Sudafrica, EAU). URL propia del campus de la ficha: https://www.ecenglish.com/en/schools/ireland/learn-english-in-dublin/ . La extraccion posterior debe apuntar al campus, no al grupo.
Millersville University | si | www.millersville.edu | Millersville University | si | https://www.millersville.edu/programs/ | ? | Pregrado y posgrado | institucion | Miembro del Pennsylvania State System of Higher Education (PASSHE). El partner_group "Wellspring" de la ficha no aparece en ningun lugar del sitio oficial: sin confirmar.
Newcastle University | si | www.ncl.ac.uk | Newcastle University | si | https://www.ncl.ac.uk/undergraduate/degrees/ y https://www.ncl.ac.uk/postgraduate/degrees/ | ? (cientos) | Pregrado, posgrado taught, posgrado research, CPD, pathway | institucion | CIUDAD ERRADA: la ficha dice "Londres" y el campus principal es Newcastle upon Tyne. El sitio no menciona ningun campus propio en Londres. Ademas el pathway se llama "Newcastle University International Study Centre" (nomenclatura ISC / Study Group), no INTO: el partner_group "INTO" de la ficha queda en duda.
Deakin University (Deakin) | bloquea (403 a fetchers sin UA; 200 con UA de Chrome) | www.deakin.edu.au | Deakin University | si | https://www.deakin.edu.au/courses | ? (cientos) | Pregrado, posgrado, VET, pathway, cursos cortos | institucion | WAF devuelve 403 a clientes sin User-Agent de navegador; con UA de Chrome responde 200 y sirve HTML completo. NO esta caido. Ciudad null en ficha: campus en Geelong (Waterfront y Waurn Ponds), Burwood/Melbourne y Warrnambool, Victoria. category null y puede_vender vacio pese a ser universidad con oferta completa.
King's Christian College | si | www.kingscollege.qld.edu.au | King's Christian College | si | https://www.kingscollege.qld.edu.au/learning | ~4 etapas | Colegio K-12: Early Learning (2.5-5), Primary (Prep-Y6), High School (Y7-12) + King's Trade College (Y10-12, vocacional) | institucion | NO ES EDUCACION SUPERIOR: es un colegio cristiano independiente K-12 (fundado 1980, +6.000 alumnos, 4 campus en SE Queensland: Logan Village, Pimpama, Reedy Creek, Walloon). Acepta internacionales, pero revisar si la agencia lo vende como tal. Ciudad null en ficha; no hay un unico municipio. category null y puede_vender vacio.
Royal Holloway university of London | si | www.royalholloway.ac.uk | Royal Holloway, University of London | si | https://www.royalholloway.ac.uk/studying-here/ | ? | Pregrado, posgrado, investigacion | institucion | Ciudad de ficha imprecisa: forma parte de University of London pero el campus esta en Egham, Surrey, no en Londres. El catalogo es un buscador dinamico (course finder), NO una lista enumerable: la extraccion posterior necesita otro tratamiento. El partner_group "Study Group" no aparece en el sitio oficial (el pathway lo opera un ISC externo): sin confirmar en dominio propio.
Language Links | si | www.languagelinks.wa.edu.au | Language Links International P/L (trading as Language Links) | parcial | https://www.languagelinks.wa.edu.au/courses | ~4 | Idiomas unicamente (General English, IELTS/EAP, Cambridge, cursos cortos y part-time) | institucion | Nombre legal completo es "Language Links International"; la ficha usa la marca corta. Level 1, 120 Roe Street, Northbridge, Perth WA 6003. CRICOS 02139J. Sitio en Wix, activo (2025). El partner_group "Australasia Group of Colleges" no aparece en el sitio: sin confirmar.
The English Language School in Sydney (ELSIS) | si | www.elsis.edu.au | ELSIS - English Language Schools Sydney, Brisbane & Melbourne | parcial | https://www.elsis.edu.au/courses/ | ~6 | Idiomas (General English, EAP, Study Pathways, English Workshop, Study Tours, Study Tour with Universities) | institucion | FUSIONADA: dos banners de anuncio en la home dicen "ELSIS is now part of the ECA College" y empujan al usuario a "Explore ECA College". Verificar con quien esta vigente el convenio (ELSIS o ECA College) antes de vender. Ademas el nombre de la ficha dice "in Sydney" pero opera 4 campus: Sydney, Melbourne, Brisbane y Adelaide. category null y puede_vender vacio.
