# Lote 37 · 2026-08-07

Nacel France | si | nacel.org (landing /en/france de un sitio global) | Nacel Educational Travel | no | https://www.nacel.org/en/france | ~50 (9 high school · 8 escuelas de idiomas · 27 campamentos · 6 homestay) | Idiomas · High School · campamentos juveniles | agencia | NO ES INSTITUCION: es una agencia/red de viajes educativos de 50 anios que revende programas de terceros en 25+ paises; el nombre "Nacel France" no existe como tal en el sitio, es solo la seccion de destino Francia. pais="International" y ciudad=null confirman que la ficha no describe un plantel concreto. Vender esto seria agencia-a-agencia.
New Zealand School of Tourism | si | nzschooloftourism.co.nz | New Zealand School of Tourism (NZST) · nombre comercial del PTE registrado Yoobee Colleges Ltd | parcial | https://nzschooloftourism.co.nz/courses | 6 | NZQA nivel 3 (1) · 4 (2) · 5 (2) · 6 (1) · certificados y diplomas en Aviacion/Flight Attending y Travel & Tourism | institucion (marca comercial dentro de un grupo) | La matricula y el titulo los emite Yoobee Colleges Ltd, no NZST — el pie de pagina lo dice textual. partner_group="UP Education" es correcto (Yoobee pertenece a UP Education). La ficha dice ciudad "Dunedin, Hamilton" pero los 6 campus listados hoy son Auckland City, Auckland Airport, Christchurch, Hamilton, Manukau y Wellington: DUNEDIN YA NO EXISTE como campus.
Drew University | redirige | drew.edu (el /1/ de la ficha se descarta en el redirect) | Drew University | si | https://drew.edu/academic/programs-of-study/ | ? | Bachelor (College of Liberal Arts) · Master y Doctorado (Caspersen School) · Theological School · verano/no-degree | institucion | El campo `sitio` esta malformado: "http://www.drew.edu/1/" arrastra un path basura; resuelve 200 a https://drew.edu/ con UA de navegador pero conviene limpiarlo. partner_group=INTO no se verifico en el dominio propio.
Nazareth College | bloquea | nazareth.vic.edu.au | Nazareth College · Noble Park North, Victoria | si | ? | ? | Secundaria anios 7-12 | institucion (colegio catolico K-12 local) | WAF de Cloudflare devuelve 403 al HTML incluso con UA de Chrome + headers completos; robots.txt responde 200 y DNS publico (8.8.8.8) resuelve a IPs de Cloudflare → SITIO VIVO, NO MUERTO. Contenido indexado confirma: colegio catolico mixto de secundaria en Manning Drive, Noble Park North VIC 3174, sin oferta internacional visible. NO ES VENDIBLE por una agencia de estudios en el exterior (patron g). category=null, ciudad=null y puede_vender=[] en la ficha.
Excelsia University College | si | excelsia.edu.au | Excelsia University College (TEQSA PRV12064 · CRICOS 02664K · ABN 50 360 319 774) | si | https://excelsia.edu.au/study/ | ~50 | ~8 Bachelor · ~30 posgrado (Grad Cert/Dip, Master, PhD en Organisational Leadership) · ~8 cursos cortos · 2 ELICOS (EAP y General English) | institucion | Sin avisos de cierre ni teach-out; operacion activa (primer graduado de PhD 04/05/2026). Mudanza de campus a Pennant Hills (1 City View Road) desde julio 2025 — actualizar direccion. tipo_adivinado="vacacional" es falso: es una university college con doctorados; lo unico "vacacional/idiomas" es la School of ELICOS.
Westminster University | si | westminster.ac.uk | University of Westminster | parcial | https://www.westminster.ac.uk/course-search | ? | Pregrado · posgrado · research degrees · apprenticeships · cursos cortos | institucion | El nombre real es "University of Westminster", no "Westminster University" (hay otra Westminster International University in Tashkent y una Westminster University en EEUU — riesgo de confusion). El catalogo es un BUSCADOR DINAMICO sin listado enumerable: la extraccion posterior necesita otro tratamiento. 4 campus en Londres, 309 Regent Street W1B 2HW.
Western Australia Government School | si | tafeinternational.wa.edu.au | TAFE International Western Australia (TIWA) · CRICOS 00020G | no | https://www.tafeinternational.wa.edu.au/tafe-courses/catalogue | ~100 ("Choose from 100 courses") | Certificado III · IV · Diploma · Advanced Diploma (VET) + seccion aparte de escuelas publicas de secundaria | red / organismo gubernamental paraguas | El dominio NO es de una escuela: es el brazo del gobierno de Australia Occidental que representa a TODOS los TAFE del estado Y al programa de escuelas publicas para internacionales. La ficha nombra "Western Australia Government School" (una entidad que no existe con ese nombre en el sitio) y le cuelga el catalogo TAFE completo, que es otra cosa. Ademas el catalogo es un buscador con paginacion, no una lista. Hay que partir la ficha o marcarla como paraguas.
University College Dublin | redirige | ucdisc.com → 301 → dublinisc.com | Dublin International Study Centre (Dublin ISC) · "Maintained by Study Group" | no | https://www.dublinisc.com/programmes | 4 | International Foundation Year · English Language Preparation · AI Digital Literacy · Prepare for Success (online gratis) | institucion (pathway college de un tercero, dentro del campus de UCD) | FICHA FANTASMA + PAIS ERRADO. El dominio no pertenece a University College Dublin sino al centro pathway que Study Group opera en su campus: solo se pueden vender 4 programas puente, NO la oferta de grados de UCD. Y la ficha dice pais="UK" cuando Dublin esta en IRLANDA. El campo puede_vender ("Foundation, Year 1, Pre master") es lo unico correcto, aunque hoy no aparece un International Year One en el sitio.
NZLC | si | nzlc.ac.nz | NZLC · New Zealand Language Centres (fundada 1984) | si | https://nzlc.ac.nz/courses/ | ~13 | Idiomas: General English, nocturnos, Cambridge B2 First/C1 Advanced, IELTS, Business English, Young Learners, pathways + formacion docente CELTA/TESOL/TKT | institucion | Sin avisos de cierre ni cambio de dueno. La ficha solo registra Auckland (Level 3, 242 Queen Street) pero tambien opera WELLINGTON. puede_vender trae "Idiomas" duplicado (ruido de datos).
Melbourne Institute of Technology (MIT) | si | mit.edu.au | Melbourne Institute of Technology (Melbourne Institute of Technology Pty Ltd) | si | https://www.mit.edu.au/study-with-us/programs/ | ~30 | ~12 Bachelor · ~18 Master · Graduate Diploma (Accounting, Networking) · ingles preparatorio | institucion | Uno de los 17 Institutes of Higher Education con auto-acreditacion TEQSA; campus Melbourne y Sydney (ficha ciudad=null). CONTRADICCION DE FICHA: tipo_adivinado="curso_corto", category=null y puede_vender=[] cuando otorga bachelors y masters — la ficha esta vacia de metadata vendible. Ojo con la colision de nombre/dominio con el MIT de EEUU.
Durham College | si | durhamcollege.ca | Durham College | si | https://durhamcollege.ca/programs-and-courses | ? | Diplomas · Bachelor degrees · Graduate Certificates · pathways diploma-to-degree · fast-track · aprendizajes (apprenticeships) · part-time/online · academic upgrading | institucion | Oshawa, Ontario (+ campus Whitby) — coincide con la ficha. Observacion: es un college PUBLICO de Ontario y la ficha lo clasifica como "College Privado". El listado no da conteo total explicito; se navega por categorias.
