# Lote 38 · 2026-08-07
# institucion_en_ficha | dominio_responde | dominio_real | nombre_real_en_el_sitio | nombre_coincide | url_de_programas | cantidad_aprox | niveles | tipo | alerta

High School Greater Victoria SD 61 | si | www.sd61.bc.ca (CNAME public.sd61.bc.ca, 159.60.132.98) | The Greater Victoria School District No. 61 | parcial | https://www.sd61.bc.ca/schools/school-map/ (distrito) · vendible: https://www.studyinvictoria.com | 45 escuelas (28 elementary + 10 middle + 7 secondary) · 8 programas internacionales | K-12: Elementary, Middle, High School, Academic Transition, Exchange, Summer Camp, Short Term, GISP | red (distrito escolar publico) | El `sitio` apunta al DISTRITO, no al programa internacional que una agencia vende. El dominio correcto para venta es studyinvictoria.com ("Victoria International Education", operando desde 1992, parte del distrito). `puede_vender: ["High school","High School"]` duplicado y ademas subestima: tambien venden elementary, middle, camps y short term.

Pacific English Study (PES) | redirige | www.pacificenglishstudy.com -> 301 -> pacificenglishschool.com | Pacific English Study (CRICOS 03215E) | si | https://pacificenglishschool.com/courses/ | 6 | Idiomas ELICOS: General English full-time dia / tarde / condensado, General English + Surfing, IELTS, PTE | institucion | `sitio` sin protocolo en la ficha (`www.pacificenglishstudy.com`) Y el dominio redirige 301 a OTRO dominio (pacificenglishschool.com): actualizar. La marca sigue siendo "Pacific English Study" pero el dominio ya no. `ciudad: null` -> real Surfers Paradise, Gold Coast QLD (Level 1, 17 Orchid Ave). `category: null` y `puede_vender: []` vacios siendo un ELICOS puro y CRICOS-registrado. Sin senales de parking ni spam inyectado.

University of Hartford | si | pathways.hartford.edu (CNAME studygroup.secure.edgekey.net · Akamai de Study Group) | University of Hartford International Pathway Program / International Study Center — "Maintained by Study Group" | parcial | https://pathways.hartford.edu/programs | 2 pathways + Direct Admission + English Language Institute | Pathway: International Year (pregrado), Master's International Year (postgrado), Direct Admissions, pre-sessional de ingles | institucion (centro de pathway operado por Study Group · NO es el dominio de la universidad) | CRITICO: el `sitio` apunta al International Study Center de Study Group, no a hartford.edu. `puede_vender: "Todos los programas"` es FALSO por esta via — por este dominio solo se venden 2 pathways + direct admission; el catalogo academico real vive en hartford.edu, que la propia pagina de pathways ni siquiera enlaza. Corregir `sitio` o corregir `puede_vender`.

NYFA - New York Film Academy | si | www.nyfa.edu (Cloudflare) | New York Film Academy | College of Film, Media, & Performing Arts | si | https://www.nyfa.edu/programs/ | ~70+ | AFA, BFA, MA, MFA, conservatorios de 1-2 anos, certificados, workshops de 4-15 semanas, camps para teens/kids, online | institucion | Catalogo SEMI-DINAMICO: `/programs/` es un "Program Finder" con filtros por disciplina / tipo / sede — la extraccion necesita recorrer combinaciones. Multi-campus (Nueva York, Los Angeles, Florencia, online, NYFA Kazajistan + satelites en Cambridge MA, Paris y Beijing): la ficha solo registra New York. `tipo_adivinado: "curso_corto"` subestima gravemente: otorga BFA/MFA/MA acreditados. Existe "Teach-Out Policy" publicada (procedimiento reglamentario), pero sin ningun aviso de cierre activo.

ILSC Language Schools | redirige | www.ilsc.com.au -> 302 -> www.ilsc.com/language-schools/destinations/country/australia | ILSC Education Group — razon social "ILSC (Brisbane) Pty Ltd trading as ILSC-Adelaide, -Brisbane, -Melbourne, -Sydney, -Perth, Greystone College y ILSC Australia" | parcial | https://www.ilsc.com/language-schools/languages/study-english | 4 codigos CRICOS en AU + core/skills classes | Idiomas: General English, IELTS Mastery, English for Academic Purposes, Cambridge Mastery | red (grupo internacional; incluye Greystone College como marca vocacional) | `sitio` sin protocolo y ademas redirige (302) al sitio GLOBAL del grupo, perdiendo la identidad australiana. No es una escuela unica: 5 campus en Australia (Brisbane, Sydney, Melbourne, Adelaide, Perth) + Canada, Irlanda e India. `ciudad: null` correcto pero la ficha lo trata como institucion. `category: null` y `puede_vender: []`. La conexion TLS directa a ilsc.com.au se cae desde este entorno (MITM local); DNS publico resuelve OK (40.65.106.156).

Universitat Autonoma De Barcelona | si | www.uab.cat (deep-link `/web/fundacio-uab-1345739149870.html`, gslb 158.109.121.133) | Fundacio Universitat Autonoma de Barcelona (FUAB) | parcial | ninguna enumerable — la propia pagina de la ficha es un landing institucional | ? | Graus, masters, postgraus, cicles formatius de grau superior, idiomes (UAB Idiomes), study abroad | institucion (fundacion dentro de la universidad) | CATALOGO NO ENUMERABLE: el `sitio` es un deep-link legacy a la home de la Fundacio, no a una lista. Los programas cuelgan de escuelas separadas (Escola FUAB Formacio, EUTDH Turisme i Direccio Hotelera, Prevencio i Seguretat Integral, Arxivistica i Gestio de Documents) y NO hay pagina unica que las agregue: `/web/estudiar/fuab-formacio-...html` da 404 y el subdominio `fuabformacio.uab.cat` da NXDOMAIN. La ficha se llama "Universitat Autonoma De Barcelona" pero el dominio apunta a la FUAB — coherente con `puede_vender: "Solo los programas de la fundacion"`, pero la extraccion posterior necesita crawl escuela por escuela.

TasTAFE | bloquea | el `sitio` de la ficha (www.study.tas.gov.au/study/tastafe) devuelve **404**; el dominio propio es www.tastafe.tas.edu.au, que devuelve **403 con UA de Chrome** (WAF) | ? — no verificable en el dominio de la ficha | no | https://www.tastafe.tas.edu.au/courses (403) | ? | Vocacional: certificados, diplomas, diplomas avanzados, aprendizajes/traineeships | institucion (RTO/CRICOS estatal de Tasmania) | CRITICO · DOBLE FALLA: (a) el `sitio` apunta a study.tas.gov.au, que es el portal del GOBIERNO de Tasmania ("Tasmanian Government Education International", Department for Education, Children and Young People) y NO de TasTAFE — el portal cubre exclusivamente escuelas publicas K-12 y ni siquiera menciona a TasTAFE; (b) esa ruta concreta `/study/tastafe` ya no existe (404). El dominio real (tastafe.tas.edu.au) resuelve bien en DNS publico pero esta detras de WAF: BLOQUEA, no esta muerto. Corregir `sitio`. `category: null` y `puede_vender: []` en una TAFE estatal con catalogo grande.

Massey University College | si | www.massey.ac.nz (CloudFront) | Te Kunenga ki Purehuroa — Massey University | no | https://www.massey.ac.nz/study/find-a-subject-course-or-qualification/ | 170 titulaciones · 2.700+ cursos (130+ postgrado) | Pregrado, Postgrado, Doctorado, online (1.400+ cursos online, 150 en Summer School) | institucion | FANTASMA PARCIAL: "Massey University College" NO existe en el sitio — no hay ningun college de pathway con ese nombre; el dominio es el de la universidad entera. `partner_group: "Kaplan HED"` NO se menciona en ningun punto del dominio oficial: sin confirmar, verificar con el proveedor antes de vender pathway. Campus reales: Auckland, Wellington y Manawatu (Palmerston North) — la ficha escribe "Palmestorn North" (typo). La lista de titulaciones es un buscador, no una pagina estatica.

Strathfield College | si | www.strathfieldcollege.edu.au (Wix) | Strathfield College Pty Ltd T/A Strathfield College — ABN 85 168 435 667, RTO 91223, CRICOS 02736K | si | https://www.strathfieldcollege.edu.au/courses | 8 areas (cursos individuales dentro de cada una) | VET: Certificate -> Diploma -> Advanced Diploma + Graduate Studies. Areas: Automotive, Building & Construction, Cookery & Hospitality Management, Business, Leadership & Management, Marketing & Communication, IT, Graduate Studies | institucion | `sitio` sin protocolo en la ficha. `ciudad: null` -> 2 campus: Sydney (Surry Hills, no Strathfield pese al nombre) y Melbourne (Lonsdale St). Catalogo por AREA, no lista plana: la extraccion debe bajar un nivel. `tipo_adivinado: "curso_corto"`, `category: null` y `puede_vender: []` contradicen lo que es: VET hasta Advanced Diploma + posgrado. No se detecto ELICOS propio.

University of Western Australia | si | www.uwa.edu.au (Cloudflare) | The University of Western Australia | si | https://www.uwa.edu.au/study/explore-courses | ? (cientos) | Pregrado, Postgrado coursework, Higher Degree by Research, cursos cortos | institucion | `partner_group: "INTO"` NO se menciona en ningun punto del dominio oficial: lo unico que aparece son "Assured Pathways" y "Access UWA", ambos programas INTERNOS de la propia UWA, sin proveedor externo nombrado. `puede_vender: "Pathway"` queda sin respaldo verificable — confirmar el convenio con el proveedor antes de vender. Ademas `/study/explore-courses` es un hub con buscador dinamico, no una lista enumerable.

Montgomery International School | si | www.mischool.be (CNAME ecolemontgomerybe.finalsite.com · Cloudflare) | Montgomery International School | si | https://www.mischool.be/academics | 3 programas IB + Early Years Montessori | PYP (5,5-11 anos), MYP (11-16), DP (16-19); cada uno en version inglesa o bilingue frances-ingles | institucion | CRITICO: `pais: "Germany"` esta MAL — la escuela esta en BRUSELAS, BELGICA (133 rue du Duc, 1200 Brussels), consistente con el TLD .be y con el CNAME "ecolemontgomerybe". `ciudad: null`. `partner_group: "ERMITAGE EDUCATION GROUP"` no se menciona en NINGUNA parte del sitio: sin confirmar. `puede_vender: "Todos los programas"` es razonable pero es un colegio IB, no un proveedor de "High School" al estilo intercambio norteamericano — revisar el encaje comercial.

EntrepreneurEducation | si | www.entrepreneur.edu.au | Entrepreneur Education Pty Ltd — RTO 40952, CRICOS 03432G | si | https://www.entrepreneur.edu.au/faculties/ (`/courses/` y `/courses` dan 404) | ? (7 facultades, sin conteo publicado) | VET + ingles: Design, Trade, Entrepreneurship, Leadership, Health, Hospitality, English. Niveles NO publicados en el sitio | institucion | CATALOGO NO ENUMERABLE: no existe pagina de cursos — las facultades no publican ni la lista ni los niveles y el sitio remite a "contact one of our staff members for more information". La extraccion posterior necesita OTRA fuente (training.gov.au / registro CRICOS), no el sitio. `puede_vender: "Todos los programas"` no es verificable por web. Campus unico: Surfers Paradise, Gold Coast (Chevron Renaissance).

IED | redirige | iedmadrid.com -> 301 -> www.ied.es | Istituto Europeo di Design (IED) | parcial | https://www.ied.es/cursos | ? (cientos) | Titulo superior / undergraduate, BA (Hons), diplomas, foundation, masteres (oficiales y titulos propios), postgrados, cursos de especializacion y verano | red (grupo internacional con campus propios) | El `sitio` de la ficha ya NO es el dominio vigente: iedmadrid.com redirige 301 a ied.es, que agrupa los 3 campus espanoles (Madrid, Barcelona y Bilbao/Kunsthal). IED es un GRUPO internacional (Italia: Milan, Florencia, Roma, Turin, Como; Brasil: Sao Paulo y Rio; Nueva York), no una institucion de una ciudad — el `partner_group: "IED Groups Company"` en realidad describe a la propia institucion. `puede_vender: "Vocacionales (Cert, Dip, Adv Dip)"` CONTRADICE el catalogo real: otorga BA (Hons) y masteres oficiales. `ciudad` con typo ("bilbao" en minuscula).

