# Lote 39 · 2026-08-07
# DNS verificado contra 8.8.8.8 · fetch con UA de Chrome · ningun dominio del lote esta muerto

Universal Higher Education (UHE) | si | www.uhe.edu.au | Universal Higher Education Pty Ltd (t/a UHE Australia) | si | https://www.uhe.edu.au/courses | ~7 | Bachelor, Master, Grad Cert, Grad Dip | institucion | Ficha incompleta y contradictoria: tipo_adivinado="curso_corto" pero otorga Bachelor y Master (CRICOS 03848E, TEQSA re-registrada a 2032); ciudad/category null y puede_vender vacio. Sitio Wix JS-rendered. Pertenece a Universal Learning Group (ULG).
GV Malta | si | www.gvmalta.com | Global Village English Centre (Malta) Ltd · "GV Malta" | si | https://www.gvmalta.com/adults-18-yrs/ | ~10 | Idiomas (General, Business, Exam prep, ESP, Junior/Teens/Camps) | institucion | -
Swinburne University | si | www.swinburne.edu.au | Swinburne University of Technology | parcial | https://www.swinburne.edu.au/courses/find-a-course | cientos (17 areas de estudio) | VET/Cert/Dip, Associate, Bachelor, Grad Cert/Dip, Master, PhD, ELICOS, cursos cortos | institucion | Nombre en ficha incompleto ("of Technology" falta). Catalogo es buscador dinamico con filtros, no una lista plana: la extraccion posterior necesita paginacion/API, no scrape de una pagina.
International Business School Barcelona ESEI | si | www.eseibusinessschool.com | ESEI International Business School Barcelona | si | https://www.eseibusinessschool.com/programmes/ | ~12 | Bachelor, Master, MBA, Online Masters, cursos cortos | institucion | tipo_adivinado="curso_corto" es incorrecto (da Bachelor/Master/MBA). Titulacion NO oficial espanola: "ESEI Private Degree", Titulo Propio UCAM y titulo frances via College de Paris. Declararlo al estudiante.
Cardiff University | si | isc.cardiff.ac.uk | Cardiff University International Study Centre | no | https://isc.cardiff.ac.uk/programmes | ~4 pathways + 4 pre-courses | Foundation, Accelerated Foundation, International Year One, Pre-Master's, ingles | institucion (pathway college operado por Study Group) | El dominio NO es Cardiff University (seria cardiff.ac.uk): es el International Study Centre operado por Study Group ("Maintained by Study Group" en el footer). La ficha se llama "Cardiff University" pero vende solo el ISC. puede_vender ("Foundation & Pre master") si es coherente con lo que hay; el nombre no.
Dmad | si | www.dmad.es | Escuela de Diseno de Interiores y Arquitectura en Madrid - Dmad | si | https://www.dmad.es/masters-posgrados/ | ~10 masters + 2 CFGS + diplomas y cursos | Master propio, Ciclo Formativo de Grado Superior (FP oficial), diplomas, cursos | institucion | puede_vender dice "Pregrado & Postgrado" y es FALSO: DMAD no otorga grado oficial ni postgrado oficial, solo titulos propios y FP (Tecnico Superior de Artes Plasticas y Diseno). Sitio activo (blog y admisiones 2026). Es escuela de diseno/interiorismo, no generalista.
Linguaviva | si | www.linguavivagroup.com | Linguaviva Educational Group | parcial | https://linguavivagroup.com/italian-language-courses-in-italy/ | ~4 familias de cursos | Idiomas (italiano), junior/verano, academico, online | red (grupo con 3 sedes) | El dominio es del GRUPO, no de una escuela concreta. Tiene 3 sedes: Florencia, Milan y Lignano Sabbiadoro; la ficha solo lista "Milan, Florencia" (falta Lignano). Fundado 1976, 50 aniversario en 2026 (activo).
College international Mont-Tremblant | si | collegeinternationalmont-tremblant.com | College International de Mont-Tremblant (CIMT) | si | https://collegeinternationalmont-tremblant.com/programmes/ | 2 (concentracion deportiva / programa internacional) | Secundaria (DES Quebec + Cambridge IGCSE) | institucion (proyecto, NO operativa) | FANTASMA: la escuela NO EXISTE todavia. El propio formulario de admision dice "DEMANDE D'INTERET POUR L'INSCRIPTION EN AOUT 2030". Proyecto anunciado desde 2018 con aperturas incumplidas (2020, 2021, 2028 y ahora 2030). Cero alumnos, cero programas vendibles hoy. Ademas ciudad en ficha es "Quebec" (provincia); la ciudad es Mont-Tremblant.
Edith Cowan College | si | www.edithcowancollege.edu.au | Edith Cowan College | si | https://www.edithcowancollege.edu.au/courses/ | ~11 | Foundation, Diploma (6), Pre-Master's/postgrado (4), ingles academico | institucion (pathway college PRIVADO de Navitas) | category="College Publico" es FALSO: es un college privado operado por Navitas dentro del campus de ECU. No otorga bachelor por si mismo (puentea a Edith Cowan University). Ciudad real es Joondalup (area metropolitana de Perth), no Perth centro.
Long Island University | redirige | universitiesintheusa.com/... -> https://www.liu-international.com/ (301) | Long Island University | parcial | https://www.liu-international.com/programs | ? (undergrad + grad) | Pregrado, Postgrado | institucion (el sitio es del partner, no de la universidad) | El `sitio` de la ficha es una URL de un agregador de marketing de Study Group (universitiesintheusa.com) que ya hace 301 permanente a liu-international.com, que TAMPOCO es el dominio oficial de la universidad (liu.edu) sino otro micrositio de Study Group ("Maintained by Study Group"). Doble capa de intermediario: el catalogo que se extraiga sera el subconjunto que Study Group comercializa, no la oferta real de LIU.
Camosun College | si | camosun.ca | Camosun College | si | https://camosun.ca/programs-courses | ~160 | Certificado, Diploma, Degree, Aprendizaje y oficios, transferencia universitaria | institucion | -
