institucion,estado,dominio_real,nombre_real,url_programas,cantidad_aprox,niveles_vistos,nota
Herzing College,ok,,,https://www.herzing.ca/programs,58,vocacional;certificado;diploma;educacion continua,"La ficha lista Montreal, Ottawa, Toronto y Winnipeg; el sitio agrega Cambridge (ON) y una Toronto Skilled Trades Division. Todo es diploma/certificado de carrera, no hay grados universitarios."
High Schol Coquitlam SD 43,otra_institucion,,Coquitlam College,,,,"coquitlamcollege.com es Coquitlam College, un college PRIVADO que en 2024 se mudo de Coquitlam a Vancouver. NO es el School District 43, que es sd43.bc.ca y esta vivo. La ficha mezcla las dos: el nombre dice 'SD 43' pero la categoria dice 'College Privado'. Preguntar al cliente cual quiere antes de extraer; el catalogo del college esta en /programs-courses/."
High School Abbotsford 34 SD,dominio_nuevo,international.abbyschools.ca,Abbotsford School District,https://international.abbyschools.ca/programs,12,high_school;middle;primaria;AP;IB,"abbyschools.ca vive y es el distrito, pero es portada institucional: el catalogo vendible vive en el subdominio international.abbyschools.ca."
High School Burnaby SD 41,dominio_nuevo,studyinburnaby.ca,"School District 41, Burnaby",https://studyinburnaby.ca/,9,primaria;high_school;idiomas (ELL);AP;academias deportivas,"burnabyschools.ca vive y es el distrito, pero el programa internacional (lo unico vendible) esta en studyinburnaby.ca. Ojo: la ficha dice ciudad Burnaby y el sitio se vende como Greater Vancouver."
High School Central Quebec SD,ok,,Central Quebec School Board (CQSB),https://www.cqsb.qc.ca/en/vocational-training/programs-offered,8,vocacional (DEP);educacion de adultos;high_school;primaria,"El unico listado de programas real son los 8 de formacion profesional del Eastern Quebec Learning Centre. Las 16 escuelas de primaria y secundaria no publican cursos: si la extraccion busca high_school no va a encontrar catalogo."
High School Greater Victoria SD 61,dominio_nuevo,studyinvictoria.com,Victoria International Education / Greater Victoria School District No. 61,https://www.studyinvictoria.com/programs/,8,primaria;middle;high_school;corto plazo;intercambio,"Dos cosas: el apex sd61.bc.ca NO tiene registro A (solo responde www.sd61.bc.ca), y el distrito manda explicitamente el trafico internacional a studyinvictoria.com, que es donde estan los programas."
High School Otawa Carleton SD,dominio_nuevo,studyottawa.ocdsb.ca,Ottawa-Carleton District School Board (OCDSB),https://studyottawa.ocdsb.ca/,6,primaria (K-8);high_school (9-12);corto plazo;verano,"La ciudad de la ficha esta mal escrita (Otawa por Ottawa). ocdsb.ca vive y es el board correcto, pero el catalogo internacional esta en el subdominio studyottawa.ocdsb.ca."
High School SD73 Kamloops-Thompson International student proogram,dominio_nuevo,sd73.bc.ca,School District No. 73 (Kamloops-Thompson) International Student Program,https://www.sd73.bc.ca/international-student-program,5,high_school;primaria;IB;ELL,"ispcanada.ca redirige 301 a sd73.bc.ca/international-student-program. La landing no enumera programas: hay que entrar a /schools-and-programs. Catalogo chico y poco estructurado."
HighSchool Upper Canada District SB,dominio_nuevo,studyuppercanada.ca,Upper Canada District School Board (UCDSB),https://studyuppercanada.ca/,3,high_school;primaria;middle;corto plazo,"OJO: ucdsb.on.ca NO esta muerto, esta detras de un Cloudflare managed challenge que devuelve 403 a todo fetcher, incluso a /robots.txt, con cualquier user-agent. La extraccion ahi va a fallar: usar studyuppercanada.ca, que es el sitio del programa internacional y esta abierto. Solo 3 programas: Academic Year, Diploma y Short Term."
Humber College,ok,,Humber Polytechnic,https://humber.ca/explore-programs/search/full-time-programs,182,vocacional;certificado;diploma;pregrado (bachelor);posgrado (graduate certificate);aprendizaje;micro-credenciales,"Rebrand de nombre: en el sitio ya es Humber Polytechnic, no Humber College. 182 programas full-time contados paginando ?page=0..15 (el listado es JS y el sitemap no incluye las fichas de programa). puede_vender solo dice vocacional pero hay bachelors y graduate certificates."
IBU,ok,,International Business University,https://ibu.ca/programs/,15,pregrado (BCom Honours);posgrado (MBA, MSc),"3 BCom + 7 streams de MBA presencial + 3 de MBA online + 2 de MSc in Applied AI. La ficha dice Toronto; el sitio tambien declara campus en Ottawa."
ICM - International College of Manitoba,dominio_nuevo,icmanitoba.ca,International College of Manitoba (ICM),https://www.icmanitoba.ca/programs/,8,pathway;foundation (UTP Stage I);primer ano universitario (UTP Stage II),"umanitoba.ca es la universidad anfitriona, NO el pathway college: si se extrae de ahi sale el catalogo entero de la U of Manitoba en vez de los 8 pathways de ICM, operado por Navitas. Ciudad real: Winnipeg, no Manitoba a secas."
ILAC College,ok,,ILAC International College,https://ilacinternationalcollege.com/programs/,9,vocacional (diploma);co-op;micro-credenciales;transferencia de creditos,"Catalogo chico: 2 diplomas (Business Administration, Sales & Marketing) mas micro-credenciales cortas (marketing digital acelerado, IA para no tecnicos, workflows de IA, project management) y credit transfer. Campus Toronto y Vancouver, coincide con la ficha."
ILSC,ok,,ILSC Language Schools (ILSC Education Group),https://www.ilsc.com/language-schools/programs,20,idiomas (ingles y frances);high_school;pathway universitario;preparacion de examenes;formacion de docentes (CELTA/CertTESOL);juniors,"No hay indice unico: los programas cuelgan del menu /language-schools/programs/*. Importante para puede_vender: lo VOCACIONAL no lo vende ilsc.com sino Greystone College, que es otra marca con otro sitio. Los campus canadienses (Vancouver, Toronto, Montreal) coinciden con la ficha."
KPU,dominio_nuevo,calendar.kpu.ca,Kwantlen Polytechnic University,https://calendar.kpu.ca/programs-az,250,vocacional;certificado;diploma;asociado;pregrado (bachelor);post-baccalaureate;posgrado,"kpu.ca/programs redirige 301 a calendar.kpu.ca/programs-az: el catalogo real vive en el subdominio y la portada no lista nada. Las ~250 entradas incluyen credenciales anidadas dentro de una misma area, asi que el numero de programas distintos es menor, del orden de 140."
Lakehead University,ok,,,https://www.lakeheadu.ca/programs,120,pregrado;posgrado;doctorado;diplomas de posgrado,"La ficha dice ciudad Ontario: los campus reales son Thunder Bay, Orillia y el Barrie STEM Hub. 80+ programas de pregrado mas maestrias y doctorados."
Lambton College,ok,,,https://www.lambtoncollege.ca/programs,241,vocacional;certificado;diploma;posgrado (graduate certificate);part-time;idiomas (ELTC),"El buscador de /programs es JS y no rinde nada a un fetcher. El sitemap bueno NO es /sitemap.xml (devuelve HTML) sino https://www.lambtoncollege.ca/sitemap/sitemap.xml, que lista 241 URLs bajo /programs/. Las sedes de Ottawa, Toronto y Mississauga son centros internacionales con partners, no campus propios."
Langara College,ok,,,https://langara.ca/programs-courses/search-programs,146,vocacional;certificado;diploma;asociado;pregrado (bachelor);transferencia universitaria;estudios continuos,"El propio buscador declara 146 resultados. puede_vender dice solo vocacional pero hay bachelors y university transfer."
Lester B. Pearson School Board,dominio_nuevo,lbpce.ca,Lester B. Pearson Continuing Education (LBPCE),https://lbpce.ca/vocational-training-cegep-and-university-readiness/,30,vocacional (DEP);educacion de adultos;high_school;primaria,"lbpsb.qc.ca VIVE (resuelve a 162.159.135.42, Cloudflare; si falla es el resolver local, no el dominio) pero solo lista escuelas, no programas. El catalogo vendible esta en lbpce.ca, en 9 sectores: administracion, automovil, estetica, construccion, educacion, TI, cocina, salud y seguridad. puede_vender dice pregrado y NO hay pregrado: en Quebec eso seria CEGEP y el board no lo da. Ciudad real: oeste de Montreal, no ciudad de Quebec."
Maple Leaf Academy,dominio_nuevo,mapleleafacademy.com,,https://www.mapleleafacademy.com/programs-projects,4,idiomas (ESL, IELTS),"La ficha no traia dominio; encontrado y confirmado (Calgary, 731 - 6th Ave SW, familiar desde 1991). Catalogo minusculo y con bajas: LINC cerro el 31-mar-2025 y AGILITY en marzo de 2024, quedan ESL general, IELTS prep, Hyflex y homestay."
Mckenzie College,ok,,McKenzie College of Design,https://www.mckenzie.edu/programs,5,vocacional;certificado;diploma;idiomas,"Ciudad real: Moncton, New Brunswick (la ficha solo dice New Brunswick). puede_vender dice unicamente idiomas y eso desaprovecha la ficha: el grueso son 4 programas de diseno (Visual Arts Foundation, Visual Communication Design, Video Game Art, TV & Game Animation) y el ingles es accesorio."
Mohawk College,ok,,,https://www.mohawkcollege.ca/programs/search,163,vocacional;certificado;diploma;pregrado (degree);posgrado;aprendizaje;micro-credenciales,"163 fichas de programa en el buscador. Campus Fennell, Stoney Creek e IAHS (McMaster) en Hamilton, coincide con la ficha. puede_vender solo dice vocacional pero hay degrees."
NAIT,ok,,Northern Alberta Institute of Technology,https://www.nait.ca/programs,120,vocacional;certificado;diploma;pregrado (applied y baccalaureate);aprendizaje;educacion continua,"Ciudad real: Edmonton (la ficha dice Alberta). El buscador de /programs es JS y el sitemap, con 1967 URLs, no incluye las fichas de programa: no hay listado plano que raspar. La cifra 120 es la que declara la propia NAIT, no un conteo hecho por mi."
New Brunswick International Student Program NBISP,dominio_nuevo,aei-inc.ca,Atlantic Education International (AEI),https://aei-inc.ca/for-students/our-programs/,3,high_school;middle;corto plazo;graduacion NB,"caps-i.ca NO es el NBISP: es CAPS-I, la asociacion sin animo de lucro de 130 distritos escolares publicos canadienses, y el NBISP es apenas uno de sus miembros. Si se extrae de caps-i.ca sale el directorio de 130 competidores. El NBISP lo opera Atlantic Education International, creada en 1997 por la provincia de New Brunswick; su sitio no usa la sigla NBISP en portada, asi que vale la pena confirmarlo con el cliente."
New York Institute of Technology,dominio_nuevo,vancouver.nyit.edu,New York Institute of Technology - Vancouver (New York Tech),https://vancouver.nyit.edu/academics/,6,posgrado (maestrias),"ALERTA COMERCIAL: el 10-feb-2026 la institucion anuncio que inicio el CIERRE del campus de Vancouver por los topes de estudiantes internacionales del gobierno; no matricula estudiantes nuevos despues del termino de primavera 2026 y hay teach-out para los actuales. El sitio sigue vivo y lista 6 maestrias (MBA, MCS, MCY, MDS, MEM, MS Instructional Technology), pero la ficha es invendible: sacarla del catalogo. La ficha no traia dominio."
