lote,veredicto,motivo,institucion,dominio_responde,dominio_real,nombre_real,nombre_coincide,url_programas,cantidad,niveles,tipo,alerta
01,inservible,dominio muerto,4Life College,NO,4lifecollege.edu.au NXDOMAIN,?,?,?,?,?,?,DOMINIO MUERTO · hay que re-localizar la institucion
01,inservible,dominio muerto,ABC School of English,NO,abcschool.co.uk resuelve pero rechaza conexion,?,?,?,?,?,?,SERVIDOR CAIDO · puertos 80 y 443 rechazan · dominio abandonado
01,corregir,nombre distinto al real,ACADEMIA Australia,si,academia21.com,Academia21 (Australian Academy of Vocational Education and Trades) · RTO 21595,parcial,menu Courses,~20-25,"Cert III/IV, Dip, Adv Dip + ingles",si,la marca real es Academia21 · ciudad null en la ficha
01,ok,-,ACAH,si,acah.edu.au,Australian College of Agriculture & Horticulture,si,menu COURSES,~25,"Cert II-IV, Dip, Adv Dip",si,-
01,corregir,nombre distinto al real,ACAP,si,acap.edu.au,ACAP University College · TEQSA University College,parcial,https://www.acap.edu.au/courses/,~40,Undergrad Cert a Master,si,YA NO es Australian College of Applied Psychology · ficha lo tiene como College Privado/Vocacionales y se queda corta
01,corregir,nombre distinto al real,ACBI,si,acbi.edu.au,Australian College of Business Intelligence · RTO 40835 · CRICOS 03426E,parcial,https://www.acbi.edu.au/courses/,~26,"Cert IV, Dip, Adv Dip, Grad Dip",si,BLOQUEA BOTS: 403 sin User-Agent de navegador (Cloudflare). Con UA de Chrome responde 200
01,ok,-,ACE English,si,aceenglishmalta.com,ACE English Malta,si,https://www.aceenglishmalta.com/es/cursos/,~10,"Idiomas CEFR, business, exam prep, juniors",si,-
01,observacion,"ficha dice ""Todos los programas"" y solo tiene 4 cursos de coaching · enganoso",ACE Sports Academy,si,acesports.edu.au,ACE Sports Academy · RTO 31414 · CRICOS 03005D,si,https://www.acesports.edu.au/courses.html,4,"Cert II-IV + Diploma, todos de deporte",si,"ficha dice ""Todos los programas"" y solo tiene 4 cursos de coaching · enganoso"
01,ok,-,ACLA,si,studyatlantic.com,Atlantic Canada Language Academy,si,https://studyatlantic.com/programs/,~6-7,Idiomas + frances y espanol,si,-
01,revisar_a_mano,catálogo no enumerable,ACU,si,acu.edu.au,Australian Catholic University,si,https://www.acu.edu.au/study-at-acu/find-a-course,?,Pregrado a PhD,si,"catalogo detras de BUSCADOR, no lista plana"
01,revisar_a_mano,catálogo no enumerable,AGI anglo-german institute,si,agi-german-courses.de,anglo-german institute (agi German courses),si,https://www.agi-german-courses.de/en/german-courses-in-stuttgart/,?,Aleman A1-C2,si,"la web es un CONFIGURADOR, no un catalogo enumerable · sin sitemap"
01,corregir,"apunta al dominio del grupo, no al propio",AIBT,si,aibtglobal.edu.au,Australia Institute of Business and Technology · RTO 41138 · CRICOS 03430J,si,https://aibtglobal.edu.au/courses/,90+,"Cert III/IV, Dip, Adv Dip, Grad Dip",si,"sitio PARAGUAS de 5 escuelas internas · muchos cursos ""Currently Not Accepting Enrolments"" · filtrar por disponibilidad"
01,observacion,otorga BACHELOR pero la ficha solo permite Vocacionales · deja fuera los pregrados,AIT,si,ait.edu.au,Academy of Interactive Technology · Institute of Higher Education,si,https://www.ait.edu.au/courses/,~10,Bachelor + Diploma,si,otorga BACHELOR pero la ficha solo permite Vocacionales · deja fuera los pregrados
01,observacion,ficha dice Perth; el sitio lista Adelaide y NO Perth,ALG,si,alg.edu.au,Australian Learning Group · RTO 91165,si,https://alg.edu.au/courses/,~7 areas,"Cert III/IV, Diploma",si,ficha dice Perth; el sitio lista Adelaide y NO Perth
01,inservible,dominio muerto,ALI,NO,studymontreal.com apunta a 127.0.0.1,?,?,?,?,?,?,DOMINIO MUERTO · DNS publico apunta a loopback
02,ok,-,ALTEC College,si,altec.edu.au,Pass Global Pty Ltd t/a ALTEC College,si,https://www.altec.edu.au/courses/,~16,"Ingles, Cert III-IV, Dip, Adv Dip, Grad Dip",si,-
02,inservible,no es una institución (agencia),AMET Education,si,amet.com.au,AMET Education,si,no tiene,0,n/a,AGENCIA,NO ES INSTITUCION: agencia de reclutamiento + servicios migratorios. No dicta programas
02,observacion,ficha guarda solo la sigla,ANIBT,si,anibt.edu.au,Australian National Institute of Business & Technology · RTO 21368 · CRICOS 02506B,si,https://www.anibt.edu.au/courses/,~30,"Cert III/IV, Dip, Adv Dip, Grad Dip",si,ficha guarda solo la sigla
02,observacion,"es PATHWAY COLLEGE, la ficha lo marca category=Universidad. 3 sedes, ficha dice 1",ARU College,si,arucollege.com,"ARU College (pathway de Anglia Ruskin, operado por Navitas)",si,https://www.arucollege.com/undergraduate/,~19 areas,"Foundation, First Year, Pre-Masters",si,"es PATHWAY COLLEGE, la ficha lo marca category=Universidad. 3 sedes, ficha dice 1"
02,revisar_a_mano,catálogo no enumerable,AUT Auckland University of Technology,si (bloquea),aut.ac.nz,?,?,?,?,?,?,NO AUDITABLE: 403 Cloudflare a todo acceso automatizado. Requiere verificacion manual
02,inservible,dominio muerto,Ability - MEGT,NO,-,?,?,?,?,?,?,"DOMINIO MUERTO: NXDOMAIN, el dominio ya no existe"
02,inservible,no es una institución (red),Academies Australasia,si,academies.edu.au,Academies Australasia Group,si,https://academies.edu.au/courses/,180-250,High School a Master,RED,"ES UNA RED DE 18 COLLEGES, no una escuela"
02,corregir,nombre distinto al real,Academies Australasia Hair & Beauty,si,brishair.com.au,"Brisbane and Gold Coast School of Hairdressing, Barbering and Beauty",parcial,https://www.brishair.com.au/courses,2 lineas,Peluqueria y Barberia,si,CONFIRMA el caso Brisbane desde otra ficha: sin NI UN programa de estetica
02,corregir,"apunta al dominio del grupo, no al propio",Academies Australasia Institute,si,academies.edu.au,Academies Australasia Institute · RTO 90806 · CRICOS 02398A,si,"(del grupo, no propia)",?,Vocacional,si,SIN SITIO PROPIO: apunta al dominio del grupo
02,inservible,duplicado de otra ficha,Academies Australasia Polytechnic,si,aapoly.edu.au,Academies Australasia Polytechnic (AAPoly),si,https://aapoly.edu.au/courses/,~20+,Cert IV a Master,si,DUPLICADO exacto con la ficha siguiente
02,inservible,duplicado de otra ficha,Academies Australasia Polytechnic (AAPOLY),si,aapoly.edu.au,Academies Australasia Polytechnic (AAPoly),si,https://aapoly.edu.au/courses/,~20+,Cert IV a Master,si,DUPLICADO de la anterior · fusionar
02,observacion,"ciudad null en la ficha (Southport, Gold Coast)",Academique,si,academique.com.au,Academique,si,https://www.academique.com.au/courses/,~16-18,"Ingles, Cert III/IV, Dip, Adv Dip",si,"ciudad null en la ficha (Southport, Gold Coast)"
02,corregir,"apunta al dominio del grupo, no al propio",Academy of English,si,academies.edu.au,Academy of English · CRICOS 02399M,si,https://academies.edu.au/courses-syd-english/,~3,Solo ELICOS,si,SIN SITIO PROPIO: apunta al dominio del grupo
02,observacion,opera en Salerno Y Napoles. OJO: existe otra Accademia Italiana de moda en Florencia,Accademia Italiana,si,accademia-italiana.it,Accademia Italiana,si,https://accademia-italiana.it/en/courses/,~10+,Italiano para extranjeros,si,opera en Salerno Y Napoles. OJO: existe otra Accademia Italiana de moda en Florencia
02,observacion,ficha guarda nombre parcial,Actilingua,si,actilingua.com,ActiLingua Academy Vienna,si,https://www.actilingua.com/german-courses/,~15-18,Aleman A1-C2,si,ficha guarda nombre parcial
03,ok,-,Admiral Farragut Academy,si,farragut.org,Admiral Farragut Academy,si,https://farragut.org/academics/,~6,K-12,si,-
03,corregir,dominio obsoleto,Ahts Training & Education,redirige,alliancecollege.edu.au,Alliance College (ex Adelaide Hospitality and Tourism School),no,https://alliancecollege.edu.au/alliance-courses,~40+,"Cert II/III/IV, Diploma, Adv Dip, Grad Dip, ELICOS",si,REBRANDING: ficha con nombre y dominio viejos; ahora Adelaide Y Sydney
03,inservible,el dominio es de otra institución,Albright,si,albrightinstitute.edu.au,Albright Institute of Business and Language,parcial,https://albrightinstitute.edu.au/,~24,"ELICOS, Cert, Diploma, Adv Dip, Grad Dip",si,"ciudades mal (dice Perth, no aparece); categoria subestima: es mayoritariamente VET"
03,observacion,"ficha sin ciudad (Merrimac, Gold Coast)",All Saints Anglican School,si,asas.qld.edu.au,All Saints Anglican School,si,https://www.asas.qld.edu.au/our-school/programs,~3,Pre-Prep a Year 12,si,"ficha sin ciudad (Merrimac, Gold Coast)"
03,observacion,partner_group dice Kaplan; Kaplan la cedio a Inspirit Capital,Alpadia,si,alpadia.com,Alpadia Language Schools,si,https://www.alpadia.com/es/cursos-idiomas,~6,"Idiomas, campamentos, ano academico, prep examenes",si,partner_group dice Kaplan; Kaplan la cedio a Inspirit Capital
03,inservible,no es una institución (agencia),Amerigo,si,amerigoeducation.com,Amerigo Education,si,https://www.amerigoeducation.com/en/our-schools,32+ colegios,Secundaria,AGENCIA,NO ES UN COLEGIO: red que ubica en 32+ colegios socios. Venderla como institucion es incorrecto
03,corregir,nombre distinto al real,Ance,si,ance.vic.edu.au,Australian National College of English,parcial,https://ance.vic.edu.au/course/,~5,Ingles/ELICOS,si,catalogada VET pero solo ofrece ingles
03,observacion,"ficha 2 ciudades, el sitio declara 4 campus",Anglia Ruskin University - ARU,si,aru.ac.uk,Anglia Ruskin University (ARU),si,https://aru.ac.uk/study/course-search,cientos,"Pregrado, postgrado, PhD, college 16-18, apprenticeships",si,"ficha 2 ciudades, el sitio declara 4 campus"
03,ok,-,Anglo continental,si,anglo-continental.com,Anglo-Continental Educational Group,si,https://www.anglo-continental.com/english-courses-in-england/,~20+,"Ingles, prep examenes, CELTA, junior, 50+",si,-
03,observacion,no se confirmo oferta de idiomas que la ficha marca,Arbutus College,si,arbutuscollege.com,Arbutus College,si,https://arbutuscollege.com/program-finder/,~6,Diploma/certificado + co-op,si,no se confirmo oferta de idiomas que la ficha marca
03,corregir,nombre distinto al real,Ascenda School of Management,si,acsenda.com,Acsenda School of Management,no,https://acsenda.com/academic-programs/,2 grados,"Bachelor (BBA, Hospitality) + pathways",si,NOMBRE MAL ESCRITO: es Acsenda con C. Ficha marca Idiomas pero la oferta es de grado
03,inservible,el dominio es de otra institución,Ascent College of technology,redirige,matrixcollege.ca,"Matrix College of Management, Technology and Healthcare",no,https://www.matrixcollege.ca/diploma-programs/quebec-residents/,~7,AEC + pathway frances + micro credenciales,si,INSTITUCION DISTINTA: el sitio no menciona Ascent. Ficha dice publico y es privado
03,observacion,"ficha 1 ciudad, sitio lista 3. Catalogada VET pero es higher education TEQSA",Asia Pacific International College (APIC),si,apicollege.edu.au,Asia Pacific International College (APIC),si,https://apicollege.edu.au/courses/,~25+,"Diploma, Bachelor, Grad Cert, Grad Dip, Master",si,"ficha 1 ciudad, sitio lista 3. Catalogada VET pero es higher education TEQSA"
03,observacion,"ficha solo Dublin; tambien Malta, Liverpool y Clare",Atlas Language School,si,atlaslanguageschool.com,Atlas Language School,si,https://atlaslanguageschool.com/courses,~10,"Ingles, prep examenes, junior, CELTA, pre-foundation",si,"ficha solo Dublin; tambien Malta, Liverpool y Clare"
03,corregir,nombre distinto al real,Atpal,si,atpalcanada.com,Atpal Languages,parcial,https://atpalcanada.com/programs/,~9,"Ingles y frances, prep examenes, pathway",si,nombre real Atpal Languages; tambien ensena frances
04,ok,-,AIBT,si,aibtglobal.edu.au,Australia Institute of Business and Technology,si,https://aibtglobal.edu.au/courses/,~90+,"Cert III/IV, Dip, Adv Dip, Grad Dip",si,-
04,inservible,duplicado de otra ficha,AIBT - International,si,aibtglobal.edu.au,Australia Institute of Business and Technology,parcial,idem,~90+,idem,si,"DUPLICADO de la ficha anterior: mismo dominio, el sitio nunca menciona una entidad separada"
04,revisar_a_mano,catálogo no enumerable,Australian Catholic University (ACU),si,acu.edu.au,Australian Catholic University,si,https://www.acu.edu.au/study-at-acu/find-a-course,cientos,"Pregrado, posgrado, investigacion, pathway, cursos cortos",si,"catalogo es BUSCADOR dinamico, no lista: no encaja en el pipeline de extraccion"
04,corregir,nombre distinto al real,Australian College of Applied Professions (ACAP),si,acap.edu.au,ACAP University College,parcial,https://www.acap.edu.au/courses/,~30+,Cert a Master,si,RENOMBRADA: hoy es ACAP University College (TEQSA)
04,inservible,el dominio es de otra institución,Australian College of Dance,si,alg.edu.au,Australian Learning Group,NO,https://alg.edu.au/courses/,~12,"Cert III, Cert IV, Diploma",si,INSTITUCION FANTASMA: ALG no tiene NI UN curso de danza y nunca menciona este nombre. Candidata a eliminar
04,observacion,sin pagina indice de cursos,ACIT / IFTV,si,acit.edu.au,Australian College of IT & Institute of Film and Television,si,(sin indice; links desde la home),~6 areas,"Diploma, Adv Dip, ELICOS",si,sin pagina indice de cursos
04,inservible,el dominio es de otra institución,Australian College of Sport & Fitness,si,alg.edu.au,Australian Learning Group,NO,https://alg.edu.au/courses/,~12,"Cert III/IV, Diploma",si,El dominio es de ALG; el nombre no aparece en el sitio. Si hay cursos de fitness pero bajo marca ALG
04,corregir,nombre distinto al real,Australian College of Technology,si,academies.edu.au,Academies Australasia Group Limited,NO,menu COURSES por ciudad,180-250,"Cert, Dip, Adv Dip, Bachelor",si (grupo),"Es un GRUPO (9 campus + Singapur), no esta institucion. El sitio nunca menciona el nombre"
04,observacion,ficha dice solo Tasmania; tiene Launceston y Melbourne,Australian Federation College,si,afcollege.edu.au,Australian Federation College · RTO 45616 · CRICOS 03854G,si,seccion Courses (sin indice unico),~18,"Cert IV a Grad Dip, ELICOS",si,ficha dice solo Tasmania; tiene Launceston y Melbourne
04,observacion,"pese al nombre, el grueso es construccion/trades",AHMI,si,ahmi.edu.au,Australian Health and Management Institute · RTO 70252 · CRICOS 03595K,si,https://www.ahmi.edu.au/courses,~28,"Cert III/IV, Dip, Adv Dip + cursos cortos",si,"pese al nombre, el grueso es construccion/trades"
04,observacion,hay que recorrer 7 categorias,Australian Ideal College,si,aic.edu.au,Australian Ideal College · CRICOS 03053G · RTO 91679,si,(sin indice; 7 categorias),~20+,"Cert III/IV, Dip, Adv Dip, Grad Dip",si,hay que recorrer 7 categorias
04,observacion,solo idiomas,AICOL,si,aicol.com.au,Australian International College Of Language,si,https://aicol.com.au/english-courses-to-study-aicol/,~12+,"ELICOS A2-C2, Cambridge, IELTS, PTE, kids",si,solo idiomas
04,inservible,dominio muerto,Australian International High School,NO,-,?,?,?,?,?,?,DOMINIO MUERTO: academies.nsw.edu.au no resuelve DNS
04,corregir,dominio obsoleto,Australian Language Schools,redirige,alscollege.com.au,ALS College · CRICOS 02885G · RTO 32044,parcial,https://alscollege.com.au/courses/,?,ELICOS + VET,si,LOS DOS dominios de la ficha obsoletos; hoy se llama ALS College
04,inservible,el dominio es de otra institución,Australian Learning Group (ALG),si,alg.edu.au,Australian Learning Group · RTO 91165,si,https://alg.edu.au/courses/,~12,"Cert III/IV, Diploma",si,Es la institucion real detras de las 2 fichas fantasma (Dance y Sport & Fitness)
05,revisar_a_mano,el sitio bloquea acceso automatizado,James Cook University (JCU),bloquea,www.jcu.edu.au,?,?,?,?,?,institucion,"Cloudflare devuelve challenge ""Just a moment..."" (403) incluso con UA de Chrome y de Safari; DNS resuelve OK (Cloudflare 104.18.18.28) — el sitio esta vivo pero no auditable por fetch. Requiere navegador real."
05,inservible,el dominio es de otra institución,Fleming College,si,flemingcollege.ca,"Sir Sandford Fleming College (usa ""Fleming College"" como marca)",parcial,https://flemingcollege.ca/programs/ (A-Z en /programs/a-z),~80+,"Certificado, Diploma, Advanced Diploma, Post-grad certificate, Aprendizajes, Bachelor (nursing con Trent)",institucion,"Ficha dice ""College Privado"" pero es un colegio PUBLICO de Ontario; partner_group=GUS no aparece en el sitio (GUS opera un campus aparte ""Fleming College Toronto""), verificar que el acuerdo comercial sea sobre este dominio."
05,corregir,"apunta al dominio del grupo, no al propio",Charlton Brown,redirige,charltonbrown.edu.au (301 desde charltonbrown.com.au),Charlton Brown Pty Ltd trading as Charlton Brown (RTO 2508),si,https://charltonbrown.edu.au/course/,"? (5 facultades: ELICOS, Educacion/Salud/Comunidad, Hospitalidad/Cocina, Ingenieria/IT, Negocios)","Certificado, Diploma, Advanced Diploma, ELICOS, paquetes pathway",institucion,El dominio de la ficha (.com.au) redirige a otro host (.edu.au) — actualizar. Es miembro del NIET Group (logos NIET/Rhodes/UniTrack): dominio y marca conviven con un grupo paraguas.
05,inservible,dominio muerto,Munich Business School,no,?,?,?,?,?,?,?,"El campo `sitio` dice literalmente ""nait"" — no es un dominio. ""NAIT"" es el acronimo del Northern Alberta Institute of Technology (Canada): parece contaminacion de otra ficha. No se audito nada porque la regla es visitar solo el dominio oficial de la ficha y no hay ninguno. Requiere corregir el dato en origen."
05,inservible,dominio muerto,Royal Greenhill Institute of Technology,no,—,—,?,—,—,—,?,DOMINIO MUERTO confirmado contra DNS publico 8.8.8.8: NXDOMAIN tanto en www.rgit.edu.au como en el apex rgit.edu.au. No es un 403 ni un bloqueo: el dominio no existe.
05,corregir,nombre distinto al real,William Angliss Institute of TAFE,si,www.angliss.edu.au,William Angliss Institute (TAFE Victoria · RTO 3045 · CRICOS 01505M),parcial,https://www.angliss.edu.au/courses/,"? (categorias: Foods, Tourism, Hospitality, Events, Hotel Management)","Certificado, Diploma, Grado (degree), cursos cortos, aprendizajes",institucion,"El nombre en el sitio es ""William Angliss Institute"" sin ""of TAFE"" (es TAFE, pero no lo usa en la marca). Sin observaciones criticas."
05,corregir,dominio obsoleto,Western Sydney University - Sydney City Campus,redirige,city.westernsydney.edu.au (301 desde westernsydney.edu.au/city),Western Sydney University Sydney City Campus,si,https://city.westernsydney.edu.au/courses/,~14,Pregrado (9) · Postgrado/master (5) · pathways,institucion,"El path de la ficha redirige a otro host (subdominio city.). El campus opera con Navitas como socio operador (link ""Agent Information"" a Navitas): la oferta es un subconjunto de WSU, no el catalogo completo de la universidad."
05,revisar_a_mano,el sitio bloquea acceso automatizado,University of Tasmania (UTas),bloquea,www.utas.edu.au,?,?,?,?,?,institucion,"Cloudflare challenge ""Just a moment..."" (403) en /international, / y /courses, con UA de Chrome y de Safari. Sitio vivo pero no auditable por fetch. La ficha apunta a /international (portal de admisiones internacionales), no a la raiz."
05,corregir,dominio obsoleto,IELS Malta,redirige,www.iels.school (desde ielsmalta.com/en),IELS - Institute of English Language Studies,si,https://www.iels.school/english-courses,~11,"Idiomas: General, Intensive, 30+, Business, IELTS, TOEIC, Cambridge FCE/CAE/CPE, EAP, privadas, online, CELTA (teacher training)",institucion,"El dominio de la ficha ya solo sirve una pagina de redireccion a iels.school — actualizar. Lista estatica y enumerable. `puede_vender` duplica ""Idiomas"" dos veces (ruido en el dato)."
