# Lote 03 · 2026-08-07
institucion | nombre | nivel | area | duracion | codigo_oficial | url_fuente

# --- Australia Institute of Business and Technology (aibtglobal.edu.au) ---
Australia Institute of Business and Technology | General English (Beginner to Upper Intermediate) | curso_corto | Idiomas | no indicada | - | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Certificate IV in Accounting and Bookkeeping | curso_corto | Negocios | no indicada | FNS40222 | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Diploma of Accounting | diplomado | Negocios | no indicada | FNS50222 | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Advanced Diploma of Accounting | diplomado | Negocios | no indicada | FNS60222 | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Certificate IV in Project Management Practice | curso_corto | Negocios | no indicada | BSB40920 | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Diploma of Project Management | diplomado | Negocios | no indicada | BSB50820 | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Advanced Diploma of Program Management | diplomado | Negocios | no indicada | BSB60720 | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Diploma of Leadership and Management | diplomado | Negocios | no indicada | BSB50420 | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Advanced Diploma of Leadership and Management | diplomado | Negocios | no indicada | BSB60420 | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Graduate Diploma of Strategic Leadership | posgrado | Negocios | no indicada | BSB80320 | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Graduate Diploma of Management (Learning) | posgrado | Negocios | no indicada | BSB80120 | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Certificate III in Individual Support (Ageing) | curso_corto | Salud | no indicada | CHC33021 | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Certificate III in Individual Support (Disability) | curso_corto | Salud | no indicada | CHC33021 | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Certificate III in Individual Support (Ageing and Disability) | curso_corto | Salud | no indicada | CHC33021 | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Certificate IV in Ageing Support | curso_corto | Salud | no indicada | CHC43015 | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Diploma of Remedial Massage | diplomado | Salud | no indicada | HLT52021 | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Certificate IV in Massage Therapy | curso_corto | Salud | no indicada | HLT42021 | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Diploma of Community Services | diplomado | Servicios Sociales | no indicada | CHC52025 | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Certificate III in Early Childhood Education and Care | curso_corto | Educación | no indicada | CHC30125 | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Diploma of Early Childhood Education and Care | diplomado | Educación | no indicada | CHC50125 | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Certificate III in Air Conditioning and Refrigeration | curso_corto | Ingeniería | no indicada | UEE32225 | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Certificate IV in Air Conditioning and Refrigeration Servicing | curso_corto | Ingeniería | no indicada | UEE42725 | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Advanced Diploma of Air Conditioning and Refrigeration Engineering | diplomado | Ingeniería | no indicada | UEE62525 | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Certificate III in Light Vehicle Mechanical Technology | curso_corto | Ingeniería | no indicada | AUR30620 | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Certificate IV in Automotive Mechanical Diagnosis | curso_corto | Ingeniería | no indicada | AUR40226 | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Certificate IV in Automotive Electrical Technology | curso_corto | Ingeniería | no indicada | AUR40626 | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Diploma of Automotive Management | diplomado | Negocios | no indicada | AUR50126 | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Certificate IV in Information Technology | curso_corto | Tecnología | no indicada | ICT40120 | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Diploma of Information Technology (Telecommunications Network Engineering) | diplomado | Tecnología | no indicada | ICT50220 | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Advanced Diploma of Information Technology (Telecommunications Network Engineering) | diplomado | Tecnología | no indicada | ICT60220 | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Certificate III in Painting and Decorating | curso_corto | Oficios | no indicada | CPC30620 | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Diploma of Logistics | diplomado | Logística | no indicada | TLI50224 | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Advanced Diploma of Supply Chain Management | diplomado | Logística | no indicada | TLI60222 | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Diploma of Hospitality Management | diplomado | Hospitalidad | no indicada | SIT50422 | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Advanced Diploma of Hospitality Management | diplomado | Hospitalidad | no indicada | SIT60322 | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Certificate III in Patisserie | curso_corto | Hospitalidad | no indicada | SIT31021 | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Certificate IV in Patisserie | curso_corto | Hospitalidad | no indicada | SIT40721 | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Certificate III in Commercial Cookery | curso_corto | Hospitalidad | no indicada | SIT30821 | https://aibtglobal.edu.au/courses/
Australia Institute of Business and Technology | Certificate IV in Kitchen Management | curso_corto | Hospitalidad | no indicada | SIT40521 | https://aibtglobal.edu.au/courses/

# --- UNSW Sydney (unsw.edu.au) · PREGRADO ---
UNSW Sydney | Bachelor of Engineering (Honours) | bachelor | Ingeniería | 4 años | 3707 | https://www.unsw.edu.au/study/undergraduate/bachelor-of-engineering-honours
UNSW Sydney | Bachelor of Engineering (Honours) (Aerospace Engineering) | bachelor | Ingeniería | 4 años | - | https://www.unsw.edu.au/study/undergraduate/bachelor-of-engineering-honours-aerospace
UNSW Sydney | Bachelor of Engineering (Honours) (Civil) | bachelor | Ingeniería | 4 años | - | https://www.unsw.edu.au/study/undergraduate/bachelor-of-engineering-honours-civil
