# Lote 23 - 2026-08-07
institucion | nombre | nivel | area | duracion | codigo_oficial | url_fuente

# --- De Montfort University - dmu.ac.uk - Leicester, UK ---
# 217 de 241 URLs unicas de los listados A-Z. Excluidos apprenticeships, CPD para colegiados NMC/HCPC/GPhC, titulos que exigen ejercer en el NHS, 1 curso sin admisiones y 4 paginas 404. Distance learning marcado con "(Online)". Ver NOTAS.
De Montfort University | 3D Animation and Visual Effects BSc (Hons) | bachelor | Diseño | 3 yrs full-time, 4 yrs with placement | I150 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/3d-animation-and-visual-effects/3d-animation-visual-effects.aspx
De Montfort University | Accounting and Finance BSc (Hons) | bachelor | Negocios | 3 yrs full-time | N421 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/accounting-and-finance-bsc-degree/accounting-and-finance-bsc-hons.aspx
De Montfort University | Accounting and Finance MSc | maestria | Negocios | 12 months | - | https://www.dmu.ac.uk/study/courses/postgraduate-courses/accounting-and-finance-msc-degree/accounting-and-finance-msc.aspx
De Montfort University | Accounting Top Up BSc (Hons) | bachelor | Negocios | 8 months full-time | N40045 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/accounting-bsc-hons/accounting-bsc-hons.aspx
De Montfort University | Accounting with Business Management BSc (Hons) | bachelor | Negocios | 3 yrs full-time, 4 yrs with placement | NN41 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/accounting-business-management-bsc-degree/accounting-with-business-management-bsc-hons.aspx
De Montfort University | Acting BA (Hons) | bachelor | Artes | 3 yrs full-time | W415 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/acting-ba/acting-ba-degree.aspx
De Montfort University | Adult Nursing BSc (Hons) with NMC registration | bachelor | Enfermería | 3 yrs full-time | B700 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/nursing-with-registration-adult-nursing-degree/nursing-with-registration-adult-nursing-bsc-hons.aspx
De Montfort University | Advanced Biomedical Science MSc/PG Dip/PG Cert | maestria | Ciencias | One year full time, or two years part-time | - | https://www.dmu.ac.uk/study/courses/postgraduate-courses/advanced-biomedical-science-mscpg-dippg-cert/advanced-biomedical-science.aspx
De Montfort University | Advertising and Marketing Communications BA (Hons) | bachelor | Medios y Comunicación | 3 yrs full-time | N561 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/advertising-and-marketing-communications-ba-degree/advertising-and-marketing-communications-ba-hons.aspx
De Montfort University | Advertising and Public Relations Management MSc | maestria | Medios y Comunicación | 12 months full-time | - | https://www.dmu.ac.uk/study/courses/postgraduate-courses/advertising-public-relations-management-msc-degree/advertising-and-public-relations-management-msc.aspx
De Montfort University | Aeronautical Engineering BEng/MEng (Hons) | bachelor | Ingeniería | BEng: 3 yrs full-time / MEng: 4 yrs full-time | BEng: H410 / MEng: H403 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/aeronautical-engineering-beng-meng-degree/aeronautical-engineering-beng-meng-degree.aspx
De Montfort University | Aeronautical Engineering MSc | maestria | Ingeniería | 12 months (September start), 16 months (January start) | - | https://www.dmu.ac.uk/study/courses/postgraduate-courses/aeronautical-engineering-msc/aeronautical-engineering-msc.aspx
De Montfort University | Applied Computing BSc (Hons) | bachelor | Tecnología | 3 yrs full-time | G460 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/applied-computing-bsc/applied-computing-bsc.aspx
De Montfort University | Applied Computing CertHE | pregrado | Tecnología | 12 months | G465 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/applied-computing-certhe/applied-computing.aspx
De Montfort University | Architectural Practice Postgraduate Diploma (Part 3) | posgrado | Arquitectura | One year part-time | - | https://www.dmu.ac.uk/study/courses/postgraduate-courses/architectural-practice-postgraduate-diploma/architectural-practice-postgraduate-diploma.aspx
De Montfort University | Architectural Technology BSc (Hons) | bachelor | Arquitectura | 3 yrs full-time | K130 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/architectural-technology-bsc-degree/architectural-technology-bsc-degree.aspx
