# Lote 35 (recuperacion) · Torrens University Australia · 2026-08-07
# Extraccion COMPLETA de las 7 areas de estudio. Sustituye y consolida los dos
# intentos parciales previos: ext_11.txt (224 filas Torrens) y ext_24.txt (5 filas
# Hospitality bajo la marca retirada 'William Blue'). VER NOTAS: esas dos bloques
# deben EXCLUIRSE del consolidado o Torrens se cuenta tres veces.
institucion | nombre | nivel | area | duracion | codigo_oficial | url_fuente

# --- Negocios · 88 programas ---
Torrens University Australia | Bachelor of Applied Business, Management (Partnership with Ducere) | bachelor | Negocios | 2 years full time, 4 years part time | - | https://www.torrens.edu.au/courses/business/bachelor-of-applied-business-management-partnership-with-ducere
Torrens University Australia | Bachelor of Applied Business, Marketing (Partnership with Ducere) | bachelor | Negocios | 2 years full time, 4 years part time | - | https://www.torrens.edu.au/courses/business/bachelor-of-applied-business-marketing-partnership-with-ducere
Torrens University Australia | Bachelor of Applied Entrepreneurship (Partnership with Ducere) | bachelor | Negocios | 2 years full time, 4 years part time | - | https://www.torrens.edu.au/courses/business/bachelor-of-applied-entrepreneurship-partnership-with-ducere
Torrens University Australia | Bachelor of Business | bachelor | Negocios | 3 years full time, 6 years part time, 2 years accelerated | 090275E | https://www.torrens.edu.au/courses/business/bachelor-of-business
Torrens University Australia | Bachelor of Business (Accounting) | bachelor | Negocios | 3 years full time, 6 years part time | 117488K | https://www.torrens.edu.au/courses/business/bachelor-of-business-accounting
Torrens University Australia | Bachelor of Business (Entrepreneurship) | bachelor | Negocios | 3 years full time, 6 years part time, 2 years accelerated | 095229D | https://www.torrens.edu.au/courses/business/bachelor-of-business-entrepreneurship
Torrens University Australia | Bachelor of Business (Event Management) | bachelor | Negocios | 3 years full time, 6 years part time, 2 years accelerated | 090278B | https://www.torrens.edu.au/courses/business/bachelor-of-business-event-management
Torrens University Australia | Bachelor of Business (Marketing) | bachelor | Negocios | 3 years full time, 6 years part time, 2 years accelerated | 090279A | https://www.torrens.edu.au/courses/business/bachelor-of-business-marketing
