lote,institucion,nombre,nivel,area,duracion,codigo_oficial,url_fuente,pais,ciudad,dominio,motivo_sin_pais
01,Australia Institute of Business and Technology,General English (Beginner to Upper Intermediate),curso_corto,Idiomas,no indicada,-,https://aibtglobal.edu.au/courses/,Australia,,aibtglobal.edu.au,
01,Australia Institute of Business and Technology,Certificate III in Individual Support (Ageing),curso_corto,Salud,no indicada,CHC33021,https://aibtglobal.edu.au/courses/,Australia,,aibtglobal.edu.au,
01,Australia Institute of Business and Technology,Certificate III in Individual Support (Disability),curso_corto,Salud,no indicada,CHC33021,https://aibtglobal.edu.au/courses/,Australia,,aibtglobal.edu.au,
01,Australia Institute of Business and Technology,Certificate III in Individual Support (Ageing and Disability),curso_corto,Salud,no indicada,CHC33021,https://aibtglobal.edu.au/courses/,Australia,,aibtglobal.edu.au,
01,Australia Institute of Business and Technology,Diploma of Remedial Massage,diplomado,Salud,no indicada,HLT52021,https://aibtglobal.edu.au/courses/,Australia,,aibtglobal.edu.au,
01,Australia Institute of Business and Technology,Certificate IV in Massage Therapy,curso_corto,Salud,no indicada,HLT42021,https://aibtglobal.edu.au/courses/,Australia,,aibtglobal.edu.au,
01,Australia Institute of Business and Technology,Diploma of Community Services,diplomado,Servicios Sociales,no indicada,CHC52025,https://aibtglobal.edu.au/courses/,Australia,,aibtglobal.edu.au,
01,Australia Institute of Business and Technology,Diploma of Early Childhood Education and Care,diplomado,Educación,no indicada,CHC50125,https://aibtglobal.edu.au/courses/,Australia,,aibtglobal.edu.au,
01,Australia Institute of Business and Technology,Certificate III in Air Conditioning and Refrigeration,curso_corto,Ingeniería,no indicada,UEE32225,https://aibtglobal.edu.au/courses/,Australia,,aibtglobal.edu.au,
01,Australia Institute of Business and Technology,Advanced Diploma of Air Conditioning and Refrigeration Engineering,diplomado,Ingeniería,no indicada,UEE62525,https://aibtglobal.edu.au/courses/,Australia,,aibtglobal.edu.au,
01,Australia Institute of Business and Technology,Certificate III in Light Vehicle Mechanical Technology,curso_corto,Automotriz,no indicada,AUR30620,https://aibtglobal.edu.au/courses/,Australia,,aibtglobal.edu.au,
01,Australia Institute of Business and Technology,Certificate IV in Automotive Mechanical Diagnosis,curso_corto,Automotriz,no indicada,AUR40226,https://aibtglobal.edu.au/courses/,Australia,,aibtglobal.edu.au,
01,Australia Institute of Business and Technology,Diploma of Automotive Management,diplomado,Automotriz,no indicada,AUR50126,https://aibtglobal.edu.au/courses/,Australia,,aibtglobal.edu.au,
01,Australia Institute of Business and Technology,Certificate IV in Automotive Electrical Technology,curso_corto,Automotriz,no indicada,AUR40626,https://aibtglobal.edu.au/courses/,Australia,,aibtglobal.edu.au,
01,Australia Institute of Business and Technology,Advanced Diploma of Information Technology (Telecommunications Network Engineering),diplomado,Tecnología,no indicada,ICT60220,https://aibtglobal.edu.au/courses/,Australia,,aibtglobal.edu.au,
01,Australia Institute of Business and Technology,Certificate III in Painting and Decorating,curso_corto,Construcción,no indicada,CPC30620,https://aibtglobal.edu.au/courses/,Australia,,aibtglobal.edu.au,
01,Australia Institute of Business and Technology,Diploma of Logistics,diplomado,Logística,no indicada,TLI50224,https://aibtglobal.edu.au/courses/,Australia,,aibtglobal.edu.au,
01,Australia Institute of Business and Technology,Advanced Diploma of Supply Chain Management,diplomado,Logística,no indicada,TLI60222,https://aibtglobal.edu.au/courses/,Australia,,aibtglobal.edu.au,
01,Australia Institute of Business and Technology,Diploma of Hospitality Management,diplomado,Hospitalidad,no indicada,SIT50422,https://aibtglobal.edu.au/courses/,Australia,,aibtglobal.edu.au,
01,Australia Institute of Business and Technology,Advanced Diploma of Hospitality Management,diplomado,Hospitalidad,no indicada,SIT60322,https://aibtglobal.edu.au/courses/,Australia,,aibtglobal.edu.au,
01,Australia Institute of Business and Technology,Certificate III in Patisserie,curso_corto,Hospitalidad,no indicada,SIT31021,https://aibtglobal.edu.au/courses/,Australia,,aibtglobal.edu.au,
01,Australia Institute of Business and Technology,Certificate IV in Patisserie,curso_corto,Hospitalidad,no indicada,SIT40721,https://aibtglobal.edu.au/courses/,Australia,,aibtglobal.edu.au,
01,Australia Institute of Business and Technology,Certificate III in Commercial Cookery,curso_corto,Hospitalidad,no indicada,SIT30821,https://aibtglobal.edu.au/courses/,Australia,,aibtglobal.edu.au,
01,Australia Institute of Business and Technology,Certificate IV in Kitchen Management,curso_corto,Hospitalidad,no indicada,SIT40521,https://aibtglobal.edu.au/courses/,Australia,,aibtglobal.edu.au,
01,Florida Atlantic University,"Accounting (B.S., B.B.A.)",bachelor,Negocios,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,Accounting (M.AC.),maestria,Negocios,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,Anthropology (B.A.),bachelor,Ciencias Sociales,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,"Anthropology (M.A.T., M.A.)",maestria,Ciencias Sociales,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,Architecture (B.Arch.),bachelor,Arquitectura,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,Art (B.F.A.),bachelor,Artes,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,Art (B.A.),bachelor,Artes,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,"Art Education (B.F.A., B.A.)",bachelor,Artes,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,Artificial Intelligence (M.S.),maestria,Tecnología,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,"Biological and Physical Sciences (B.S., B.A.)",bachelor,Ciencias,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,"Biological Sciences (B.S., B.A.)",bachelor,Ciencias,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,"Biological Sciences (M.S.T., M.S.)",maestria,Ciencias,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,Biomedical Engineering (M.S.),maestria,Ingeniería,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,Biomedical Science (M.S.),maestria,Salud,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,Business Administration (M.B.A.),mba,Negocios,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,Business Administration (Ph.D.),doctorado,Negocios,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,Business Analytics (M.S.),maestria,Negocios,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,Business Biotechnology (P.S.M.),maestria,Ciencias,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,Chemistry (B.S.),bachelor,Ciencias,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,Chemistry (B.A.),bachelor,Ciencias,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,"Chemistry (M.S.T., M.S.)",maestria,Ciencias,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,Chemistry (Ph.D.),doctorado,Ciencias,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,Civil Engineering (B.S.C.V.),bachelor,Ingeniería,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,Civil Engineering (M.S.),maestria,Ingeniería,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,Commercial Music (B.M.),bachelor,Artes,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,Communication (M.A.),maestria,Comunicación,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,Communication Studies (B.A.),bachelor,Comunicación,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,Comparative Studies (Ph.D.),doctorado,Humanidades,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,Computer Engineering (B.S.C.E.),bachelor,Ingeniería,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,Computer Engineering (M.S.),maestria,Ingeniería,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,Computer Engineering (Ph.D.),doctorado,Ingeniería,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,"Computer Science (B.S.C.S., B.A.C.S.)",bachelor,Tecnología,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,Computer Science (M.S.),maestria,Tecnología,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,Computer Science (Ph.D.),doctorado,Tecnología,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,Counselor Education (M.Ed.),maestria,Educación,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,Counselor Education (Ed.S.),posgrado,Educación,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,Counselor Education (Ph.D.),doctorado,Educación,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,Creative Writing (M.F.A.),maestria,Artes,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,Criminal Justice (B.A.),bachelor,Ciencias Sociales,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,Curriculum and Instruction (M.Ed.),maestria,Educación,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,Curriculum and Instruction (Ed.S.),posgrado,Educación,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
01,Florida Atlantic University,Curriculum and Instruction (Ph.D.),doctorado,Educación,no indicada,-,https://www.fau.edu/programs/,USA,"Boca Raton, FL",fau.edu,
