lote,institucion,nombre,nivel,area,duracion,codigo_oficial,url_fuente,motivo
07,ELTHAM College,Primary Years P-6,secundaria,Educación Escolar (Primaria),no indicada,CRICOS 016363G,https://www.elthamcollege.vic.edu.au/admissions/international-student-admission,primaria · no es bachillerato
07,Pickering College,Junior School (JK-Grade 5),secundaria,Educación Escolar (Primaria),no indicada,-,https://www.pickeringcollege.on.ca/academics/junior-school-jk-grade-5,primaria · no es bachillerato
07,Pickering College,The Sphere Program (Grades 4 & 5),secundaria,Educación Escolar (Primaria),no indicada,-,https://www.pickeringcollege.on.ca/academics/sphere,primaria · no es bachillerato
08,Ermitage International School Paris,IB Primary Years Programme (IB PYP),secundaria,Educación General,6 años (Years 1-6 · 5 a 11 años),-,https://www.ermitage.fr/ib-programs,primaria · no es bachillerato
08,Ermitage International School Paris,French Bilingual School - Pre-K & Primary (Maternelle to Primary),secundaria,Educación General,desde los 3 años,-,https://www.ermitage.fr/french-bilingual-programs,primaria · no es bachillerato
09,"University of the West of England, Bristol",Academic and Professional Journeys (Professional/Short course),curso_corto,Desarrollo Profesional,no indicada,-,https://courses.uwe.ac.uk/Search?words&view=list,CPD / Skills Bootcamp UK · cerrado a estudiantes extranjeros
09,"University of the West of England, Bristol",Accelerating Learning for Professionals (Professional/Short course),curso_corto,Desarrollo Profesional,no indicada,-,https://courses.uwe.ac.uk/Search?words&view=list,CPD / Skills Bootcamp UK · cerrado a estudiantes extranjeros
09,"University of the West of England, Bristol",Acute Medical Assessment: Theory and Practice (Professional/Short course),curso_corto,Salud,no indicada,-,https://courses.uwe.ac.uk/Search?words&view=list,CPD / Skills Bootcamp UK · cerrado a estudiantes extranjeros
09,"University of the West of England, Bristol",Administering Intravenous Injections (Study Day - College of Radiographers Certificate of Competence),curso_corto,Salud,no indicada,-,https://courses.uwe.ac.uk/Search?words&view=list,CPD / Skills Bootcamp UK · cerrado a estudiantes extranjeros
09,"University of the West of England, Bristol","Advanced AI, Computer Vision and Cyber Security (Professional/Short course)",curso_corto,Tecnología,no indicada,-,https://courses.uwe.ac.uk/Search?words&view=list,CPD / Skills Bootcamp UK · cerrado a estudiantes extranjeros
09,"University of the West of England, Bristol",Advanced Leaders Programme (ILM level 5) (Continuing Professional Development),curso_corto,Negocios,no indicada,-,https://courses.uwe.ac.uk/Search?words&view=list,CPD / Skills Bootcamp UK · cerrado a estudiantes extranjeros
09,"University of the West of England, Bristol",Advanced Practice with Adults at Risk (Professional/Short course),curso_corto,Salud,no indicada,-,https://courses.uwe.ac.uk/Search?words&view=list,CPD / Skills Bootcamp UK · cerrado a estudiantes extranjeros
09,"University of the West of England, Bristol",Advanced Wind Energy (Professional/Short course),curso_corto,Ingeniería,no indicada,-,https://courses.uwe.ac.uk/Search?words&view=list,CPD / Skills Bootcamp UK · cerrado a estudiantes extranjeros
09,"University of the West of England, Bristol","Advancing Practice in Clinical Examination and Diagnostic Reasoning for Urgent, Emergency and Primary Care Practitioners (Professional/Short course)",curso_corto,Salud,no indicada,-,https://courses.uwe.ac.uk/Search?words&view=list,CPD / Skills Bootcamp UK · cerrado a estudiantes extranjeros
