lote,linea,motivo,contenido
05,1,tiene 1 columnas y deben ser 7,﻿# Lote 05 · 2026-08-07
11,-,extracción superada por el lote 35,"Torrens University Australia | Bachelor of Applied Business, Management (Partnership with Ducere)"
11,-,extracción superada por el lote 35,"Torrens University Australia | Bachelor of Applied Business, Marketing (Partnership with Ducere)"
11,-,extracción superada por el lote 35,Torrens University Australia | Bachelor of Applied Entrepreneurship (Partnership with Ducere)
11,-,extracción superada por el lote 35,Torrens University Australia | Bachelor of Business
11,-,extracción superada por el lote 35,Torrens University Australia | Bachelor of Business (Accounting)
11,-,extracción superada por el lote 35,Torrens University Australia | Bachelor of Business (Entrepreneurship)
11,-,extracción superada por el lote 35,Torrens University Australia | Bachelor of Business (Event Management)
11,-,extracción superada por el lote 35,Torrens University Australia | Bachelor of Business (Marketing)
11,-,extracción superada por el lote 35,Torrens University Australia | Bachelor of Business (Sport Management)
11,-,extracción superada por el lote 35,Torrens University Australia | Diploma of Business
11,-,extracción superada por el lote 35,Torrens University Australia | Diploma of Business (Accounting)
11,-,extracción superada por el lote 35,Torrens University Australia | Diploma of Business (Entrepreneurship)
11,-,extracción superada por el lote 35,Torrens University Australia | Diploma of Business (Event Management)
11,-,extracción superada por el lote 35,Torrens University Australia | Diploma of Business (Marketing)
11,-,extracción superada por el lote 35,Torrens University Australia | Diploma of Business (Sport Management)
11,-,extracción superada por el lote 35,Torrens University Australia | Doctor of Business Leadership (Partnership with Australian Graduate School of Leadership)
11,-,extracción superada por el lote 35,Torrens University Australia | Graduate Certificate of Analytics
11,-,extracción superada por el lote 35,Torrens University Australia | Graduate Certificate of Applied Business (Partnership with Ducere)
11,-,extracción superada por el lote 35,Torrens University Australia | Graduate Certificate of Business Administration
11,-,extracción superada por el lote 35,Torrens University Australia | Graduate Certificate of Business Administration (On Demand)
11,-,extracción superada por el lote 35,Torrens University Australia | Graduate Certificate of Business Analytics
11,-,extracción superada por el lote 35,Torrens University Australia | Graduate Certificate of Economics of Sustainability (Partnership with Modern Money Lab)
11,-,extracción superada por el lote 35,Torrens University Australia | Graduate Diploma of Applied Business (Partnership with Ducere)
11,-,extracción superada por el lote 35,Torrens University Australia | Graduate Diploma of Business Administration
11,-,extracción superada por el lote 35,Torrens University Australia | Graduate Diploma of Business Administration (On Demand)
11,-,extracción superada por el lote 35,Torrens University Australia | Graduate Diploma of Business Analytics
11,-,extracción superada por el lote 35,Torrens University Australia | Graduate Diploma of Economics of Sustainability (Partnership with Modern Money Lab)
11,-,extracción superada por el lote 35,Torrens University Australia | Master of Business Administration
11,-,extracción superada por el lote 35,Torrens University Australia | Master of Business Administration (Advanced)
11,-,extracción superada por el lote 35,Torrens University Australia | Master of Business Administration (On Demand)
11,-,extracción superada por el lote 35,Torrens University Australia | Master of Business Administration and Master of Global Project Management
11,-,extracción superada por el lote 35,Torrens University Australia | Master of Business Administration and Master of Public Health
11,-,extracción superada por el lote 35,"Torrens University Australia | Master of Business Administration, Innovation and Leadership (Partnership with Ducere)"
11,-,extracción superada por el lote 35,Torrens University Australia | Master of Business Analytics
11,-,extracción superada por el lote 35,Torrens University Australia | Master of Business Analytics (Advanced)
11,-,extracción superada por el lote 35,Torrens University Australia | Master of Economics of Sustainability (Partnership with Modern Money Lab)
11,-,extracción superada por el lote 35,Torrens University Australia | Master of Engineering Management
11,-,extracción superada por el lote 35,Torrens University Australia | Master of Professional Accounting
11,-,extracción superada por el lote 35,Torrens University Australia | Master of Professional Accounting (Advanced)
11,-,extracción superada por el lote 35,Torrens University Australia | Undergraduate Certificate of Business
11,-,extracción superada por el lote 35,Torrens University Australia | Advanced Diploma of Game Design and Development
11,-,extracción superada por el lote 35,Torrens University Australia | Advanced Diploma of Game Programming
11,-,extracción superada por el lote 35,Torrens University Australia | Advanced Diploma of Interior Design and Decoration
11,-,extracción superada por el lote 35,Torrens University Australia | Bachelor of 3D Design and Animation
11,-,extracción superada por el lote 35,Torrens University Australia | Bachelor of Architectural Technology
11,-,extracción superada por el lote 35,Torrens University Australia | Bachelor of Branded Fashion Design
11,-,extracción superada por el lote 35,Torrens University Australia | Bachelor of Communication Design
11,-,extracción superada por el lote 35,Torrens University Australia | Bachelor of Fashion Marketing and Enterprise
11,-,extracción superada por el lote 35,Torrens University Australia | Bachelor of Game Design and Development
11,-,extracción superada por el lote 35,Torrens University Australia | Bachelor of Game Programming
11,-,extracción superada por el lote 35,Torrens University Australia | Bachelor of Interior Design (Commercial)
11,-,extracción superada por el lote 35,Torrens University Australia | Bachelor of Interior Design (Residential)
11,-,extracción superada por el lote 35,Torrens University Australia | Bachelor of Media Production and Communication
11,-,extracción superada por el lote 35,Torrens University Australia | Bachelor of UX and Web Design
11,-,extracción superada por el lote 35,Torrens University Australia | Diploma of 3D Design and Animation
11,-,extracción superada por el lote 35,Torrens University Australia | Diploma of Branded Fashion Design
11,-,extracción superada por el lote 35,Torrens University Australia | Diploma of Design
11,-,extracción superada por el lote 35,Torrens University Australia | Diploma of Fashion Marketing and Enterprise
11,-,extracción superada por el lote 35,Torrens University Australia | Diploma of Graphic Design
11,-,extracción superada por el lote 35,Torrens University Australia | Diploma of Interior Design and Decoration
11,-,extracción superada por el lote 35,Torrens University Australia | Diploma of Media Production
11,-,extracción superada por el lote 35,Torrens University Australia | Diploma of Photography and Photo Imaging
11,-,extracción superada por el lote 35,Torrens University Australia | Diploma of UX and Web Design
11,-,extracción superada por el lote 35,Torrens University Australia | Graduate Certificate of Design
11,-,extracción superada por el lote 35,Torrens University Australia | Graduate Certificate of UX Design
11,-,extracción superada por el lote 35,Torrens University Australia | Master of Design
11,-,extracción superada por el lote 35,Torrens University Australia | Undergraduate Certificate of Design
11,-,extracción superada por el lote 35,Torrens University Australia | Graduate Certificate in Autism and Neurodivergent Studies
11,-,extracción superada por el lote 35,Torrens University Australia | Graduate Certificate in Higher Education (Learning and Teaching)
11,-,extracción superada por el lote 35,Torrens University Australia | Graduate Certificate of Education
11,-,extracción superada por el lote 35,Torrens University Australia | Graduate Diploma of Education
11,-,extracción superada por el lote 35,Torrens University Australia | Master of Education (Advanced)
11,-,extracción superada por el lote 35,Torrens University Australia | Master of Education (Inclusive Education)
11,-,extracción superada por el lote 35,Torrens University Australia | Master of Education (Inclusive Literacies)
11,-,extracción superada por el lote 35,Torrens University Australia | Master of Education (Leadership and Innovation)
11,-,extracción superada por el lote 35,Torrens University Australia | Bachelor of Community Services
11,-,extracción superada por el lote 35,Torrens University Australia | Bachelor of Counselling
11,-,extracción superada por el lote 35,Torrens University Australia | Bachelor of Health Science (Chinese Medicine)
11,-,extracción superada por el lote 35,Torrens University Australia | Bachelor of Health Science (Clinical Nutrition)
11,-,extracción superada por el lote 35,Torrens University Australia | Bachelor of Health Science (Dermal Therapies)
11,-,extracción superada por el lote 35,Torrens University Australia | Bachelor of Health Science (Naturopathy)
11,-,extracción superada por el lote 35,Torrens University Australia | Bachelor of Health Science (Western Herbal Medicine)
11,-,extracción superada por el lote 35,Torrens University Australia | Bachelor of Nursing
11,-,extracción superada por el lote 35,Torrens University Australia | Bachelor of Nutrition
11,-,extracción superada por el lote 35,Torrens University Australia | Bachelor of Psychological Science
11,-,extracción superada por el lote 35,Torrens University Australia | CHC51015 Diploma of Counselling VET
11,-,extracción superada por el lote 35,Torrens University Australia | Diploma of Beauty and Spa Practice
11,-,extracción superada por el lote 35,Torrens University Australia | Diploma of Clinical Exercise Science
11,-,extracción superada por el lote 35,Torrens University Australia | Diploma of Health Science
11,-,extracción superada por el lote 35,Torrens University Australia | Diploma of Health and Wellbeing
11,-,extracción superada por el lote 35,Torrens University Australia | Diploma of Nutrition
11,-,extracción superada por el lote 35,Torrens University Australia | Graduate Certificate of Counselling
11,-,extracción superada por el lote 35,Torrens University Australia | Graduate Certificate of Public Health
11,-,extracción superada por el lote 35,Torrens University Australia | Graduate Diploma of Counselling
11,-,extracción superada por el lote 35,Torrens University Australia | Graduate Diploma of Psychology
11,-,extracción superada por el lote 35,Torrens University Australia | Graduate Diploma of Public Health
11,-,extracción superada por el lote 35,Torrens University Australia | Master of Counselling
11,-,extracción superada por el lote 35,Torrens University Australia | Master of Public Health
11,-,extracción superada por el lote 35,Torrens University Australia | Master of Public Health (Advanced)
11,-,extracción superada por el lote 35,Torrens University Australia | Undergraduate Certificate in Nursing Study Foundations
11,-,extracción superada por el lote 35,Torrens University Australia | Undergraduate Certificate of Community Services
11,-,extracción superada por el lote 35,Torrens University Australia | Undergraduate Certificate of Health Science
11,-,extracción superada por el lote 35,Torrens University Australia | Undergraduate Certificate of Mental Health
11,-,extracción superada por el lote 35,Torrens University Australia | Doctor of Philosophy
11,-,extracción superada por el lote 35,Torrens University Australia | Doctor of Philosophy (By Prior Works)
11,-,extracción superada por el lote 35,Torrens University Australia | Graduate Certificate of Research Studies
11,-,extracción superada por el lote 35,Torrens University Australia | Graduate Diploma of Research Studies
11,-,extracción superada por el lote 35,Torrens University Australia | Master of Philosophy
11,-,extracción superada por el lote 35,Torrens University Australia | Master of Research Studies
11,-,extracción superada por el lote 35,Torrens University Australia | Professional Doctorate (Applied Research)
11,-,extracción superada por el lote 35,Torrens University Australia | Professional Doctorate (Research)
11,-,extracción superada por el lote 35,Torrens University Australia | Associate Degree of Business (Hospitality and Tourism Management)
11,-,extracción superada por el lote 35,Torrens University Australia | Bachelor of Business (Hospitality and Tourism Management)
11,-,extracción superada por el lote 35,Torrens University Australia | Bachelor of Business (International Hotel Management)
11,-,extracción superada por el lote 35,Torrens University Australia | Diploma of Business (Hospitality and Tourism Management)
11,-,extracción superada por el lote 35,Torrens University Australia | Diploma of Business (International Hotel Management)
11,-,extracción superada por el lote 35,Torrens University Australia | Diploma of Travel and Tourism (Partnership with Flight Centre Travel Academy)
11,-,extracción superada por el lote 35,Torrens University Australia | Master of International Hotel Management
11,-,extracción superada por el lote 35,Torrens University Australia | Bachelor of Cybersecurity
11,-,extracción superada por el lote 35,Torrens University Australia | Bachelor of Information Technology
11,-,extracción superada por el lote 35,Torrens University Australia | Diploma of Cybersecurity
11,-,extracción superada por el lote 35,Torrens University Australia | Diploma of Information Technology
11,-,extracción superada por el lote 35,Torrens University Australia | Graduate Certificate of Cybersecurity
11,-,extracción superada por el lote 35,Torrens University Australia | Graduate Certificate of Information Technology
11,-,extracción superada por el lote 35,Torrens University Australia | Graduate Diploma of Cybersecurity
11,-,extracción superada por el lote 35,Torrens University Australia | Graduate Diploma of Information Technology
11,-,extracción superada por el lote 35,Torrens University Australia | Master of Cybersecurity
11,-,extracción superada por el lote 35,Torrens University Australia | Master of Cybersecurity (Advanced)
11,-,extracción superada por el lote 35,Torrens University Australia | Master of Information Technology
11,-,extracción superada por el lote 35,Torrens University Australia | Master of Information Technology (Advanced)
11,-,extracción superada por el lote 35,Torrens University Australia | Undergraduate Certificate of Information and Communication Technology
11,-,extracción superada por el lote 35,Torrens University Australia | Principles of Structure  -  ARC102
11,-,extracción superada por el lote 35,Torrens University Australia | Beyond the Creative Industries  -  BCI100
11,-,extracción superada por el lote 35,Torrens University Australia | Data Visualisation  -  CIN100A
11,-,extracción superada por el lote 35,Torrens University Australia | Bespoke Decoration  -  DBD100
11,-,extracción superada por el lote 35,Torrens University Australia | Design Context  -  DCX101
11,-,extracción superada por el lote 35,Torrens University Australia | Design Drawing  -  DDW100
11,-,extracción superada por el lote 35,Torrens University Australia | Visual Language of Design  -  DGDVL100
11,-,extracción superada por el lote 35,"Torrens University Australia | History of Architecture, Interior Design and Decoration  -  DHI100"
11,-,extracción superada por el lote 35,Torrens University Australia | Design Studio 1  -  DSO102
11,-,extracción superada por el lote 35,Torrens University Australia | Fashion Illustration  -  FA101A
11,-,extracción superada por el lote 35,Torrens University Australia | Introduction to Branded Fashion Technical Drawing  -  FA104A
11,-,extracción superada por el lote 35,Torrens University Australia | Visual Language of Photography  -  IVL100
11,-,extracción superada por el lote 35,Torrens University Australia | Complementary Medicine Foundations  -  CMF105A
11,-,extracción superada por el lote 35,Torrens University Australia | Coaching and Positive Psychology  -  CPP614
11,-,extracción superada por el lote 35,Torrens University Australia | Empowerment and Advocacy  -  EPA618
11,-,extracción superada por el lote 35,Torrens University Australia | Foundations of Human Nutrition  -  FHN201
11,-,extracción superada por el lote 35,Torrens University Australia | Grief and Loss  -  GAL613
11,-,extracción superada por el lote 35,Torrens University Australia | Professional Communication and Collaboration  -  HSC101
11,-,extracción superada por el lote 35,Torrens University Australia | Understanding Health  -  HWEL2002A
11,-,extracción superada por el lote 35,Torrens University Australia | Social and Emotional Wellbeing  -  HWEL2006
11,-,extracción superada por el lote 35,Torrens University Australia | Active Lifestyle Promotion  -  HWEL2007
11,-,extracción superada por el lote 35,Torrens University Australia | Active Ageing and Falls Prevention  -  HWEL2009
11,-,extracción superada por el lote 35,Torrens University Australia | Corporate Health  -  HWEL2010
11,-,extracción superada por el lote 35,Torrens University Australia | Nutrition & Society  -  NUTR2003
11,-,extracción superada por el lote 35,Torrens University Australia | Positive Aging  -  POA612
11,-,extracción superada por el lote 35,Torrens University Australia | Self Care & Developing Resilience  -  SDR404
11,-,extracción superada por el lote 35,Torrens University Australia | Social and Emotional Well-being in Australian Indigenous Populations  -  SEW615
11,-,extracción superada por el lote 35,Torrens University Australia | Introduction to Sports Management  -  SPO101
11,-,extracción superada por el lote 35,Torrens University Australia | Sports Marketing  -  SPO102
11,-,extracción superada por el lote 35,Torrens University Australia | Introduction to Cloud Computing  -  ICC104
11,-,extracción superada por el lote 35,Torrens University Australia | Introduction to Software Engineering  -  ISE102
11,-,extracción superada por el lote 35,Torrens University Australia | Introduction to Programming  -  ITP122
11,-,extracción superada por el lote 35,Torrens University Australia | JavaScript Fundamentals  -  JSF100
11,-,extracción superada por el lote 35,Torrens University Australia | Cybersecurity Principles  -  CBS131
11,-,extracción superada por el lote 35,Torrens University Australia | Academic and Business Communication Skills  -  BIZ106
11,-,extracción superada por el lote 35,Torrens University Australia | The Business Environment  -  BIZ202
11,-,extracción superada por el lote 35,Torrens University Australia | The Business of Events  -  EVT102
11,-,extracción superada por el lote 35,Torrens University Australia | Consumer Behaviour  -  MKG102
11,-,extracción superada por el lote 35,Torrens University Australia | Integrated Marketing Communications  -  MKT103A
11,-,extracción superada por el lote 35,Torrens University Australia | Marketing in the Digital Era  -  MKT105
11,-,extracción superada por el lote 35,Torrens University Australia | The Food and Beverage Industry  -  HAT101
11,-,extracción superada por el lote 35,Torrens University Australia | Tourism Perspectives and Experiences  -  HAT102
11,-,extracción superada por el lote 35,Torrens University Australia | Social Justice in Action  -  EEDUSD400
11,-,extracción superada por el lote 35,Torrens University Australia | Person Centred - Autism  -  EEDUSD401
11,-,extracción superada por el lote 35,Torrens University Australia | Design Thinking  -  EEDUSD402
11,-,extracción superada por el lote 35,Torrens University Australia | Contemporary Literacy Practices  -  EEDUSD505
11,-,extracción superada por el lote 35,Torrens University Australia | Innovation for Education  -  IED402
11,-,extracción superada por el lote 35,Torrens University Australia | Adopting Agile
11,-,extracción superada por el lote 35,Torrens University Australia | Artificial Intelligence
11,-,extracción superada por el lote 35,Torrens University Australia | AWS vs Azure vs Google
11,-,extracción superada por el lote 35,Torrens University Australia | CSR and Customer Engagement
11,-,extracción superada por el lote 35,Torrens University Australia | Debugging
11,-,extracción superada por el lote 35,Torrens University Australia | Domain Driven Design
11,-,extracción superada por el lote 35,Torrens University Australia | Ethical Design for Intelligent Systems
11,-,extracción superada por el lote 35,Torrens University Australia | How Can DevOps Improve Your Business
11,-,extracción superada por el lote 35,Torrens University Australia | Solving Economical and Societal Problems with AI
11,-,extracción superada por el lote 35,Torrens University Australia | Private vs Public vs Hybrid Cloud
