institucion,accion,dominio_real,ruta_catalogo,nombre_real,ciudad_real,fusionar_con,evidencia
La Trobe College,corregir_dominio,latrobecollegeaustralia.edu.au,,,,,"Navitas Bundoora Pty Ltd opera 'La Trobe College Australia': latrobemelbourne.edu.au devuelve 301 a latrobecollegeaustralia.edu.au (verificado con curl) y /sydney redirige a /about/college/sydney/, o sea campus Bundoora-Melbourne y Sydney. Es el pathway college (foundation, diplomas, undergraduate certificates, ingles), NO la universidad: no se fusiona."
La Trobe University,sin_cambio,,,,,,"latrobe.edu.au es el dominio propio de la universidad y no cambia. Aviso para la extraccion: el host responde 403 a cualquier bot incluida la raiz (WAF; probado con curl en / y en una ruta inexistente, ambas 403), la institucion esta viva. El dominio deja de estar compartido porque el college se va a latrobecollegeaustralia.edu.au y el campus de Sydney queda en su ruta."
La Trobe University Sydney,corregir_dominio,latrobe.edu.au,/sydney,,,,"Campus del CBD de Sydney en 255 Elizabeth St, Haymarket, gestionado operativamente por Navitas bajo el CRICOS 00115M de La Trobe (mismo codigo que la universidad). Vive en la ruta /sydney del mismo host, no en subdominio propio; latrobesydney.edu.au no existe. Es la misma entidad legal que La Trobe University pero con oferta y ciudad distintas (foundation/diploma mas pregrado y posgrado en negocios, TI, cyber, educacion y salud publica), asi que se apunta a la ruta especifica y no se fusiona."
TAFE Western Australia,sin_cambio,,,,West Perth,,"tafeinternational.wa.edu.au responde 200 y es TIWA, TAFE International Western Australia, CRICOS 00020G y RTO 52395: el dominio es correcto para esta ficha. Su pagina de contacto da la direccion oficial 1 Prospect Place, West Perth WA 6005 (no East Perth), por eso la correccion de ciudad. El conflicto de dominio se resuelve moviendo las escuelas publicas a su propio sitio: TIWA solo tramita esas postulaciones por cuenta del Department of Education, su catalogo propio es el de TAFE."
The University of Newcastle,fusionar,,,,,University of Newcastle,"Es la misma institucion escrita dos veces: 'Orimbah' es Ourimbah, el campus Central Coast de The University of Newcastle (newcastle.edu.au/campus-life/central-coast/ourimbah), un campus y no una entidad aparte, con el mismo dominio. Sobrevive la ficha 'University of Newcastle' porque tiene la ciudad bien escrita y los niveles autorizados mas amplios; el nombre oficial completo es 'The University of Newcastle, Australia' y conviene dejarlo anotado al fusionar."
University of Canberra College,corregir_dominio,canberra.edu.au,/uc-college/,,,,"UC College es joint venture entre Navitas y la University of Canberra desde 2015 (comunicados de prensa de la propia UC, mayo y agosto de 2015, Navitas compro el 51%). Vive en la ruta /uc-college/ del sitio de la universidad: canberra.edu.au/uc-college/ responde 200 y uccollege.edu.au redirige ahi; ucc.navitas.com no resuelve. navitas.com es solo el sitio corporativo del grupo. Nota sin corregir: la categoria dice 'Universidad' pero es un pathway college (diplomas, foundation, graduate certificate, ingles)."
University of Newcastle,sin_cambio,,,,,,"newcastle.edu.au es su dominio propio y correcto. Esta es la ficha que sobrevive a la fusion con 'The University of Newcastle' (misma entidad, esa otra apuntaba al campus Ourimbah escrito 'Orimbah'). Nombre oficial completo: The University of Newcastle, Australia."
University of Tasmania,sin_cambio,,,,,,"utas.edu.au es el dominio propio de la universidad y no cambia. El 403 que devuelve a los bots es bloqueo tipo WAF, no un sitio caido. El dominio deja de estar compartido porque su pathway college tiene sitio propio en utas.up.education."
"University of Tasmania
International Pathway
College",corregir_dominio,utas.up.education,,University of Tasmania International Pathway College,Hobart,,"Tiene sitio propio: utas.up.education responde 200 y se identifica en su schema.org como 'University of Tasmania International Pathway College', entregado en alianza con UP Education, CRICOS Provider Code 00586B, campus Sandy Bay en Hobart (la home menciona Hobart y Sandy Bay, no Launceston). Entrega foundation studies, international first year diplomas y pathway de posgrado: catalogo propio y distinto al de la universidad, por eso corregir dominio y no fusionar. El nombre venia partido con saltos de linea."
Western Australia Government School,corregir_dominio,schoolsinternational.wa.gov.au,,,,,"Las escuelas publicas de WA tienen sitio propio del Department of Education: schoolsinternational.wa.gov.au responde 200 (302 a www) y su home trae 'Our schools', 'Find a school' y las secciones de primaria y secundaria, o sea si hay catalogo que extraer. tafeinternational.wa.edu.au es TIWA, que por cuenta del Departamento solo administra postulacion, cobro y bienestar de esos estudiantes; su catalogo es de cursos TAFE. Con esto se rompe el dominio compartido con la ficha 'TAFE Western Australia'."
