dominio,cuantas,fichas
arizona.edu,2,The University of Arizona · University of Arizona
catalog.csusm.edu,2,California State University (CSU) San Marcos · California State University San Marcos
citystgeorges.ac.uk,2,"City St Georges, University of London · City, University of London"
fiu.edu,2,FIU - Florida International University · Florida International University
georgiancollege.ca,2,Georgian College · Georgian English
latrobe.edu.au,2,La Trobe University · La Trobe University Sydney
liu.edu,2,LIUBrooklyn · LIUPost
lokmani.com,2,LOKMANI LAW SCHOOL · LOKMANI POSTGRADUATE SCHOOL
lsf-france.com,2,Institut Europeen de Francais · LSF/IEF
sae.edu,3,SAE Institute GmbH · SAE Institute Switzerland AG · SAE Netherlands B.V.
sgiccanada.com,2,SGIC · St George International College
tamwood.com,2,Tamwood Career · Tamwood Language Centres
yoobee.ac.nz,2,South Seas Film & Television · Yoobee School of Design
