fila_excel,institucion,pais,ciudad,texto_en_el_excel
552,Acacia Institute,Australia,,(vacío)
568,Alexander College,Canada,"Vancouver, Burnaby",(vacío)
563,Alliance College,Australia,Adelaide,(vacío)
643,American Collegiate,USA,Los Angeles,(vacío)
564,AMERICAN CURRICULUM PARTNERSHIP - Penn School,USA,,(vacío)
571,Bels,Malta,,(vacío)
549,Bucksmore Education,UK,,(vacío)
299,Cambridge Education Group,International,,(vacío)
555,Carl Duisberg Centren,Germany,,(vacío)
194,Casa Toronto & Casa Vancouver,Canada,Toronto,Alojamiento
546,CAST ALIMENTI SRL,Italy,,(vacío)
553,College of the Canyons,USA,Canyon,(vacío)
556,Constructor University Bremen gGmbH,Germany,,(vacío)
493,Coracle,Germany,,Seguro
567,DCU - Dublin City University,Ireland,Dublin,(vacío)
566,Eurasia,Germany,,(vacío)
545,Ferrari Fashion School,Italy,,(vacío)
578,Focus Language School,Australia,Melbourne,(vacío)
541,Global College Australasia,Australia,,(vacío)
559,Halton District School Board,Canada,Ontario,(vacío)
557,"Hochschulen Fresenius, University of Applied Sciences",Germany,,(vacío)
579,ICEDU,Spain,Bilbao,(vacío)
378,ICL - Education Group,New Zealand,Auckland,(vacío)
385,Kapiti College,New Zealand,,(vacío)
388,Kiwi English Academy,New Zealand,,(vacío)
424,MLC College of Business Technology and Healthcare,Canada,Montreal,(vacío)
392,MLS International,UK,,(vacío)
580,Munich University of Digital Technologies & Applied Sciences,Germany,Munich,(vacío)
577,Nelson English Centre,New Zealand,,(vacío)
547,Nord Anglia Education,USA,,(vacío)
535,QIBA - Queensland International Business Academy,Australia,"Brisbane, Sydney, Canberra",(vacío)
497,QS,International,,(vacío)
561,RCS Royal Crown School,Canada,Toronto,(vacío)
544,Saint Louis College of Music,Italy,,(vacío)
397,Shorelight Universities,International,,(vacío)
542,SRH Berlin University of Applied Sciences,Germany,,(vacío)
399,St Clares Oxford,UK,,(vacío)
168,Study Group,International,,De acuerdo a la institucion de venta
402,Sudbury Catholic School,Canada,,(vacío)
403,Texas Wesleyan University,USA,Texas,(vacío)
551,The University of Law,UK,,(vacío)
536,Tr4inright,Australia,Melbourne,(vacío)
539,UCEDA,USA,,(vacío)
53,Universitat Autonoma De Barcelona,Spain,Barcelona,Solo los programas de la fundación
575,University of Portsmouth,UK,,(vacío)
576,USA Private School,USA,,(vacío)
419,Windsor-Essex CDS,Canada,,(vacío)
405,WorldWide School of English,New Zealand,,(vacío)
