clave,filas,nombres,ciudades
aspasia,628 · 629,Aspasia · Aspasia,Valladolid · Oviedo
atlas language school,431 · 432,Atlas Language School · Atlas Language School,"Dublin · St Julians, Pembroke"
brunel university,125 · 689,Brunel University · Brunel University,Londres · londres
bsbi berlin school of business innovation,44 · 45,BSBI Berlin School of Business & Innovation · BSBI Berlin School of Business & Innovation,Berlin · None
city st georges university of london,89 · 344,"City St Georges, University of London · City St George's, University of London",Londres · Londres
colorado state university,90 · 470,Colorado State University · Colorado State University,Colorado · Fort Collins
ec english,260 · 261 · 262 · 263 · 264 · 265,EC English · EC English · EC English · EC English · EC English · EC English,"Dublin · Boston, Los Angeles, New York, SanDiego, SanFrancisco · Malta · Cape Town · Brighton, Bristol, Cambridge, London, Manchester · Montreal, Toronto, Vancouver"
ep english path gbs group,7 · 16 · 21 · 46,EP English Path / GBS Group · EP English Path / GBS Group · EP English Path / GBS Group · EP English Path / GBS Group,"Londres, Manchester, birmingham, Leeds · San Julian · Dubai · Toronto"
eu business school,308 · 309 · 310,EU Business School · EU Business School · EU Business School,Barcelona · Montreux · Munich
frances king school of english,315 · 316,Frances King School of English · Frances King School of English,Londres · Dublin
global village english centres,373 · 374,Global Village English Centres · Global Village English Centres,Victoria · Hawaii
griffith college,133 · 153,Griffith college · Griffith College,"Brisbane, Gold Coast · Dublin"
ied,321 · 322 · 323,IED · IED · IED,"Madrid, Barcelona, bilbao · Milan, Roma, Turin, Venecia, Florencia, Cagliari · Rio de Janerio, Sao Pablo"
ifalpes,348 · 525,Ifalpes · IFALPES,Annecy · Annecy
ilsc,207 · 208,ILSC · ILSC,"Vancouver, Toronto, Montreal · Brisbane, Adelaide, Melbourne, Sydney"
impact english college,29 · 30,Impact English College · Impact English College,Melbourne · Brisbane
international house,381 · 382,International House · International House,Sydney · Melbourne
istituto marangoni,201 · 279 · 280 · 284,Istituto Marangoni · Istituto Marangoni · Istituto Marangoni · Istituto Marangoni,Miami · Milan · Paris · London
james cook university jcu,272 · 273,James Cook University JCU · James Cook University JCU,Brisbane · Townsville
kings college,199 · 200,Kings College · Kings College,varias · Varias
lancaster university,140 · 494,Lancaster University · Lancaster University,Leipzig · Lancaster
lci language consultants intenational,84 · 85,LCI Language Consultants Intenational · LCI Language Consultants Intenational,Colorado · Texas
lexis english,351 · 352,Lexis English · Lexis English,"Perth, Brisbane, Sydney, Sunshine Coast · None"
lyon bleu international,391 · 527,Lyon Bleu International · Lyon Bleu International,Lyon · Lyon
mercer university,177 · 652,Mercer University · Mercer University,Georgia · Georgia
nord anglia education,547 · 550,Nord Anglia Education · Nord Anglia Education,None · None
queens university belfast,495 · 631,Queens University Belfast · Queens University Belfast,Belfast · None
sae,144 · 452,SAE · SAE,"Sydney, Melbourne, Brisbane, Byron Bay, Adelaide, Perth · Solo podemos vender AUS, NZ, Nashville, Miami, NY, Chicago, Atlanta y Vancouver"
saginaw valley state university,478 · 609,Saginaw Valley State University · Saginaw Valley State University,Saginaw · Michigan
spd scoula politecnica di design,120 · 581,SPD - Scoula Politecnica di Design · SPD - Scoula Politecnica di Design,Milan · Milan
texas state university,113 · 476,Texas State University · Texas State University,Texas · Texas
the university of adelaide,237 · 687,The University of Adelaide · The University of Adelaide,Adelaide · Adelaide
uceda school,82 · 83,Uceda School · Uceda School,"Orlando, New York, Palm Beach · Boca Raton, Orlando, Elizabeth Street, Weston, Conroy"
ulster university,231 · 232,Ulster University · Ulster University,"Jordanstown, Belfast · marzo 1, 2027"
universitat autonoma de barcelona,53 · 54,Universitat Autonoma De Barcelona · Universitat Autonoma De Barcelona,Barcelona · Barcelona
university of bradford,342 · 345,University of Bradford · University of Bradford,Bradford · Bradford
university of europe for applied sciences,292 · 293,University of Europe for Applied Sciences · University of Europe for Applied Sciences,"Hamburgo, Berlin · Dubai"
university of massachusetts amherst,110 · 663,University of Massachusetts Amherst · University of Massachusetts Amherst,Massachusetts · Massachusetts
university of newcastle,204 · 296,University of Newcastle · University of Newcastle,Newcastle · Newcastle
university of roehampton,67 · 336,University of Roehampton · University of Roehampton,Londres · Londres
